CF H1N1 binding to TL-VI-25-1,,,,,,,,,,,,,,,,,CF H1N1 binding to TL-VI-25-1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Block 6,,,,,,,,,,,,,,,,,Block 7,,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
,,,,,,,3665,58175,6370119,135,14306.625,4.066,445.257,39,,,,,,,,,,3663,58143,6366643,130,13266.5,4.383,479.904,450
,,,,,,,3873,61476,6731643,135,14306.625,4.297,470.526,-338,,,,,,,,,,3480,55238,6048571,135,14306.625,3.861,422.781,9
,,,,,,,3209,50937,5577548,140,15386,3.311,362.508,-727,,,,,,,,,,3407,54079,5921690,130,13266.5,4.076,446.364,-732
,,200,0.47,94,0.47,0.275,16219,58978,5543949,135,14306.625,4.122,387.509,-1149,,,,,200,0.47,94,0.47,0.275,18067,65698,6175629,135,14306.625,4.592,431.662,-1010
,,,,,,,15992,58153,5466356,140,15386,3.780,355.281,-877,,,,,,,,,,17669,64251,6039585,135,14306.625,4.491,422.153,-605
,,,,,,,16275,59182,5563091,140,15386,3.846,361.568,-1071,,,,,,,,,,17867,64971,6107265,135,14306.625,4.541,426.884,-686
,,,,,,,16148,58720,5519680,135,14306.625,4.104,385.813,-1256,,,,,,,,,,18101,65822,6187251,135,14306.625,4.601,432.475,-923
,,,,,,,16856,61295,5761687,140,15386,3.984,374.476,-1414,,,,,,,,,,18296,66531,6253905,135,14306.625,4.650,437.134,-1290
,,,,,,,17561,63858,6002669,140,15386,4.150,390.138,-888,,,,,,,,,,19012,69135,6498647,135,14306.625,4.832,454.240,-1037
,,,0.66,132,0.66,0.275,12465,45327,5983200,135,14306.625,3.168,418.212,57,,,,,,0.66,132,0.66,0.275,13572,49353,6514560,130,13266.5,3.720,491.053,333
,,,,,,,12331,44840,5918880,135,14306.625,3.134,413.716,-304,,,,,,,,,,13282,48298,6375360,130,13266.5,3.641,480.561,-16
,,,,,,,12294,44705,5901120,135,14306.625,3.125,412.475,-784,,,,,,,,,,13683,49756,6567840,130,13266.5,3.751,495.070,-580
,,,,,,,12335,44855,5920800,135,14306.625,3.135,413.850,-913,,,,,,,,,,13956,50749,6698880,125,12265.625,4.138,546.151,-602
,,,,,,,12593,45793,6044640,130,13266.5,3.452,455.632,-1191,,,,,,,,,,13764,50051,6606720,130,13266.5,3.773,498.000,-786
,,,,,,,12986,47222,6233280,135,14306.625,3.301,435.692,-1308,,,,,,,,,,14142,51425,6788160,130,13266.5,3.876,511.677,-789
,,300,0.28,84,0.28,0.093,7755,83477,7012056,140,15386,5.426,455.743,-1147,,,,,300,0.28,84,0.28,0.093,8497,91464,7682971,135,14306.625,6.393,537.022,-670
,,,,,,,7788,83832,7041895,135,14306.625,5.860,492.212,-1297,,,,,,,,,,8429,90732,7621485,140,15386,5.897,495.352,-733
,,,,,,,7799,83950,7051841,140,15386,5.456,458.328,-1219,,,,,,,,,,8410,90527,7604306,135,14306.625,6.328,531.523,-940
,,,,,,,7933,85393,7173003,135,14306.625,5.969,501.376,-950,,,,,,,,,,8460,91066,7649516,135,14306.625,6.365,534.683,-1054
,,,,,,,8147,87696,7366502,135,14306.625,6.130,514.901,-952,,,,,,,,,,8368,90075,7566329,135,14306.625,6.296,528.869,-1147
,,,,,,,8414,90571,7607922,140,15386,5.887,494.470,-749,,,,,,,,,,9384,101012,8484995,130,13266.5,7.614,639.580,-966
,,,0.56,168,0.56,0.093,6334,68181,11454381,135,14306.625,4.766,800.635,-708,,,,,,0.56,168,0.56,0.093,6672,71819,12065619,130,13266.5,5.414,909.480,-580
,,,,,,,6282,67621,11360344,130,13266.5,5.097,856.318,-749,,,,,,,,,,6552,70527,11848611,130,13266.5,5.316,893.123,-572
,,,,,,,6556,70571,11855845,135,14306.625,4.933,828.696,-677,,,,,,,,,,6867,73918,12418256,130,13266.5,5.572,936.061,-456
,,,,,,,6639,71464,12005942,135,14306.625,4.995,839.188,-29,,,,,,,,,,6930,74596,12532185,130,13266.5,5.623,944.649,-890
,,,,,,,6550,70506,11844995,130,13266.5,5.315,892.850,-644,,,,,,,,,,1,11,1808,165,21371.625,0.001,0.085,*
,,,,,,,6686,71970,12090936,140,15386,4.678,785.840,-117,,,,,,,,,,7220,77718,13056620,135,14306.625,5.432,912.628,-335
