,index,PrintPol,GlycType,DP,Valency,GlycSpace,PolSpace,GlycDen,MVF,SubArr,ExpNum,FileName,MVF_orig,MVF_norm,Experiment
33,33,1.0,2-6 SiaLac,300.0,141.0,0.47,0.348,49.119,5.150756326472444,0,6,Data/H1N1_MDCK/MDCK_sheet2.csv,253.0,0.14781802995113874,Binder
34,34,1.0,2-6 SiaLac,300.0,141.0,0.47,0.404,56.969,4.353244747143183,0,6,Data/H1N1_MDCK/MDCK_sheet2.csv,248.0,0.12493079105890237,Binder
35,35,1.0,2-6 SiaLac,300.0,141.0,0.47,0.327,46.166,5.111987176710134,0,6,Data/H1N1_MDCK/MDCK_sheet2.csv,236.0,0.14670542066086967,Binder
36,36,5.0,2-6 SiaLac,150.0,44.0,0.29,1.801,78.355,3.34375598238785,0,7,Data/H1N1_MDCK/MDCK_sheet2.csv,262.0,0.09596016402748592,Binder
37,37,5.0,2-6 SiaLac,150.0,44.0,0.29,1.787,77.727,3.3064443500971348,0,7,Data/H1N1_MDCK/MDCK_sheet2.csv,257.0,0.09488938303341547,Binder
38,38,5.0,2-6 SiaLac,150.0,44.0,0.29,1.643,71.455,4.310405150094465,0,7,Data/H1N1_MDCK/MDCK_sheet2.csv,308.0,0.12370136678831588,Binder
39,39,5.0,2-6 SiaLac,150.0,44.0,0.29,1.719,74.765,3.8119440914866582,0,7,Data/H1N1_MDCK/MDCK_sheet2.csv,285.0,0.10939637408033687,Binder
40,40,5.0,2-6 SiaLac,150.0,44.0,0.29,1.599,69.572,3.607773242108894,0,7,Data/H1N1_MDCK/MDCK_sheet2.csv,251.0,0.10353701463571313,Binder
41,41,5.0,2-6 SiaLac,150.0,44.0,0.29,1.613,70.158,3.591892585307449,0,7,Data/H1N1_MDCK/MDCK_sheet2.csv,252.0,0.10308126653700089,Binder
42,42,5.0,2-6 SiaLac,150.0,60.0,0.4,1.664,99.858,1.6723747721764906,0,8,Data/H1N1_MDCK/MDCK_sheet2.csv,167.0,0.04799433879109867,Binder
43,43,5.0,2-6 SiaLac,150.0,60.0,0.4,1.651,99.068,1.6352404409092745,0,8,Data/H1N1_MDCK/MDCK_sheet2.csv,162.0,0.04692864603773323,Binder
44,44,5.0,2-6 SiaLac,150.0,60.0,0.4,1.634,98.063,1.9477274813130334,0,8,Data/H1N1_MDCK/MDCK_sheet2.csv,191.0,0.05589649770261293,Binder
45,45,5.0,2-6 SiaLac,150.0,60.0,0.4,1.618,97.058,1.8545611902161592,0,8,Data/H1N1_MDCK/MDCK_sheet2.csv,180.0,0.05322278208981749,Binder
46,46,5.0,2-6 SiaLac,150.0,60.0,0.4,1.649,98.924,2.729367999676519,0,8,Data/H1N1_MDCK/MDCK_sheet2.csv,270.0,0.0783282638804563,Binder
47,47,5.0,2-6 SiaLac,150.0,60.0,0.4,1.358,81.459,3.093580819798917,0,8,Data/H1N1_MDCK/MDCK_sheet2.csv,252.0,0.08878055828948193,Binder
48,48,5.0,2-6 SiaLac,200.0,78.0,0.39,1.947,151.847,1.5805383050043793,0,9,Data/H1N1_MDCK/MDCK_sheet2.csv,240.0,0.04535878688481174,Binder
49,49,5.0,2-6 SiaLac,200.0,78.0,0.39,1.929,150.427,1.7084698890491734,0,9,Data/H1N1_MDCK/MDCK_sheet2.csv,257.0,0.049030207841931864,Binder
50,50,5.0,2-6 SiaLac,200.0,78.0,0.39,2.058,160.527,1.9186803466083588,0,9,Data/H1N1_MDCK/MDCK_sheet2.csv,308.0,0.055062893867443556,Binder
51,51,5.0,2-6 SiaLac,200.0,78.0,0.39,1.921,149.874,2.2418831818727734,0,9,Data/H1N1_MDCK/MDCK_sheet2.csv,336.0,0.0643382707937148,Binder
52,52,5.0,2-6 SiaLac,200.0,78.0,0.39,2.084,162.569,1.8207653365647818,0,9,Data/H1N1_MDCK/MDCK_sheet2.csv,296.0,0.05225289802025116,Binder
53,53,5.0,2-6 SiaLac,200.0,78.0,0.39,1.977,154.169,2.0172667656921948,0,9,Data/H1N1_MDCK/MDCK_sheet2.csv,311.0,0.057892158023080745,Binder
54,54,5.0,2-6 SiaLac,200.0,98.0,0.49,2.07,202.909,1.611559861809974,0,10,Data/H1N1_MDCK/MDCK_sheet2.csv,327.0,0.04624905330829849,Binder
55,55,5.0,2-6 SiaLac,200.0,98.0,0.49,2.097,205.549,1.7465421870210995,0,10,Data/H1N1_MDCK/MDCK_sheet2.csv,359.0,0.05012281865968668,Binder
56,56,5.0,2-6 SiaLac,200.0,98.0,0.49,2.164,212.05,1.480782834237208,0,10,Data/H1N1_MDCK/MDCK_sheet2.csv,314.0,0.04249597291516888,Binder
57,57,5.0,2-6 SiaLac,200.0,98.0,0.49,2.126,208.389,1.7515319906520976,0,10,Data/H1N1_MDCK/MDCK_sheet2.csv,365.0,0.05026601761840782,Binder
58,58,5.0,2-6 SiaLac,200.0,98.0,0.49,2.234,218.95,1.6944507878511077,0,10,Data/H1N1_MDCK/MDCK_sheet2.csv,371.0,0.04862788325318493,Binder
59,59,5.0,2-6 SiaLac,200.0,98.0,0.49,2.191,214.74,1.899972059234423,0,10,Data/H1N1_MDCK/MDCK_sheet2.csv,408.0,0.05452599753453765,Binder
60,60,5.0,2-6 SiaLac,300.0,105.0,0.35,2.188,229.737,1.8238246342556925,0,11,Data/H1N1_MDCK/MDCK_sheet2.csv,419.0,0.05234069471049261,Binder
61,61,5.0,2-6 SiaLac,300.0,105.0,0.35,2.471,259.421,1.657537362048562,0,11,Data/H1N1_MDCK/MDCK_sheet2.csv,430.0,0.047568530114533006,Binder
62,62,5.0,2-6 SiaLac,300.0,105.0,0.35,2.312,242.772,1.6558746478177055,0,11,Data/H1N1_MDCK/MDCK_sheet2.csv,402.0,0.04752081301700429,Binder
