PrintPol,GlycType,DP,Valency,GlycSpace,PolSpace,GlycDen,MVF,MVF_orig,Status,Experiment,Self-model,Cross-model,MVF_norm
5.0,2-3 SiaLac,200.0,116.0,1.72,0.046,5.305,284.8256361922715,1511.0,Conserved,Binder,Binder,Binder,0.12441385882456203
5.0,2-3 SiaLac,200.0,116.0,1.72,0.044,5.051,239.35854286279942,1209.0,Conserved,Binder,Binder,Binder,0.10455350985359531
5.0,2-3 SiaLac,200.0,116.0,1.72,0.039,4.563,276.79158448389217,1263.0,Conserved,Binder,Binder,Binder,0.12090452803398392
5.0,2-3 SiaLac,200.0,116.0,1.72,0.043,5.022,281.3620071684588,1413.0,Conserved,Binder,Binder,Binder,0.12290092109132233
5.0,2-3 SiaLac,200.0,116.0,1.72,0.042,4.881,314.6896127842655,1536.0,Conserved,Binder,Binder,Binder,0.1374586556951226
5.0,2-3 SiaLac,300.0,147.0,2.04,0.012,1.73,816.1849710982659,1412.0,Conserved,Binder,Binder,Binder,0.3565153864885995
5.0,2-3 SiaLac,300.0,147.0,2.04,0.016,2.342,729.7181895815542,1709.0,Conserved,Binder,Binder,Binder,0.318746082810568
5.0,2-3 SiaLac,300.0,147.0,2.04,0.014,2.067,672.4721819061441,1390.0,Conserved,Binder,Binder,Binder,0.29374062047785005
5.0,2-3 SiaLac,300.0,147.0,2.04,0.011,1.656,721.6183574879227,1195.0,Conserved,Binder,Binder,Binder,0.3152080186809773
5.0,2-3 SiaLac,300.0,147.0,2.04,0.011,1.551,867.1824629271438,1345.0,Conserved,Binder,Binder,Binder,0.37879145276418474
5.0,2-3 SiaLac,300.0,147.0,2.04,0.011,1.656,925.7246376811595,1533.0,Conserved,Binder,Binder,Binder,0.4043630900735885
10.0,2-3 SiaLac,150.0,60.0,2.5,0.037,2.248,659.2526690391459,1482.0,Gained in MDCK,Binder,Binder,Non-binder,0.28796624346055816
10.0,2-3 SiaLac,150.0,60.0,2.5,0.033,1.953,730.6707629288275,1427.0,Gained in MDCK,Binder,Binder,Non-binder,0.3191621736074922
10.0,2-3 SiaLac,150.0,60.0,2.5,0.039,2.351,863.4623564440664,2030.0,Gained in MDCK,Binder,Binder,Non-binder,0.37716648385694246
10.0,2-3 SiaLac,150.0,60.0,2.5,0.027,1.628,971.1302211302212,1581.0,Gained in MDCK,Binder,Binder,Non-binder,0.42419657109235825
10.0,2-3 SiaLac,150.0,60.0,2.5,0.034,2.012,1019.3836978131212,2051.0,Gained in MDCK,Binder,Binder,Non-binder,0.4452740320824498
10.0,2-3 SiaLac,150.0,60.0,2.5,0.044,2.634,1105.1632498101746,2911.0,Gained in MDCK,Binder,Binder,Non-binder,0.48274314903016496
10.0,2-3 SiaLac,200.0,116.0,1.72,0.06,6.984,336.9129438717068,2353.0,Conserved,Binder,Binder,Binder,0.14716596439628876
10.0,2-3 SiaLac,200.0,116.0,1.72,0.059,6.825,397.5091575091575,2713.0,Conserved,Binder,Binder,Binder,0.17363482046408873
10.0,2-3 SiaLac,200.0,116.0,1.72,0.062,7.21,407.2122052704577,2936.0,Conserved,Binder,Binder,Binder,0.17787318057268328
10.0,2-3 SiaLac,200.0,116.0,1.72,0.066,7.682,368.3936474876334,2830.0,Conserved,Binder,Binder,Binder,0.160916959102137
10.0,2-3 SiaLac,200.0,116.0,1.72,0.066,7.64,387.56544502617805,2961.0,Conserved,Binder,Binder,Binder,0.1692913362974658
10.0,2-3 SiaLac,200.0,116.0,1.72,0.065,7.583,449.9538441250165,3412.0,Conserved,Binder,Binder,Binder,0.1965430316909717
10.0,2-3 SiaLac,300.0,147.0,2.04,0.051,7.432,412.54036598493,3066.0,Gained in MDCK,Binder,Binder,Non-binder,0.18020055897789625
10.0,2-3 SiaLac,300.0,147.0,2.04,0.058,8.592,400.8379888268156,3444.0,Gained in MDCK,Binder,Binder,Non-binder,0.17508887760284406
10.0,2-3 SiaLac,300.0,147.0,2.04,0.035,5.159,738.3213801124249,3809.0,Gained in MDCK,Binder,Binder,Non-binder,0.3225040174770459
10.0,2-3 SiaLac,300.0,147.0,2.04,0.06,8.85,395.02824858757066,3496.0,Gained in MDCK,Binder,Binder,Non-binder,0.17255114184423817
10.0,2-3 SiaLac,300.0,147.0,2.04,0.065,9.557,395.10306581563253,3776.0,Gained in MDCK,Binder,Binder,Non-binder,0.17258382254030954
10.0,2-3 SiaLac,300.0,147.0,2.04,0.053,7.852,461.4111054508405,3623.0,Gained in MDCK,Binder,Binder,Non-binder,0.2015476447312984
