PrintPol,GlycType,Valency,GlycSpace,PolSpace,GlycDen,MVF,DP,SubArr,ExpNum,FileName,MVF_orig,MVF_norm,Experiment
5.0,2-6 SiaLac,105.0,1.81,0.064,6.672,230.51558752997602,190.0,0,7,Data/H1N1_EGG/old_sheet1.csv,1538.0,0.0929708902780688,Binder
5.0,2-6 SiaLac,88.0,2.17,0.065,5.68,108.97887323943662,190.0,0,8,Data/H1N1_EGG/old_sheet1.csv,619.0,0.043953048794384435,Non-binder
5.0,2-6 SiaLac,88.0,2.17,0.077,6.744,129.15183867141164,190.0,0,8,Data/H1N1_EGG/old_sheet1.csv,871.0,0.052089151761892154,Binder
5.0,2-6 SiaLac,88.0,2.17,0.085,7.449,36.246476037051956,190.0,0,8,Data/H1N1_EGG/old_sheet1.csv,270.0,0.014618825489053721,Non-binder
5.0,2-6 SiaLac,88.0,2.17,0.07,6.131,53.335508073723695,190.0,0,8,Data/H1N1_EGG/old_sheet1.csv,327.0,0.021511125222290664,Non-binder
5.0,2-6 SiaLac,88.0,2.17,0.085,7.494,116.89351481184949,190.0,0,8,Data/H1N1_EGG/old_sheet1.csv,876.0,0.04714515949329043,Non-binder
5.0,2-6 SiaLac,88.0,2.17,0.081,7.136,87.30381165919282,190.0,0,8,Data/H1N1_EGG/old_sheet1.csv,623.0,0.035211124686171213,Non-binder
5.0,2-6 SiaLac,79.0,2.42,0.079,6.225,29.076305220883537,190.0,0,9,Data/H1N1_EGG/old_sheet1.csv,181.0,0.011726972615380617,Non-binder
5.0,2-6 SiaLac,79.0,2.42,0.08,6.26,7.827476038338658,190.0,0,9,Data/H1N1_EGG/old_sheet1.csv,49.0,0.003156955343941603,Non-binder
5.0,2-6 SiaLac,79.0,2.42,0.086,6.715,39.01712583767684,190.0,0,9,Data/H1N1_EGG/old_sheet1.csv,262.0,0.015736276076118046,Non-binder
5.0,2-6 SiaLac,79.0,2.42,0.08,6.307,17.758046614872363,190.0,0,9,Data/H1N1_EGG/old_sheet1.csv,112.0,0.007162124787632583,Non-binder
5.0,2-6 SiaLac,79.0,2.42,0.081,6.365,26.708562450903376,190.0,0,9,Data/H1N1_EGG/old_sheet1.csv,170.0,0.010772021344478425,Non-binder
5.0,2-6 SiaLac,79.0,2.42,0.083,6.54,2.7522935779816513,190.0,0,9,Data/H1N1_EGG/old_sheet1.csv,18.0,0.0011100472076244767,Non-binder
5.0,2-6 SiaLac,71.0,2.69,0.078,5.505,33.787465940054496,190.0,0,10,Data/H1N1_EGG/old_sheet1.csv,186.0,0.013627064539738807,Non-binder
5.0,2-6 SiaLac,71.0,2.69,0.073,5.154,48.117966627861854,190.0,0,10,Data/H1N1_EGG/old_sheet1.csv,248.0,0.01940680126536338,Non-binder
5.0,2-6 SiaLac,71.0,2.69,0.073,5.164,6.777691711851278,190.0,0,10,Data/H1N1_EGG/old_sheet1.csv,35.0,0.002733559319059759,Non-binder
5.0,2-6 SiaLac,71.0,2.69,0.08,5.705,3.8562664329535496,190.0,0,10,Data/H1N1_EGG/old_sheet1.csv,22.0,0.0015552983954913791,Non-binder
5.0,2-6 SiaLac,71.0,2.69,0.08,5.674,27.317589002467393,190.0,0,10,Data/H1N1_EGG/old_sheet1.csv,155.0,0.011017652198810676,Non-binder
5.0,2-6 SiaLac,71.0,2.69,0.089,6.301,64.27551182352008,190.0,0,10,Data/H1N1_EGG/old_sheet1.csv,405.0,0.02592341637866081,Non-binder
5.0,2-6 SiaLac,61.0,3.11,0.089,5.46,16.483516483516485,190.0,0,11,Data/H1N1_EGG/old_sheet1.csv,90.0,0.0066480849247839546,Non-binder
5.0,2-6 SiaLac,61.0,3.11,0.087,5.342,4.1183077499064025,190.0,0,11,Data/H1N1_EGG/old_sheet1.csv,22.0,0.0016609841531782699,Non-binder
5.0,2-6 SiaLac,61.0,3.11,0.087,5.36,5.597014925373134,190.0,0,11,Data/H1N1_EGG/old_sheet1.csv,30.0,0.002257372119982611,Non-binder
5.0,2-6 SiaLac,61.0,3.11,0.088,5.369,67.23784689886385,190.0,0,11,Data/H1N1_EGG/old_sheet1.csv,361.0,0.027118176924824943,Non-binder
5.0,2-6 SiaLac,61.0,3.11,0.089,5.451,25.49990827371125,190.0,0,11,Data/H1N1_EGG/old_sheet1.csv,139.0,0.010284550383855225,Non-binder
5.0,2-6 SiaLac,61.0,3.11,0.082,5.026,0.0,190.0,0,11,Data/H1N1_EGG/old_sheet1.csv,0.0,0.0,Non-binder
5.0,2-6 SiaLac,53.0,3.62,0.088,4.655,18.045112781954888,190.0,0,12,Data/H1N1_EGG/old_sheet1.csv,84.0,0.007277903496605592,Non-binder
5.0,2-6 SiaLac,53.0,3.62,0.089,4.684,45.900939368061486,190.0,0,12,Data/H1N1_EGG/old_sheet1.csv,215.0,0.018512636144804733,Non-binder
5.0,2-6 SiaLac,53.0,3.62,0.088,4.618,82.07016024252923,190.0,0,12,Data/H1N1_EGG/old_sheet1.csv,379.0,0.03310030330169969,Non-binder
5.0,2-6 SiaLac,53.0,3.62,0.089,4.684,64.04782237403928,190.0,0,12,Data/H1N1_EGG/old_sheet1.csv,300.0,0.025831585318332188,Non-binder
5.0,2-6 SiaLac,53.0,3.62,0.089,4.669,43.264082244592,190.0,0,12,Data/H1N1_EGG/old_sheet1.csv,202.0,0.017449146439263034,Non-binder
5.0,2-6 SiaLac,53.0,3.62,0.09,4.72,11.440677966101696,190.0,0,12,Data/H1N1_EGG/old_sheet1.csv,54.0,0.004614221655422084,Non-binder
10.0,2-6 SiaLac,105.0,1.81,0.068,7.108,57.96285875070343,190.0,0,13,Data/H1N1_EGG/old_sheet1.csv,412.0,0.023377415119114613,Non-binder
10.0,2-6 SiaLac,105.0,1.81,0.061,6.424,251.86799501867995,190.0,0,13,Data/H1N1_EGG/old_sheet1.csv,1618.0,0.1015826824569676,Binder
10.0,2-6 SiaLac,105.0,1.81,0.064,6.744,142.79359430604984,190.0,0,13,Data/H1N1_EGG/old_sheet1.csv,963.0,0.05759110579414713,Binder
10.0,2-6 SiaLac,105.0,1.81,0.062,6.467,90.30462347301686,190.0,0,13,Data/H1N1_EGG/old_sheet1.csv,584.0,0.036421403560921446,Non-binder
10.0,2-6 SiaLac,105.0,1.81,0.077,8.093,85.01173853947856,190.0,0,13,Data/H1N1_EGG/old_sheet1.csv,688.0,0.034286692283114935,Non-binder
10.0,2-6 SiaLac,88.0,2.17,0.08,7.055,167.11552090715804,190.0,0,14,Data/H1N1_EGG/old_sheet1.csv,1179.0,0.0674005559645779,Binder
10.0,2-6 SiaLac,88.0,2.17,0.086,7.545,141.02054340622928,190.0,0,14,Data/H1N1_EGG/old_sheet1.csv,1064.0,0.056876003954696844,Binder
10.0,2-6 SiaLac,88.0,2.17,0.111,9.795,58.29504849412966,190.0,0,14,Data/H1N1_EGG/old_sheet1.csv,571.0,0.02351139294039129,Non-binder
10.0,2-6 SiaLac,88.0,2.17,0.084,7.408,90.03779697624189,190.0,0,14,Data/H1N1_EGG/old_sheet1.csv,667.0,0.036313787858136395,Non-binder
10.0,2-6 SiaLac,88.0,2.17,0.074,6.471,75.87698964611343,190.0,0,14,Data/H1N1_EGG/old_sheet1.csv,491.0,0.030602491374261766,Non-binder
10.0,2-6 SiaLac,79.0,2.42,0.111,8.693,32.20982399631888,190.0,0,15,Data/H1N1_EGG/old_sheet1.csv,280.0,0.012990774483952236,Non-binder
10.0,2-6 SiaLac,79.0,2.42,0.129,10.165,71.32316773241516,190.0,0,15,Data/H1N1_EGG/old_sheet1.csv,725.0,0.028765856888842197,Non-binder
10.0,2-6 SiaLac,79.0,2.42,0.116,9.118,57.46874314542663,190.0,0,15,Data/H1N1_EGG/old_sheet1.csv,524.0,0.023178129820384447,Non-binder
10.0,2-6 SiaLac,79.0,2.42,0.118,9.281,33.83256114642818,190.0,0,15,Data/H1N1_EGG/old_sheet1.csv,314.0,0.013645252209946966,Non-binder
10.0,2-6 SiaLac,79.0,2.42,0.107,8.437,49.543676662320735,190.0,0,15,Data/H1N1_EGG/old_sheet1.csv,418.0,0.0199818145761868,Non-binder
10.0,2-6 SiaLac,79.0,2.42,0.113,8.883,43.90408645727795,190.0,0,15,Data/H1N1_EGG/old_sheet1.csv,390.0,0.017707271115657813,Non-binder
10.0,2-6 SiaLac,71.0,2.69,0.102,7.254,56.10697546181417,190.0,0,16,Data/H1N1_EGG/old_sheet1.csv,407.0,0.02262890555640321,Non-binder
10.0,2-6 SiaLac,71.0,2.69,0.119,8.41,91.43876337693222,190.0,0,16,Data/H1N1_EGG/old_sheet1.csv,769.0,0.03687882163705559,Non-binder
10.0,2-6 SiaLac,71.0,2.69,0.13,9.221,14.965838846112135,190.0,0,16,Data/H1N1_EGG/old_sheet1.csv,138.0,0.006035979502254773,Non-binder
10.0,2-6 SiaLac,71.0,2.69,0.131,9.274,12.184602113435412,190.0,0,16,Data/H1N1_EGG/old_sheet1.csv,113.0,0.004914259023905787,Non-binder
10.0,2-6 SiaLac,71.0,2.69,0.13,9.232,42.78596187175044,190.0,0,16,Data/H1N1_EGG/old_sheet1.csv,395.0,0.017256312292125885,Non-binder
10.0,2-6 SiaLac,71.0,2.69,0.131,9.295,12.910166756320603,190.0,0,16,Data/H1N1_EGG/old_sheet1.csv,120.0,0.0052068916893412785,Non-binder
10.0,2-6 SiaLac,61.0,3.11,0.129,7.908,0.0,190.0,0,17,Data/H1N1_EGG/old_sheet1.csv,0.0,0.0,Non-binder
10.0,2-6 SiaLac,61.0,3.11,0.113,6.898,5.508843142939983,190.0,0,17,Data/H1N1_EGG/old_sheet1.csv,38.0,0.002221810927795778,Non-binder
10.0,2-6 SiaLac,61.0,3.11,0.121,7.406,17.14825816905212,190.0,0,17,Data/H1N1_EGG/old_sheet1.csv,127.0,0.006916186648278707,Non-binder
10.0,2-6 SiaLac,61.0,3.11,0.143,8.754,134.3385880740233,190.0,0,17,Data/H1N1_EGG/old_sheet1.csv,1176.0,0.05418105675962833,Binder
10.0,2-6 SiaLac,61.0,3.11,0.122,7.462,15.545430179576522,190.0,0,17,Data/H1N1_EGG/old_sheet1.csv,116.0,0.0062697386282515345,Non-binder
10.0,2-6 SiaLac,53.0,3.62,0.114,6.004,12.158560959360427,190.0,0,18,Data/H1N1_EGG/old_sheet1.csv,73.0,0.004903756179806774,Non-binder
10.0,2-6 SiaLac,53.0,3.62,0.106,5.568,14.367816091954024,190.0,0,18,Data/H1N1_EGG/old_sheet1.csv,80.0,0.0057947866681545964,Non-binder
10.0,2-6 SiaLac,53.0,3.62,0.115,6.07,62.76771004942339,190.0,0,18,Data/H1N1_EGG/old_sheet1.csv,381.0,0.02531529406119544,Non-binder
10.0,2-6 SiaLac,53.0,3.62,0.114,5.997,26.680006670001667,190.0,0,18,Data/H1N1_EGG/old_sheet1.csv,160.0,0.010760504308249054,Non-binder
10.0,2-6 SiaLac,53.0,3.62,0.116,6.085,159.0797041906327,190.0,0,18,Data/H1N1_EGG/old_sheet1.csv,968.0,0.06415957325164272,Binder
10.0,2-6 SiaLac,53.0,3.62,0.116,6.092,0.0,190.0,0,18,Data/H1N1_EGG/old_sheet1.csv,0.0,0.0,Non-binder
1.0,2-3 SiaLac,111.0,1.72,0.021,2.272,327.02464788732397,190.0,0,19,Data/H1N1_EGG/old_sheet1.csv,743.0,0.13189464965358494,Binder
1.0,2-3 SiaLac,111.0,1.72,0.023,2.531,295.9304622678783,190.0,0,19,Data/H1N1_EGG/old_sheet1.csv,749.0,0.11935383126257065,Binder
1.0,2-3 SiaLac,111.0,1.72,0.024,2.628,520.9284627092846,190.0,0,19,Data/H1N1_EGG/old_sheet1.csv,1369.0,0.21009938402959416,Binder
1.0,2-3 SiaLac,111.0,1.72,0.024,2.65,860.7547169811321,190.0,0,19,Data/H1N1_EGG/old_sheet1.csv,2281.0,0.34715714111253587,Binder
