PrintPol,GlycType,Valency,GlycSpace,PolSpace,GlycDen,MVF,DP,MVF_orig,Status,Experiment,Self-model,Cross-model,MVF_norm
1.0,2-6 SiaLac,105.0,1.81,0.032,3.341,400.47889853337324,190.0,1338.0,Conserved,Binder,Binder,Binder,0.16152000883405063
1.0,2-6 SiaLac,105.0,1.81,0.027,2.854,357.7435178696566,190.0,1021.0,Conserved,Binder,Binder,Binder,0.1442840968106989
1.0,2-6 SiaLac,105.0,1.81,0.032,3.341,378.3298413648608,190.0,1264.0,Conserved,Binder,Binder,Binder,0.15258691417506723
1.0,2-6 SiaLac,105.0,1.81,0.025,2.654,1094.5742275810098,190.0,2905.0,Conserved,Binder,Binder,Binder,0.4414605602339267
1.0,2-6 SiaLac,105.0,1.81,0.012,1.295,1799.2277992277993,190.0,2330.0,Conserved,Binder,Binder,Binder,0.7256594319701116
1.0,2-6 SiaLac,105.0,1.81,0.013,1.331,681.4425244177311,190.0,907.0,Conserved,Binder,Binder,Binder,0.2748374582704199
1.0,2-6 SiaLac,88.0,2.17,0.02,1.736,755.7603686635945,190.0,1312.0,Conserved,Binder,Binder,Binder,0.3048111195621374
1.0,2-6 SiaLac,88.0,2.17,0.02,1.753,704.5065601825443,190.0,1235.0,Conserved,Binder,Binder,Binder,0.28413957949109897
1.0,2-6 SiaLac,88.0,2.17,0.02,1.736,717.1658986175115,190.0,1245.0,Conserved,Binder,Binder,Binder,0.2892453078162051
1.0,2-6 SiaLac,88.0,2.17,0.02,1.769,749.576031656303,190.0,1326.0,Conserved,Binder,Binder,Binder,0.302316870372708
1.0,2-6 SiaLac,88.0,2.17,0.02,1.769,561.3340870548333,190.0,993.0,Conserved,Binder,Binder,Binder,0.22639566536960712
1.0,2-6 SiaLac,79.0,2.42,0.018,1.451,1257.0640937284631,190.0,1824.0,Conserved,Binder,Binder,Binder,0.5069955102942062
1.0,2-6 SiaLac,79.0,2.42,0.038,2.978,316.31967763599727,190.0,942.0,Conserved,Binder,Binder,Binder,0.12757715153846655
1.0,2-6 SiaLac,79.0,2.42,0.02,1.587,427.2211720226843,190.0,678.0,Conserved,Binder,Binder,Binder,0.17230562641853409
1.0,2-6 SiaLac,79.0,2.42,0.019,1.513,268.3410442828817,190.0,406.0,Conserved,Binder,Binder,Binder,0.10822654577266709
1.0,2-6 SiaLac,71.0,2.69,0.018,1.276,630.0940438871473,190.0,804.0,Conserved,Binder,Binder,Binder,0.2541277353379797
1.0,2-6 SiaLac,71.0,2.69,0.02,1.384,361.27167630057806,190.0,500.0,Conserved,Binder,Binder,Binder,0.1457070636212283
1.0,2-6 SiaLac,71.0,2.69,0.017,1.2,1560.0,190.0,1872.0,Conserved,Binder,Binder,Binder,0.6291747572815534
1.0,2-6 SiaLac,71.0,2.69,0.018,1.287,421.91142191142194,190.0,543.0,Conserved,Binder,Binder,Binder,0.17016411312527818
1.0,2-6 SiaLac,71.0,2.69,0.022,1.547,207.4983839689722,190.0,321.0,Conserved,Binder,Binder,Binder,0.08368765728845683
1.0,2-6 SiaLac,71.0,2.69,0.033,2.36,117.37288135593221,190.0,277.0,Others,Non-binder,Binder,Binder,0.0473384962426636
1.0,2-6 SiaLac,61.0,3.11,0.031,1.927,768.5521536066424,190.0,1481.0,Conserved,Binder,Binder,Binder,0.3099702658356887
1.0,2-6 SiaLac,61.0,3.11,0.033,2.033,356.61583866207576,190.0,725.0,Conserved,Binder,Binder,Binder,0.14382928444421098
1.0,2-6 SiaLac,61.0,3.11,0.029,1.763,238.7975042541123,190.0,421.0,Conserved,Binder,Binder,Binder,0.0963111293452063
1.0,2-6 SiaLac,61.0,3.11,0.036,2.228,338.4201077199282,190.0,754.0,Conserved,Binder,Binder,Binder,0.1364906340601814
1.0,2-6 SiaLac,61.0,3.11,0.028,1.721,0.0,190.0,0.0,Others,Non-binder,Binder,Binder,0.0
1.0,2-6 SiaLac,53.0,3.62,0.094,4.961,112.0741785930256,190.0,556.0,Others,Non-binder,Binder,Binder,0.045201438534484835
1.0,2-6 SiaLac,53.0,3.62,0.122,6.395,68.17826426896013,190.0,436.0,Others,Non-binder,Binder,Binder,0.027497463380320896
1.0,2-6 SiaLac,53.0,3.62,0.09,4.735,91.02428722280887,190.0,431.0,Others,Non-binder,Binder,Binder,0.036711656294959726
1.0,2-6 SiaLac,53.0,3.62,0.019,0.997,2479.4383149448345,190.0,2472.0,Conserved,Binder,Binder,Binder,1.0
1.0,2-6 SiaLac,53.0,3.62,0.019,0.997,0.0,190.0,0.0,Others,Non-binder,Binder,Binder,0.0
1.0,2-6 SiaLac,53.0,3.62,0.022,1.144,1916.0839160839162,190.0,2192.0,Conserved,Binder,Binder,Binder,0.7727895082264015
5.0,2-6 SiaLac,105.0,1.81,0.055,5.752,240.61196105702365,190.0,1384.0,Others,Binder,Non-binder,Binder,0.09704293089557144
5.0,2-6 SiaLac,105.0,1.81,0.055,5.814,113.51909184726522,190.0,660.0,Lost in egg,Non-binder,Non-binder,Binder,0.04578419683322145
5.0,2-6 SiaLac,105.0,1.81,0.06,6.271,168.39419550310956,190.0,1056.0,Others,Binder,Non-binder,Binder,0.06791626736108423
5.0,2-6 SiaLac,105.0,1.81,0.06,6.337,136.0265109673347,190.0,862.0,Others,Binder,Non-binder,Binder,0.05486182501392908
5.0,2-6 SiaLac,105.0,1.81,0.064,6.672,230.51558752997602,190.0,1538.0,Others,Binder,Non-binder,Binder,0.0929708902780688
5.0,2-6 SiaLac,88.0,2.17,0.065,5.68,108.97887323943662,190.0,619.0,Lost in egg,Non-binder,Non-binder,Binder,0.043953048794384435
5.0,2-6 SiaLac,88.0,2.17,0.077,6.744,129.15183867141164,190.0,871.0,Others,Binder,Non-binder,Binder,0.052089151761892154
5.0,2-6 SiaLac,88.0,2.17,0.085,7.449,36.246476037051956,190.0,270.0,Lost in egg,Non-binder,Non-binder,Binder,0.014618825489053721
5.0,2-6 SiaLac,88.0,2.17,0.07,6.131,53.335508073723695,190.0,327.0,Lost in egg,Non-binder,Non-binder,Binder,0.021511125222290664
5.0,2-6 SiaLac,88.0,2.17,0.085,7.494,116.89351481184949,190.0,876.0,Lost in egg,Non-binder,Non-binder,Binder,0.04714515949329043
5.0,2-6 SiaLac,88.0,2.17,0.081,7.136,87.30381165919282,190.0,623.0,Lost in egg,Non-binder,Non-binder,Binder,0.035211124686171213
5.0,2-6 SiaLac,79.0,2.42,0.079,6.225,29.076305220883537,190.0,181.0,Lost in egg,Non-binder,Non-binder,Binder,0.011726972615380617
5.0,2-6 SiaLac,79.0,2.42,0.08,6.26,7.827476038338658,190.0,49.0,Lost in egg,Non-binder,Non-binder,Binder,0.003156955343941603
