PrintPol,GlycType,DP,Valency,GlycSpace,PolSpace,GlycDen,MVF,MVF_orig,Status
1.0,2-3 SiaLac,200.0,116.0,1.72,0.031,3.622,305.356157,1106.0,True binder
1.0,2-3 SiaLac,300.0,147.0,2.04,0.006,0.921,1325.732899,1221.0,True binder
1.0,2-3 SiaLac,300.0,147.0,2.04,0.006,0.921,1056.460369,973.0,True binder
1.0,2-3 SiaLac,300.0,147.0,2.04,0.006,0.884,1142.533937,1010.0,True binder
1.0,2-3 SiaLac,300.0,147.0,2.04,0.006,0.865,1056.647399,914.0,True binder
1.0,2-3 SiaLac,300.0,147.0,2.04,0.006,0.822,1008.515815,829.0,True binder
1.0,2-3 SiaLac,300.0,147.0,2.04,0.006,0.902,961.197339,867.0,True binder
5.0,2-3 SiaLac,150.0,60.0,2.5,0.054,3.225,457.984496,1477.0,True binder
5.0,2-3 SiaLac,150.0,60.0,2.5,0.056,3.332,362.845138,1209.0,True binder
5.0,2-3 SiaLac,150.0,60.0,2.5,0.048,2.855,341.856392,976.0,True binder
5.0,2-3 SiaLac,150.0,60.0,2.5,0.052,3.148,265.8831,837.0,True binder
5.0,2-3 SiaLac,150.0,60.0,2.5,0.053,3.174,392.879647,1247.0,True binder
5.0,2-3 SiaLac,150.0,60.0,2.5,0.043,2.555,518.590998,1325.0,True binder
5.0,2-3 SiaLac,200.0,116.0,1.72,0.075,8.667,269.528095,2336.0,True binder
5.0,2-3 SiaLac,200.0,116.0,1.72,0.068,7.838,257.846389,2021.0,True binder
5.0,2-3 SiaLac,200.0,116.0,1.72,0.074,8.537,224.200539,1914.0,True binder
5.0,2-3 SiaLac,200.0,116.0,1.72,0.065,7.493,200.453757,1502.0,True binder
5.0,2-3 SiaLac,200.0,116.0,1.72,0.067,7.735,174.531351,1350.0,True binder
5.0,2-3 SiaLac,200.0,116.0,1.72,0.062,7.218,177.057357,1278.0,True binder
5.0,2-3 SiaLac,300.0,147.0,2.04,0.019,2.725,439.266055,1197.0,True binder
5.0,2-3 SiaLac,300.0,147.0,2.04,0.018,2.707,347.247876,940.0,True binder
5.0,2-3 SiaLac,300.0,147.0,2.04,0.017,2.534,372.928177,945.0,True binder
5.0,2-3 SiaLac,300.0,147.0,2.04,0.018,2.615,405.736138,1061.0,True binder
5.0,2-3 SiaLac,300.0,147.0,2.04,0.016,2.346,345.6948,811.0,True binder
5.0,2-3 SiaLac,300.0,147.0,2.04,0.019,2.725,423.486239,1154.0,True binder
10.0,2-3 SiaLac,150.0,60.0,2.5,0.052,3.095,425.52504,1317.0,True binder
10.0,2-3 SiaLac,150.0,60.0,2.5,0.053,3.161,631.762101,1997.0,True binder
10.0,2-3 SiaLac,150.0,60.0,2.5,0.047,2.831,726.951607,2058.0,True binder
10.0,2-3 SiaLac,150.0,60.0,2.5,0.048,2.898,469.979296,1362.0,True binder
10.0,2-3 SiaLac,150.0,60.0,2.5,0.049,2.911,427.68808,1245.0,True binder
10.0,2-3 SiaLac,150.0,60.0,2.5,0.049,2.911,614.908966,1790.0,True binder
10.0,2-3 SiaLac,200.0,116.0,1.72,0.092,10.646,220.458388,2347.0,True binder
10.0,2-3 SiaLac,200.0,116.0,1.72,0.091,10.508,228.397411,2400.0,True binder
10.0,2-3 SiaLac,200.0,116.0,1.72,0.088,10.164,295.061,2999.0,True binder
10.0,2-3 SiaLac,200.0,116.0,1.72,0.086,9.974,282.835372,2821.0,True binder
10.0,2-3 SiaLac,200.0,116.0,1.72,0.084,9.75,276.0,2691.0,True binder
10.0,2-3 SiaLac,200.0,116.0,1.72,0.084,9.785,263.157895,2575.0,True binder
10.0,2-3 SiaLac,300.0,147.0,2.04,0.135,19.84,213.558468,4237.0,True binder
10.0,2-3 SiaLac,300.0,147.0,2.04,0.125,18.436,202.80972,3739.0,True binder
10.0,2-3 SiaLac,300.0,147.0,2.04,0.132,19.457,183.481523,3570.0,True binder
10.0,2-3 SiaLac,300.0,147.0,2.04,0.112,16.488,217.491509,3586.0,True binder
10.0,2-3 SiaLac,300.0,147.0,2.04,0.119,17.525,251.46933,4407.0,True binder
10.0,2-3 SiaLac,300.0,147.0,2.04,0.143,20.958,196.297357,4114.0,True binder
1.0,2-6 SiaLac,150.0,62.0,2.44,0.014,0.864,577.546296,499.0,True binder
1.0,2-6 SiaLac,150.0,62.0,2.44,0.011,0.706,1314.447592,928.0,True binder
1.0,2-6 SiaLac,200.0,110.0,1.82,0.024,2.641,115.865203,306.0,True binder
1.0,2-6 SiaLac,200.0,110.0,1.82,0.022,2.442,52.006552,127.0,False binder
1.0,2-6 SiaLac,200.0,110.0,1.82,0.023,2.58,146.899225,379.0,True binder
1.0,2-6 SiaLac,200.0,110.0,1.82,0.023,2.519,174.672489,440.0,True binder
1.0,2-6 SiaLac,200.0,110.0,1.82,0.022,2.473,240.194096,594.0,True binder
1.0,2-6 SiaLac,200.0,110.0,1.82,0.021,2.32,332.758621,772.0,True binder
1.0,2-6 SiaLac,300.0,120.0,2.5,0.011,1.378,199.564586,275.0,True binder
1.0,2-6 SiaLac,300.0,120.0,2.5,0.011,1.344,519.345238,698.0,True binder
1.0,2-6 SiaLac,300.0,120.0,2.5,0.011,1.327,36.171816,48.0,False binder
1.0,2-6 SiaLac,300.0,120.0,2.5,0.012,1.471,16.315432,24.0,False binder
1.0,2-6 SiaLac,300.0,120.0,2.5,0.011,1.326,14.328808,19.0,False binder
5.0,2-6 SiaLac,150.0,62.0,2.44,0.038,2.309,147.249892,340.0,True binder
5.0,2-6 SiaLac,150.0,62.0,2.44,0.036,2.228,240.574506,536.0,True binder
5.0,2-6 SiaLac,150.0,62.0,2.44,0.036,2.216,187.274368,415.0,True binder
5.0,2-6 SiaLac,200.0,110.0,1.82,0.058,6.332,92.703727,587.0,True binder
5.0,2-6 SiaLac,200.0,110.0,1.82,0.063,6.876,63.554392,437.0,False binder
5.0,2-6 SiaLac,200.0,110.0,1.82,0.062,6.805,74.35709,506.0,True binder
5.0,2-6 SiaLac,200.0,110.0,1.82,0.061,6.662,66.346443,442.0,False binder
5.0,2-6 SiaLac,200.0,110.0,1.82,0.06,6.647,70.558147,469.0,True binder
5.0,2-6 SiaLac,200.0,110.0,1.82,0.06,6.647,68.301489,454.0,False binder
5.0,2-6 SiaLac,300.0,120.0,2.5,0.026,3.164,128.318584,406.0,True binder
5.0,2-6 SiaLac,300.0,120.0,2.5,0.026,3.113,82.557019,257.0,True binder
5.0,2-6 SiaLac,300.0,120.0,2.5,0.027,3.215,35.769829,115.0,False binder
5.0,2-6 SiaLac,300.0,120.0,2.5,0.027,3.198,43.777361,140.0,False binder
5.0,2-6 SiaLac,300.0,120.0,2.5,0.026,3.113,67.137809,209.0,False binder
