PrintPol,GlycType,Valency,GlycSpace,PolSpace,GlycDen,MVF,DP,MVF_orig,Status
5.0,2-6 SiaLac,53.0,3.62,0.089,4.669,43.264082,190.0,202.0,True non-binder
5.0,2-6 SiaLac,53.0,3.62,0.09,4.72,11.440678,190.0,54.0,True non-binder
10.0,2-6 SiaLac,105.0,1.81,0.068,7.108,57.962859,190.0,412.0,True non-binder
10.0,2-6 SiaLac,105.0,1.81,0.061,6.424,251.867995,190.0,1618.0,False non-binder
10.0,2-6 SiaLac,105.0,1.81,0.064,6.744,142.793594,190.0,963.0,False non-binder
10.0,2-6 SiaLac,105.0,1.81,0.062,6.467,90.304623,190.0,584.0,True non-binder
10.0,2-6 SiaLac,105.0,1.81,0.077,8.093,85.011739,190.0,688.0,True non-binder
10.0,2-6 SiaLac,88.0,2.17,0.08,7.055,167.115521,190.0,1179.0,False non-binder
10.0,2-6 SiaLac,88.0,2.17,0.086,7.545,141.020543,190.0,1064.0,False non-binder
10.0,2-6 SiaLac,88.0,2.17,0.111,9.795,58.295048,190.0,571.0,True non-binder
10.0,2-6 SiaLac,88.0,2.17,0.084,7.408,90.037797,190.0,667.0,True non-binder
10.0,2-6 SiaLac,88.0,2.17,0.074,6.471,75.87699,190.0,491.0,True non-binder
10.0,2-6 SiaLac,79.0,2.42,0.111,8.693,32.209824,190.0,280.0,True non-binder
10.0,2-6 SiaLac,79.0,2.42,0.129,10.165,71.323168,190.0,725.0,True non-binder
10.0,2-6 SiaLac,79.0,2.42,0.116,9.118,57.468743,190.0,524.0,True non-binder
10.0,2-6 SiaLac,79.0,2.42,0.118,9.281,33.832561,190.0,314.0,True non-binder
10.0,2-6 SiaLac,79.0,2.42,0.107,8.437,49.543677,190.0,418.0,True non-binder
10.0,2-6 SiaLac,79.0,2.42,0.113,8.883,43.904086,190.0,390.0,True non-binder
10.0,2-6 SiaLac,71.0,2.69,0.102,7.254,56.106975,190.0,407.0,True non-binder
10.0,2-6 SiaLac,71.0,2.69,0.119,8.41,91.438763,190.0,769.0,True non-binder
10.0,2-6 SiaLac,71.0,2.69,0.13,9.221,14.965839,190.0,138.0,True non-binder
10.0,2-6 SiaLac,71.0,2.69,0.131,9.274,12.184602,190.0,113.0,True non-binder
10.0,2-6 SiaLac,71.0,2.69,0.13,9.232,42.785962,190.0,395.0,True non-binder
10.0,2-6 SiaLac,71.0,2.69,0.131,9.295,12.910167,190.0,120.0,True non-binder
10.0,2-6 SiaLac,61.0,3.11,0.129,7.908,0.0,190.0,0.0,True non-binder
10.0,2-6 SiaLac,61.0,3.11,0.113,6.898,5.508843,190.0,38.0,True non-binder
10.0,2-6 SiaLac,61.0,3.11,0.121,7.406,17.148258,190.0,127.0,True non-binder
10.0,2-6 SiaLac,61.0,3.11,0.143,8.754,134.338588,190.0,1176.0,False non-binder
10.0,2-6 SiaLac,61.0,3.11,0.122,7.462,15.54543,190.0,116.0,True non-binder
10.0,2-6 SiaLac,53.0,3.62,0.114,6.004,12.158561,190.0,73.0,True non-binder
10.0,2-6 SiaLac,53.0,3.62,0.106,5.568,14.367816,190.0,80.0,True non-binder
10.0,2-6 SiaLac,53.0,3.62,0.115,6.07,62.76771,190.0,381.0,True non-binder
10.0,2-6 SiaLac,53.0,3.62,0.114,5.997,26.680007,190.0,160.0,True non-binder
10.0,2-6 SiaLac,53.0,3.62,0.116,6.085,159.079704,190.0,968.0,False non-binder
10.0,2-6 SiaLac,53.0,3.62,0.116,6.092,0.0,190.0,0.0,True non-binder
1.0,2-3 SiaLac,111.0,1.72,0.021,2.272,327.024648,190.0,743.0,True binder
1.0,2-3 SiaLac,111.0,1.72,0.023,2.531,295.930462,190.0,749.0,True binder
1.0,2-3 SiaLac,111.0,1.72,0.024,2.628,520.928463,190.0,1369.0,True binder
1.0,2-3 SiaLac,111.0,1.72,0.024,2.65,860.754717,190.0,2281.0,True binder
1.0,2-3 SiaLac,111.0,1.72,0.024,2.694,904.231626,190.0,2436.0,True binder
1.0,2-3 SiaLac,111.0,1.72,0.026,2.899,859.261814,190.0,2491.0,True binder
1.0,2-3 SiaLac,93.0,2.05,0.019,1.747,840.297653,190.0,1468.0,True binder
1.0,2-3 SiaLac,93.0,2.05,0.018,1.716,361.305361,190.0,620.0,True binder
1.0,2-3 SiaLac,93.0,2.05,0.018,1.7,551.764706,190.0,938.0,True binder
1.0,2-3 SiaLac,93.0,2.05,0.018,1.684,669.833729,190.0,1128.0,True binder
1.0,2-3 SiaLac,93.0,2.05,0.017,1.566,1032.56705,190.0,1617.0,True binder
1.0,2-3 SiaLac,93.0,2.05,0.017,1.536,1630.859375,190.0,2505.0,True binder
1.0,2-3 SiaLac,83.0,2.3,0.023,1.868,1493.040685,190.0,2789.0,True binder
1.0,2-3 SiaLac,83.0,2.3,0.037,3.068,502.607562,190.0,1542.0,True binder
1.0,2-3 SiaLac,83.0,2.3,0.024,1.991,1290.808639,190.0,2570.0,True binder
1.0,2-3 SiaLac,83.0,2.3,0.029,2.368,703.969595,190.0,1667.0,True binder
1.0,2-3 SiaLac,83.0,2.3,0.033,2.745,612.750455,190.0,1682.0,True binder
1.0,2-3 SiaLac,83.0,2.3,0.027,2.241,1381.526104,190.0,3096.0,True binder
1.0,2-3 SiaLac,70.0,2.71,0.031,2.209,498.415573,190.0,1101.0,True binder
1.0,2-3 SiaLac,70.0,2.71,0.029,2.074,518.322083,190.0,1075.0,True binder
1.0,2-3 SiaLac,70.0,2.71,0.03,2.089,853.997128,190.0,1784.0,True binder
1.0,2-3 SiaLac,70.0,2.71,0.021,1.482,1979.082321,190.0,2933.0,True binder
1.0,2-3 SiaLac,70.0,2.71,0.032,2.258,857.395926,190.0,1936.0,True binder
1.0,2-3 SiaLac,70.0,2.71,0.021,1.446,1320.885201,190.0,1910.0,True binder
1.0,2-3 SiaLac,64.0,2.98,0.018,1.122,1420.677362,190.0,1594.0,True binder
1.0,2-3 SiaLac,64.0,2.98,0.018,1.181,829.80525,190.0,980.0,True binder
1.0,2-3 SiaLac,64.0,2.98,0.021,1.366,488.286969,190.0,667.0,True binder
1.0,2-3 SiaLac,64.0,2.98,0.019,1.228,659.609121,190.0,810.0,True binder
1.0,2-3 SiaLac,64.0,2.98,0.023,1.469,544.588155,190.0,800.0,True binder
1.0,2-3 SiaLac,64.0,2.98,0.02,1.252,1424.920128,190.0,1784.0,True binder
1.0,2-3 SiaLac,51.0,3.73,0.027,1.355,571.95572,190.0,775.0,True binder
1.0,2-3 SiaLac,51.0,3.73,0.029,1.499,1001.334223,190.0,1501.0,True binder
1.0,2-3 SiaLac,51.0,3.73,0.032,1.632,387.254902,190.0,632.0,True binder
1.0,2-3 SiaLac,51.0,3.73,0.028,1.452,190.082645,190.0,276.0,True binder
1.0,2-3 SiaLac,51.0,3.73,0.03,1.518,267.457181,190.0,406.0,True binder
1.0,2-3 SiaLac,51.0,3.73,0.028,1.452,421.487603,190.0,612.0,True binder
5.0,2-3 SiaLac,111.0,1.72,0.05,5.581,688.407096,190.0,3842.0,True binder
5.0,2-3 SiaLac,111.0,1.72,0.05,5.535,343.089431,190.0,1899.0,True binder
5.0,2-3 SiaLac,111.0,1.72,0.05,5.489,320.823465,190.0,1761.0,True binder
5.0,2-3 SiaLac,111.0,1.72,0.04,4.473,503.465236,190.0,2252.0,True binder
5.0,2-3 SiaLac,111.0,1.72,0.057,6.268,277.44097,190.0,1739.0,True binder
5.0,2-3 SiaLac,111.0,1.72,0.054,5.995,392.827356,190.0,2355.0,True binder
5.0,2-3 SiaLac,93.0,2.05,0.069,6.408,514.981273,190.0,3300.0,True binder
5.0,2-3 SiaLac,93.0,2.05,0.077,7.119,330.383481,190.0,2352.0,True binder
