,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Block 2 (LOWER DILUTION),,,,,,,,,,,,,,,,,Block 10 (LOWER DILUTION),,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
,,,0.46,138,0.46,0.093,2671,28751,3105145,125,12265.625,2.344,253.158,1147,,,,,,0.46,138,0.46,0.093,3004,32336,3492271,130,13266.5,2.437,263.240,1269
,,,,,,,2568,27643,2985404,130,13266.5,2.084,225.033,1123,,,,,,,,,,3202,34467,3722454,130,13266.5,2.598,280.591,1347
,,,,,,,2380,25619,2766846,130,13266.5,1.931,208.559,1085,,,,,,,,,,3210,34553,3731755,130,13266.5,2.605,281.292,1239
,,,,,,,943,10151,1096276,300,70650,0.144,15.517,652,,,,,,,,,,3310,35630,3848009,130,13266.5,2.686,290.055,1175
,,,,,,,2018,21722,2346006,125,12265.625,1.771,191.267,994,,,,,,,,,,3569,38418,4149107,130,13266.5,2.896,312.751,1154
,,,,,,,2016,21701,2343681,130,13266.5,1.636,176.662,1064,,,,,,,,,,3663,39429,4258385,130,13266.5,2.972,320.988,1183
10,α2-3 SiaLac,150,0.34,51,0.34,0.063,3503,55603,4114635,140,15386,3.614,267.427,671,,,10,α2-3 SiaLac,150,0.34,51,0.34,0.063,4139,65698,4861683,135,14306.625,4.592,339.820,2137
,,,,,,,3553,56397,4173365,140,15386,3.665,271.244,1012,,,,,,,,,,4301,68270,5051968,140,15386,4.437,328.348,1472
,,,,,,,3599,57127,4227397,140,15386,3.713,274.756,1225,,,,,,,,,,4238,67270,4977968,140,15386,4.372,323.539,1314
,,,,,,,3599,57127,4227397,140,15386,3.713,274.756,1130,,,,,,,,,,4228,67111,4966222,140,15386,4.362,322.775,1265
,,,,,,,3564,56571,4186286,140,15386,3.677,272.084,1478,,,,,,,,,,4477,71063,5258698,135,14306.625,4.967,367.571,1307
,,,,,,,3779,59984,4438825,140,15386,3.899,288.498,1416,,,,,,,,,,4961,78746,5827206,145,16504.625,4.771,353.065,1251
,,,0.58,87,0.58,0.063,1812,28762,3969143,135,14306.625,2.010,277.434,465,,,,,,0.58,87,0.58,0.063,2922,46381,6400571,135,14306.625,3.242,447.385,1664
,,,,,,,1919,30460,4203524,140,15386,1.980,273.204,600,,,,,,,,,,2889,45857,6328286,135,14306.625,3.205,442.333,1380
,,,,,,,1181,18746,2586952,215,36286.625,0.517,71.292,603,,,,,,,,,,2936,46603,6431238,135,14306.625,3.257,449.529,1281
,,,,,,,696,11048,1524571,260,53066,0.208,28.730,908,,,,,,,,,,3129,49667,6854000,135,14306.625,3.472,479.079,1285
,,,,,,,1712,27175,3750095,135,14306.625,1.899,262.123,1427,,,,,,,,,,3146,49937,6891238,135,14306.625,3.490,481.682,1374
,,,,,,,1810,28730,3964762,140,15386,1.867,257.686,1239,,,,,,,,,,3497,55508,7660095,135,14306.625,3.880,535.423,1325
,,200,0.37,74,0.37,0.275,16935,61582,4557055,135,14306.625,4.304,318.528,493,,,,,200,0.37,74,0.37,0.275,19211,69858,5169505,135,14306.625,4.883,361.336,1085
,,,,,,,16987,61771,4571047,135,14306.625,4.318,319.506,494,,,,,,,,,,19531,71022,5255615,140,15386,4.616,341.584,1011
,,,,,,,15585,56673,4193782,145,16504.625,3.434,254.097,480,,,,,,,,,,19428,70647,5227898,140,15386,4.592,339.783,1113
,,,,,,,17337,63044,4665229,135,14306.625,4.407,326.089,800,,,,,,,,,,19776,71913,5321542,140,15386,4.674,345.869,1105
,,,,,,,17583,63938,4731425,135,14306.625,4.469,330.716,990,,,,,,,,,,20237,73589,5445593,135,14306.625,5.144,380.634,923
,,,,,,,17917,65153,4821302,140,15386,4.235,313.356,770,,,,,,,,,,14586,53040,3924960,170,22686.5,2.338,173.009,897
,,,0.52,104,0.52,0.275,13251,48185,6649593,145,16504.625,2.920,402.893,650,,,,,,0.52,104,0.52,0.275,17836,64858,8950429,145,16504.625,3.930,542.298,1014
,,,,,,,13114,47687,6580844,145,16504.625,2.889,398.727,766,,,,,,,,,,17594,63978,8828989,145,16504.625,3.876,534.940,1016
,,,,,,,12937,47044,6492022,150,17662.5,2.663,367.560,635,,,,,,,,,,17035,61945,8548473,150,17662.5,3.507,483.990,1026
,,,,,,,13491,49058,6770029,145,16504.625,2.972,410.190,796,,,,,,,,,,17365,63145,8714073,145,16504.625,3.826,527.978,1024
,,,,,,,13721,49895,6885447,145,16504.625,3.023,417.183,1002,,,,,,,,,,18081,65749,9073375,145,16504.625,3.984,549.747,947
,,,,,,,13511,49131,6780065,150,17662.5,2.782,383.868,685,,,,,,,,,,18316,66604,9191302,150,17662.5,3.771,520.385,948
,,300,0.36,108,0.36,0.093,6593,70969,5251690,150,17662.5,4.018,297.336,767,,,,,300,0.36,108,0.36,0.093,7861,84618,6261722,145,16504.625,5.127,379.392,863
,,,,,,,6524,70226,5196728,150,17662.5,3.976,294.224,991,,,,,,,,,,7617,81991,6067363,150,17662.5,4.642,343.517,948
,,,,,,,6455,69483,5141765,155,18859.625,3.684,272.633,736,,,,,,,,,,7566,81442,6026738,150,17662.5,4.611,341.217,827
,,,,,,,6698,72099,5335328,150,17662.5,4.082,302.071,498,,,,,,,,,,7621,82034,6070549,150,17662.5,4.645,343.697,791
,,,,,,,6630,71367,5281163,155,18859.625,3.784,280.025,710,,,,,,,,,,7767,83606,6186846,150,17662.5,4.734,350.281,699
,,,,,,,6728,72422,5359225,150,17662.5,4.100,303.424,506,,,,,,,,,,7953,85608,6335005,150,17662.5,4.847,358.670,638
,,,0.46,138,0.46,0.093,3583,38568,5322433,160,20096,1.919,264.850,1065,,,,,,0.46,138,0.46,0.093,6957,74887,10334403,135,14306.625,5.234,722.351,918
,,,,,,,3893,41905,5782928,155,18859.625,2.222,306.630,686,,,,,,,,,,6978,75113,10365597,135,14306.625,5.250,724.531,795
,,,,,,,4066,43767,6039914,155,18859.625,2.321,320.256,885,,,,,,,,,,7016,75522,10422045,140,15386,4.908,677.372,836
,,,,,,,4110,44241,6105274,150,17662.5,2.505,345.663,804,,,,,,,,,,7129,76738,10589903,135,14306.625,5.364,740.210,793
,,,,,,,3270,35199,4857481,170,22686.5,1.552,214.113,746,,,,,,,,,,7191,77406,10682002,135,14306.625,5.410,746.647,969
,,,,,,,4889,52626,7262454,145,16504.625,3.189,440.025,775,,,,,,,,,,7294,78515,10835005,140,15386,5.103,704.212,676
1,Lac,150,0.51,77,0.51,0.063,387,6143,469929,135,14306.625,0.429,32.847,120,,,1,Lac,150,0.51,77,0.51,0.063,443,7032,537929,130,13266.5,0.530,40.548,132
,,,,,,,385,6111,467500,135,14306.625,0.427,32.677,86,,,,,,,,,,466,7397,565857,130,13266.5,0.558,42.653,152
,,,,,,,398,6317,483286,135,14306.625,0.442,33.781,71,,,,,,,,,,460,7302,558571,130,13266.5,0.550,42.104,113
,,,,,,,406,6444,493000,135,14306.625,0.450,34.460,21,,,,,,,,,,480,7619,582857,130,13266.5,0.574,43.935,119
,,,,,,,411,6524,499071,135,14306.625,0.456,34.884,67,,,,,,,,,,480,7619,582857,125,12265.625,0.621,47.520,135
,,,,,,,412,6540,500286,135,14306.625,0.457,34.969,42,,,,,,,,,,491,7794,596214,135,14306.625,0.545,41.674,110
,,,0.73,110,0.73,0.063,369,5857,773143,135,14306.625,0.409,54.041,43,,,,,,0.73,110,0.73,0.063,423,6714,886286,135,14306.625,0.469,61.949,91
,,,,,,,388,6159,812952,130,13266.5,0.464,61.279,18,,,,,,,,,,428,6794,896762,135,14306.625,0.475,62.682,59
,,,,,,,446,7079,934476,125,12265.625,0.577,76.187,-13,,,,,,,,,,434,6889,909333,135,14306.625,0.482,63.560,53
,,,,,,,476,7556,997333,110,9498.5,0.795,104.999,-46,,,,,,,,,,444,7048,930286,135,14306.625,0.493,65.025,37
,,,,,,,515,8175,1079048,120,11304,0.723,95.457,-33,,,,,,,,,,456,7238,955429,135,14306.625,0.506,66.782,52
,,,,,,,456,7238,955429,130,13266.5,0.546,72.018,-36,,,,,,,,,,478,7587,1001524,135,14306.625,0.530,70.004,48
,,200,0.47,94,0.47,0.275,2674,9724,743858,135,14306.625,0.680,51.994,123,,,,,200,0.47,94,0.47,0.275,3017,10971,839275,135,14306.625,0.767,58.663,172
,,,,,,,2716,9876,755542,135,14306.625,0.690,52.811,146,,,,,,,,,,3161,11495,879333,135,14306.625,0.803,61.463,203
,,,,,,,2714,9869,754985,135,14306.625,0.690,52.772,103,,,,,,,,,,3109,11305,864867,135,14306.625,0.790,60.452,171
,,,,,,,2783,10120,774180,135,14306.625,0.707,54.113,83,,,,,,,,,,3210,11673,892964,135,14306.625,0.816,62.416,159
,,,,,,,2887,10498,803111,135,14306.625,0.734,56.136,87,,,,,,,,,,3217,11698,894911,135,14306.625,0.818,62.552,174
,,,,,,,3290,11964,915218,135,14306.625,0.836,63.972,25,,,,,,,,,,3500,12727,973636,135,14306.625,0.890,68.055,131
,,,0.66,132,0.66,0.275,2076,7549,996480,135,14306.625,0.528,69.652,53,,,,,,0.66,132,0.66,0.275,2326,8458,1116480,135,14306.625,0.591,78.039,95
,,,,,,,2046,7440,982080,135,14306.625,0.520,68.645,112,,,,,,,,,,2466,8967,1183680,135,14306.625,0.627,82.736,133
,,,,,,,2097,7625,1006560,135,14306.625,0.533,70.356,116,,,,,,,,,,2272,8262,1090560,135,14306.625,0.577,76.228,136
,,,,,,,2228,8102,1069440,130,13266.5,0.611,80.612,108,,,,,,,,,,2374,8633,1139520,135,14306.625,0.603,79.650,89
,,,,,,,2274,8269,1091520,130,13266.5,0.623,82.276,74,,,,,,,,,,2488,9047,1194240,135,14306.625,0.632,83.475,107
,,,,,,,2258,8211,1083840,130,13266.5,0.619,81.698,61,,,,,,,,,,2472,8989,1186560,135,14306.625,0.628,82.938,116
,,300,0.28,84,0.28,0.093,974,10484,802056,135,14306.625,0.733,56.062,-29,,,,,300,0.28,84,0.28,0.093,1012,10893,833348,140,15386,0.708,54.163,0
,,,,,,,972,10463,800409,140,15386,0.680,52.022,82,,,,,,,,,,1035,11141,852287,135,14306.625,0.779,59.573,118
,,,,,,,983,10581,809467,135,14306.625,0.740,56.580,157,,,,,,,,,,1044,11238,859699,135,14306.625,0.786,60.091,185
,,,,,,,1002,10786,825113,135,14306.625,0.754,57.673,156,,,,,,,,,,1037,11163,853934,140,15386,0.725,55.501,196
,,,,,,,999,10753,822643,135,14306.625,0.752,57.501,143,,,,,,,,,,1050,11302,864639,140,15386,0.735,56.197,211
,,,,,,,1015,10926,835818,180,25434,0.430,32.862,90,,,,,,,,,,1082,11647,890990,135,14306.625,0.814,62.278,230
,,,0.56,168,0.56,0.093,899,9677,1277374,140,15386,0.629,83.022,-88,,,,,,0.56,168,0.56,0.093,925,9957,1314316,140,15386,0.647,85.423,260
,,,,,,,907,9763,1288741,140,15386,0.635,83.761,20,,,,,,,,,,896,9645,1273111,145,16504.625,0.584,77.137,50
,,,,,,,917,9871,1302949,140,15386,0.642,84.684,72,,,,,,,,,,914,9839,1298687,140,15386,0.639,84.407,122
,,,,,,,919,9892,1305791,140,15386,0.643,84.869,141,,,,,,,,,,915,9849,1300108,145,16504.625,0.597,78.772,216
,,,,,,,909,9785,1291582,140,15386,0.636,83.945,130,,,,,,,,,,944,10161,1341313,145,16504.625,0.616,81.269,203
,,,,,,,862,9279,1224801,150,17662.5,0.525,69.345,98,,,,,,,,,,945,10172,1342734,145,16504.625,0.616,81.355,220
5,Lac,150,0.51,77,0.51,0.063,2168,34413,3768190,135,14306.625,2.405,263.388,24,,,5,Lac,150,0.51,77,0.51,0.063,2501,39698,4346976,135,14306.625,2.775,303.844,190
,,,,,,,2214,35143,3848143,135,14306.625,2.456,268.976,11,,,,,,,,,,2528,40127,4393905,135,14306.625,2.805,307.124,162
,,,,,,,2169,34429,3769929,135,14306.625,2.406,263.509,-37,,,,,,,,,,2521,40016,4381738,140,15386,2.601,284.787,129
,,,,,,,1403,22270,2438548,230,41526.5,0.536,58.723,74,,,,,,,,,,2548,40444,4428667,140,15386,2.629,287.837,170
,,,,,,,2172,34476,3775143,135,14306.625,2.410,263.874,27,,,,,,,,,,2570,40794,4466905,140,15386,2.651,290.323,158
,,,,,,,2288,36317,3976762,135,14306.625,2.539,277.966,-50,,,,,,,,,,2612,41460,4539905,140,15386,2.695,295.067,96
,,,0.73,110,0.73,0.063,2001,31762,2668000,135,14306.625,2.220,186.487,50,,,,,,0.73,110,0.73,0.063,2274,36095,3032000,135,14306.625,2.523,211.930,145
,,,,,,,2030,32222,2706667,135,14306.625,2.252,189.190,53,,,,,,,,,,2230,35397,2973333,135,14306.625,2.474,207.829,165
,,,,,,,1015,16111,1353333,255,51044.625,0.316,26.513,-31,,,,,,,,,,2298,36476,3064000,135,14306.625,2.550,214.167,131
,,,,,,,2100,33333,2800000,135,14306.625,2.330,195.714,-60,,,,,,,,,,2320,36825,3093333,135,14306.625,2.574,216.217,34
,,,,,,,2088,33143,2784000,135,14306.625,2.317,194.595,0,,,,,,,,,,2393,37984,3190667,135,14306.625,2.655,223.020,80
,,,,,,,2097,33286,2796000,135,14306.625,2.327,195.434,-12,,,,,,,,,,2485,39444,3313333,130,13266.5,2.973,249.752,125
,,200,0.47,94,0.47,0.275,12654,46015,5038593,135,14306.625,3.216,352.186,67,,,,,200,0.47,94,0.47,0.275,13291,48331,5292235,140,15386,3.141,343.964,180
,,,,,,,12597,45807,5015896,140,15386,2.977,326.004,64,,,,,,,,,,13364,48596,5321302,135,14306.625,3.397,371.947,162
,,,,,,,10200,37091,4061455,255,51044.625,0.727,79.567,169,,,,,,,,,,13418,48793,5342804,135,14306.625,3.410,373.450,183
,,,,,,,12758,46393,5080004,135,14306.625,3.243,355.081,245,,,,,,,,,,13672,49716,5443942,140,15386,3.231,353.824,195
,,,,,,,12716,46240,5063280,140,15386,3.005,329.084,270,,,,,,,,,,13651,49640,5435580,140,15386,3.226,353.281,271
,,,,,,,12888,46865,5131767,140,15386,3.046,333.535,113,,,,,,,,,,14245,51800,5672100,135,14306.625,3.621,396.467,153
,,,0.66,132,0.66,0.275,10130,36836,3094255,140,15386,2.394,201.108,23,,,,,,0.66,132,0.66,0.275,10810,39309,3301964,140,15386,2.555,214.608,23
,,,,,,,9112,33135,2783302,115,10381.625,3.192,268.099,23,,,,,,,,,,10993,39975,3357862,140,15386,2.598,218.241,119
,,,,,,,10054,36560,3071040,140,15386,2.376,199.600,-68,,,,,,,,,,11007,40025,3362138,135,14306.625,2.798,235.006,137
,,,,,,,10126,36822,3093033,135,14306.625,2.574,216.196,96,,,,,,,,,,11052,40189,3375884,140,15386,2.612,219.413,285
,,,,,,,10200,37091,3115636,135,14306.625,2.593,217.776,6,,,,,,,,,,11341,41240,3464160,135,14306.625,2.883,242.137,156
,,,,,,,10444,37978,3190167,140,15386,2.468,207.342,40,,,,,,,,,,11735,42673,3584509,135,14306.625,2.983,250.549,84
,,300,0.28,84,0.28,0.093,4712,50721,5553972,150,17662.5,2.872,314.450,186,,,,,300,0.28,84,0.28,0.093,5237,56372,6172783,145,16504.625,3.416,374.003,274
,,,,,,,4955,53337,5840393,145,16504.625,3.232,353.864,-44,,,,,,,,,,5226,56254,6159817,145,16504.625,3.408,373.218,163
,,,,,,,4962,53412,5848644,145,16504.625,3.236,354.364,37,,,,,,,,,,5319,57255,6269435,145,16504.625,3.469,379.859,194
,,,,,,,5000,53821,5893434,145,16504.625,3.261,357.078,46,,,,,,,,,,5331,57384,6283579,145,16504.625,3.477,380.716,196
,,,,,,,5006,53886,5900506,145,16504.625,3.265,357.506,18,,,,,,,,,,5352,57610,6308332,145,16504.625,3.491,382.216,215
,,,,,,,5061,54478,5965334,145,16504.625,3.301,361.434,-39,,,,,,,,,,5740,61787,6765662,145,16504.625,3.744,409.925,144
,,,0.56,168,0.56,0.093,4863,52347,4397115,140,15386,3.402,285.787,43,,,,,,0.56,168,0.56,0.093,4948,53262,4473972,145,16504.625,3.227,271.074,253
,,,,,,,4780,51453,4322067,145,16504.625,3.118,261.870,73,,,,,,,,,,4965,53445,4489343,145,16504.625,3.238,272.005,231
,,,,,,,4857,52282,4391690,145,16504.625,3.168,266.088,40,,,,,,,,,,5037,54220,4554446,145,16504.625,3.285,275.950,250
,,,,,,,4875,52476,4407966,140,15386,3.411,286.492,-85,,,,,,,,,,4974,53541,4497481,145,16504.625,3.244,272.498,81
,,,,,,,4796,51625,4336534,145,16504.625,3.128,262.747,4,,,,,,,,,,5069,54564,4583380,145,16504.625,3.306,277.703,167
,,,,,,,4944,53219,4470355,140,15386,3.459,290.547,-62,,,,,,,,,,5297,57018,4789537,145,16504.625,3.455,290.194,154
10,Lac,150,0.51,77,0.51,0.063,4201,66683,6268159,135,14306.625,4.661,438.130,-7,,,10,Lac,150,0.51,77,0.51,0.063,4247,67413,6336794,140,15386,4.381,411.855,97
,,,,,,,4235,67222,6318889,135,14306.625,4.699,441.676,-54,,,,,,,,,,4315,68492,6438254,140,15386,4.452,418.449,113
,,,,,,,4215,66905,6289048,135,14306.625,4.676,439.590,-69,,,,,,,,,,4416,70095,6588952,135,14306.625,4.899,460.553,124
,,,,,,,4267,67730,6366635,135,14306.625,4.734,445.013,21,,,,,,,,,,4564,72444,6809778,135,14306.625,5.064,475.988,-7
,,,,,,,4318,68540,6442730,135,14306.625,4.791,450.332,43,,,,,,,,,,4571,72556,6820222,135,14306.625,5.071,476.718,156
,,,,,,,4369,69349,6518825,135,14306.625,4.847,455.651,9,,,,,,,,,,5376,85333,8021333,135,14306.625,5.965,560.673,130
,,,0.73,110,0.73,0.063,4080,64762,10880000,135,14306.625,4.527,760.487,-25,,,,,,0.73,110,0.73,0.063,4947,78524,13192000,130,13266.5,5.919,994.384,45
,,,,,,,4076,64698,10869333,135,14306.625,4.522,759.741,-76,,,,,,,,,,5042,80032,13445333,130,13266.5,6.033,1013.480,35
,,,,,,,4072,64635,10858667,135,14306.625,4.518,758.996,-18,,,,,,,,,,5097,80905,13592000,130,13266.5,6.098,1024.535,84
,,,,,,,4249,67444,11330667,135,14306.625,4.714,791.987,56,,,,,,,,,,5130,81429,13680000,130,13266.5,6.138,1031.169,52
,,,,,,,4431,70333,11816000,135,14306.625,4.916,825.911,61,,,,,,,,,,5410,85873,14426667,130,13266.5,6.473,1087.451,121
,,,,,,,4557,72333,12152000,135,14306.625,5.056,849.397,29,,,,,,,,,,5437,86302,14498667,130,13266.5,6.505,1092.878,76
,,200,0.47,94,0.47,0.275,19360,70400,6617600,145,16504.625,4.265,400.954,4,,,,,200,0.47,94,0.47,0.275,21935,79764,7497782,135,14306.625,5.575,524.078,11
,,,,,,,19524,70996,6673658,140,15386,4.614,433.749,225,,,,,,,,,,22178,80647,7580844,140,15386,5.242,492.710,180
,,,,,,,19257,70025,6582393,140,15386,4.551,427.817,-90,,,,,,,,,,22180,80655,7581527,135,14306.625,5.638,529.931,91
,,,,,,,19632,71389,6710575,140,15386,4.640,436.148,222,,,,,,,,,,22377,81371,7648865,140,15386,5.289,497.132,88
,,,,,,,19737,71771,6746465,140,15386,4.665,438.481,67,,,,,,,,,,22456,81658,7675869,135,14306.625,5.708,536.525,168
,,,,,,,20031,72840,6846960,140,15386,4.734,445.012,-39,,,,,,,,,,23405,85109,8000255,135,14306.625,5.949,559.199,52
,,,0.66,132,0.66,0.275,18663,67865,11401396,135,14306.625,4.744,796.931,-19,,,,,,0.66,132,0.66,0.275,20056,72931,12252393,135,14306.625,5.098,856.414,46
,,,,,,,18357,66753,11214458,135,14306.625,4.666,783.865,104,,,,,,,,,,20248,73629,12369687,135,14306.625,5.147,864.613,198
,,,,,,,18366,66785,11219956,135,14306.625,4.668,784.249,0,,,,,,,,,,20425,74273,12477818,135,14306.625,5.191,872.171,106
,,,,,,,18417,66971,11251113,135,14306.625,4.681,786.427,-69,,,,,,,,,,20313,73865,12409396,140,15386,4.801,806.538,26
,,,,,,,18660,67855,11399564,135,14306.625,4.743,796.803,-47,,,,,,,,,,20770,75527,12688582,135,14306.625,5.279,886.903,-26
,,,,,,,19204,69833,11731898,135,14306.625,4.881,820.033,-109,,,,,,,,,,21082,76662,12879185,140,15386,4.983,837.072,18
,,300,0.28,84,0.28,0.093,9093,97879,9200667,145,16504.625,5.930,557.460,-14,,,,,300,0.28,84,0.28,0.093,9413,101324,9524456,145,16504.625,6.139,577.078,109
,,,,,,,9105,98009,9212809,145,16504.625,5.938,558.196,-136,,,,,,,,,,9433,101539,9544693,145,16504.625,6.152,578.304,38
,,,,,,,9141,98396,9249236,140,15386,6.395,601.146,-90,,,,,,,,,,9579,103111,9692422,145,16504.625,6.247,587.255,20
,,,,,,,9239,99451,9348396,140,15386,6.464,607.591,-68,,,,,,,,,,9512,102390,9624629,145,16504.625,6.204,583.147,45
,,,,,,,9262,99699,9371668,140,15386,6.480,609.104,-38,,,,,,,,,,9651,103886,9765274,145,16504.625,6.294,591.669,65
,,,,,,,9597,103305,9710635,145,16504.625,6.259,588.358,72,,,,,,,,,,10365,111572,10487729,140,15386,7.252,681.641,179
,,,0.56,168,0.56,0.093,8204,88310,14836082,140,15386,5.740,964.259,-4,,,,,,0.56,168,0.56,0.093,8583,92390,15521464,140,15386,6.005,1008.804,127
,,,,,,,8097,87158,14642583,140,15386,5.665,951.682,-76,,,,,,,,,,8690,93541,15714962,140,15386,6.080,1021.381,151
,,,,,,,8142,87643,14723961,145,16504.625,5.310,892.111,-64,,,,,,,,,,8683,93466,15702304,145,16504.625,5.663,951.388,95
,,,,,,,8090,87083,14629925,145,16504.625,5.276,886.414,1,,,,,,,,,,8668,93305,15675178,140,15386,6.064,1018.795,97
,,,,,,,8155,87783,14747470,145,16504.625,5.319,893.536,-70,,,,,,,,,,8722,93886,15772831,140,15386,6.102,1025.142,15
,,,,,,,8592,92487,15537740,140,15386,6.011,1009.862,48,,,,,,,,,,8953,96372,16190571,145,16504.625,5.839,980.972,76
