egg H1N1 binding to TL-VI-26-3,,,,,,,,,,,,,,,,,egg H1N1 binding to TL-VI-26-3,,,,,,,,,,,,,,
Block 2 and 10,,,,,,,,,,,,,,,,,Block 2 and 10,,,,,,,,,,,,,,
Block 1 and 9 are Ab control ,,,,,,,,,,,,,,,,,Block 1 and 9 are Ab control ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Block 2,,,,,,,,,,,,,,,,,Block 10,,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
,,,,,,,49,778,33833,140,15386,0.051,2.199,49,,,,,,,,,,1410,22381,973571,145,16504.625,1.356,58.988,85
,,,,,,,75,1190,51786,140,15386,0.077,3.366,75,,,,,,,,,,1532,24317,1057810,140,15386,1.580,68.751,70
,,,,,,,68,1079,46952,140,15386,0.070,3.052,68,,,,,,,,,,1437,22810,992214,145,16504.625,1.382,60.117,77
,,,,,,,57,905,39357,140,15386,0.059,2.558,57,,,,,,,,,,1491,23667,1029500,145,16504.625,1.434,62.376,98
,,,,,,,66,1048,45571,140,15386,0.068,2.962,66,,,,,,,,,,1496,23746,1032952,140,15386,1.543,67.136,96
,,,0.40,60,0.40,0.063,102,1619,97143,130,13266.5,0.122,7.322,102,,,,,,0.40,60,0.40,0.063,518,8222,493333,135,14306.625,0.575,34.483,83
,,,,,,,113,1794,107619,130,13266.5,0.135,8.112,113,,,,,,,,,,493,7825,469524,135,14306.625,0.547,32.819,53
,,,,,,,104,1651,99048,135,14306.625,0.115,6.923,104,,,,,,,,,,506,8032,481905,135,14306.625,0.561,33.684,70
,,,,,,,107,1698,101905,135,14306.625,0.119,7.123,107,,,,,,,,,,502,7968,478095,135,14306.625,0.557,33.418,56
,,,,,,,120,1905,114286,135,14306.625,0.133,7.988,120,,,,,,,,,,502,7968,478095,135,14306.625,0.557,33.418,63
,,,,,,,96,1524,91429,130,13266.5,0.115,6.892,96,,,,,,,,,,480,7619,457143,135,14306.625,0.533,31.953,81
,,200,0.39,78,0.39,0.275,88,320,24960,135,14306.625,0.022,1.745,88,,,,,200,0.39,78,0.39,0.275,7974,28996,2261716,140,15386,1.885,146.998,89
,,,,,,,134,487,38007,140,15386,0.032,2.470,134,,,,,,,,,,7657,27844,2171804,140,15386,1.810,141.155,108
,,,,,,,148,538,41978,135,14306.625,0.038,2.934,148,,,,,,,,,,8110,29491,2300291,140,15386,1.917,149.505,69
,,,,,,,30,109,8509,135,14306.625,0.008,0.595,30,,,,,,,,,,8528,31011,2418851,135,14306.625,2.168,169.072,80
,,,,,,,111,404,31484,140,15386,0.026,2.046,111,,,,,,,,,,8031,29204,2277884,140,15386,1.898,148.049,119
,,,,,,,123,447,34887,140,15386,0.029,2.267,123,,,,,,,,,,8082,29389,2292349,140,15386,1.910,148.989,122
,,,0.49,98,0.49,0.275,368,1338,131142,175,24040.625,0.056,5.455,368,,,,,,0.49,98,0.49,0.275,3142,11425,1119695,155,18859.625,0.606,59.370,-26
,,,,,,,151,549,53811,185,26866.625,0.020,2.003,151,,,,,,,,,,3052,11098,1087622,160,20096,0.552,54.121,106
,,,,,,,165,600,58800,185,26866.625,0.022,2.189,165,,,,,,,,,,3088,11229,1100451,160,20096,0.559,54.760,106
,,,,,,,157,571,55949,175,24040.625,0.024,2.327,157,,,,,,,,,,3173,11538,1130742,160,20096,0.574,56.267,111
,,,,,,,141,513,50247,180,25434,0.020,1.976,141,,,,,,,,,,2987,10862,1064458,155,18859.625,0.576,56.441,125
,,,,,,,162,589,57731,165,21371.625,0.028,2.701,162,,,,,,,,,,3090,11236,1101164,155,18859.625,0.596,58.387,167
,,300,0.35,105,0.35,0.093,77,829,87029,165,21371.625,0.039,4.072,77,,,,,300,0.35,105,0.35,0.093,1461,15727,1651292,145,16504.625,0.953,100.050,63
,,,,,,,68,732,76857,160,20096,0.036,3.824,68,,,,,,,,,,1522,16383,1720237,150,17662.5,0.928,97.395,62
,,,,,,,69,743,77987,160,20096,0.037,3.881,69,,,,,,,,,,1497,16114,1691981,150,17662.5,0.912,95.795,53
,,,,,,,78,840,88159,160,20096,0.042,4.387,78,,,,,,,,,,1409,15167,1592519,150,17662.5,0.859,90.164,57
,,,,,,,71,764,80248,165,21371.625,0.036,3.755,71,,,,,,,,,,1385,14909,1565393,145,16504.625,0.903,94.846,83
,,,,,,,86,926,97201,160,20096,0.046,4.837,86,,,,,,,,,,1319,14198,1490797,145,16504.625,0.860,90.326,93
,,,0.47,141,0.47,0.093,93,1001,141152,165,21371.625,0.047,6.605,93,,,,,,0.47,141,0.47,0.093,471,5070,714865,145,16504.625,0.307,43.313,56
,,,,,,,109,1173,165436,165,21371.625,0.055,7.741,109,,,,,,,,,,470,5059,713348,150,17662.5,0.286,40.388,47
,,,,,,,102,1098,154812,165,21371.625,0.051,7.244,102,,,,,,,,,,464,4995,704241,150,17662.5,0.283,39.872,61
