egg H1N1 binding to TL-VI-25-5,,DP 150 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block 1 and 9 = H1N1 @ 2500 HAU,,label eff,,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block 16 Buffer control ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Block 1,,,,,,,,,,,,,,,,,Block 9,,,,,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,
,,,,,,,5014,53972,9067298,145,16504.625,3.270,549.379,29,,,,,,,,,,6303,67847,11398321,140,15386,4.410,740.824,366,,,
,,,,,,,5918,63703,10702088,145,16504.625,3.860,648.430,52,,,,,,,,,,7510,80840,13581055,145,16504.625,4.898,822.864,316,,,
10,Lac,150,0.51,77,0.51,0.063,4464,70857,5420571,135,14306.625,4.953,378.885,240,,,10,Lac,150,0.51,77,0.51,0.063,4582,72730,5563857,140,15386,4.727,361.618,239,,,
,,,,,,,4592,72889,5576000,135,14306.625,5.095,389.750,157,,,,,,,,,,4728,75048,5741143,140,15386,4.878,373.141,223,,,
,,,,,,,4477,71063,5436357,135,14306.625,4.967,379.989,-15,,,,,,,,,,4711,74778,5720500,135,14306.625,5.227,399.850,196,,,
,,,,,,,4445,70556,5397500,140,15386,4.586,350.806,-14,,,,,,,,,,4653,73857,5650071,140,15386,4.800,367.222,190,,,
,,,,,,,4533,71952,5504357,135,14306.625,5.029,384.742,126,,,,,,,,,,4647,73762,5642786,140,15386,4.794,366.748,212,,,
,,,,,,,4590,72857,5573571,135,14306.625,5.093,389.580,59,,,,,,,,,,4725,75000,5737500,140,15386,4.875,372.904,162,,,
,,,0.73,110,0.73,0.063,4398,69810,7644143,135,14306.625,4.880,534.308,71,,,,,,0.73,110,0.73,0.063,5319,84429,9244929,135,14306.625,5.901,646.199,168,,,
,,,,,,,4293,68143,7461643,135,14306.625,4.763,521.552,59,,,,,,,,,,5424,86095,9427429,130,13266.5,6.490,710.619,146,,,
,,,,,,,4358,69175,7574619,135,14306.625,4.835,529.448,76,,,,,,,,,,5630,89365,9785476,130,13266.5,6.736,737.608,147,,,
,,,,,,,4478,71079,7783190,130,13266.5,5.358,586.680,57,,,,,,,,,,5753,91317,9999262,130,13266.5,6.883,753.723,86,,,
,,,,,,,4416,70095,7675429,130,13266.5,5.284,578.557,76,,,,,,,,,,5566,88349,9674238,130,13266.5,6.660,729.223,161,,,
,,,,,,,4566,72476,7936143,130,13266.5,5.463,598.209,-37,,,,,,,,,,5358,85048,9312714,130,13266.5,6.411,701.972,53,,,
,,200,0.47,94,0.47,0.275,20357,74025,6958393,140,15386,4.811,452.255,474,,,,,200,0.47,94,0.47,0.275,23288,84684,7960262,140,15386,5.504,517.370,331,,,
,,,,,,,20401,74185,6973433,140,15386,4.822,453.232,479,,,,,,,,,,23220,84436,7937018,140,15386,5.488,515.860,383,,,
,,,,,,,20709,75305,7078713,140,15386,4.894,460.075,416,,,,,,,,,,23407,85116,8000938,140,15386,5.532,520.014,163,,,
,,,,,,,20688,75229,7071535,140,15386,4.889,459.608,707,,,,,,,,,,23636,85949,8079215,140,15386,5.586,525.102,360,,,
,,,,,,,20952,76189,7161775,140,15386,4.952,465.473,534,,,,,,,,,,24316,88422,8311651,140,15386,5.747,540.209,319,,,
,,,,,,,21595,78527,7381564,140,15386,5.104,479.758,348,,,,,,,,,,25609,93124,8753622,140,15386,6.052,568.934,293,,,
,,,0.66,132,0.66,0.275,18708,68029,8979840,135,14306.625,4.755,627.670,40,,,,,,0.66,132,0.66,0.275,21163,76956,10158240,135,14306.625,5.379,710.037,254,,,
,,,,,,,19038,69229,9138240,135,14306.625,4.839,638.742,188,,,,,,,,,,21130,76836,10142400,140,15386,4.994,659.197,329,,,
,,,,,,,18934,68851,9088320,140,15386,4.475,590.688,296,,,,,,,,,,21640,78691,10387200,135,14306.625,5.500,726.041,186,,,
,,,,,,,19221,69895,9226080,135,14306.625,4.885,644.882,441,,,,,,,,,,22103,80375,10609440,135,14306.625,5.618,741.575,177,,,
,,,,,,,19161,69676,9197280,140,15386,4.529,597.769,145,,,,,,,,,,22501,81822,10800480,140,15386,5.318,701.968,194,,,
,,,,,,,20274,73724,9731520,135,14306.625,5.153,680.211,55,,,,,,,,,,25080,91200,12038400,140,15386,5.927,782.426,226,,,
