



,,,,,,,,,,,,Block 2,,,,,,,,,,,,,,,,,Block 3,,,,,,,,,,,,,,,,,Block 10,,,,,,,,,,,,,,,,,Block 11,,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
1,α2-6 SiaLac,150,0.41,62,2.44,0.276,117,424,26071,145,16504.625,0.026,1.580,307,,,1,α2-6 SiaLac,150,0.41,62,2.44,0.276,115,417,25625,145,16504.625,0.025,1.553,287,,,1,α2-6 SiaLac,150,0.41,62,2.44,0.276,96,348,21391,130,13266.5,0.026,1.612,464,,,1,α2-6 SiaLac,150,0.41,62,2.44,0.276,105,380,23397,135,14306.625,0.027,1.635,368
,,,,,,,117,424,26071,145,16504.625,0.026,1.580,312,,,,,,,,,,113,409,25179,145,16504.625,0.025,1.526,312,,,,,,,,,,84,304,18717,135,14306.625,0.021,1.308,510,,,,,,,,,,102,370,22728,135,14306.625,0.026,1.589,358
,,,,,,,117,424,26071,140,15386,0.028,1.694,307,,,,,,,,,,110,399,24511,140,15386,0.026,1.593,328,,,,,,,,,,80,290,17826,135,14306.625,0.020,1.246,497,,,,,,,,,,97,351,21614,135,14306.625,0.025,1.511,351
,,,,,,,113,409,25179,145,16504.625,0.025,1.526,289,,,,,,,,,,105,380,23397,140,15386,0.025,1.521,311,,,,,,,,,,71,257,15821,135,14306.625,0.018,1.106,590,,,,,,,,,,95,344,21168,135,14306.625,0.024,1.480,388
,,,,,,,109,395,24288,140,15386,0.026,1.579,350,,,,,,,,,,105,380,23397,140,15386,0.025,1.521,255,,,,,,,,,,72,261,16043,135,14306.625,0.018,1.121,432,,,,,,,,,,93,337,20723,135,14306.625,0.024,1.448,447
,,,,,,,108,391,24065,140,15386,0.025,1.564,308,,,,,,,,,,109,395,24288,140,15386,0.026,1.579,367,,,,,,,,,,70,254,15598,135,14306.625,0.018,1.090,1640*,,,,,,,,,,92,333,20500,130,13266.5,0.025,1.545,400
,,200,0.55,110,1.82,0.408,291,713,78456,145,16504.625,0.043,4.754,-57,,,,,200,0.55,110,1.82,0.408,301,738,81152,145,16504.625,0.045,4.917,38,,,,,200,0.55,110,1.82,0.408,279,684,75221,135,14306.625,0.048,5.258,99,,,,,200,0.55,110,1.82,0.408,291,713,78456,140,15386,0.046,5.099,-12
,,,,,,,293,718,78995,150,17662.5,0.041,4.472,-4,,,,,,,,,,297,728,80074,145,16504.625,0.044,4.852,41,,,,,,,,,,280,686,75490,135,14306.625,0.048,5.277,280,,,,,,,,,,285,699,76838,140,15386,0.045,4.994,93
,,,,,,,290,711,78186,140,15386,0.046,5.082,33,,,,,,,,,,291,713,78456,145,16504.625,0.043,4.754,79,,,,,,,,,,267,654,71985,135,14306.625,0.046,5.032,237,,,,,,,,,,281,689,75760,140,15386,0.045,4.924,21
,,,,,,,290,711,78186,145,16504.625,0.043,4.737,-24,,,,,,,,,,293,718,78995,145,16504.625,0.044,4.786,7,,,,,,,,,,255,625,68750,135,14306.625,0.044,4.805,41,,,,,,,,,,280,686,75490,140,15386,0.045,4.906,-35
,,,,,,,287,703,77377,145,16504.625,0.043,4.688,60,,,,,,,,,,292,716,78725,145,16504.625,0.043,4.770,23,,,,,,,,,,247,605,66593,140,15386,0.039,4.328,125,,,,,,,,,,278,681,74951,135,14306.625,0.048,5.239,2
,,,,,,,275,674,74142,145,16504.625,0.041,4.492,71,,,,,,,,,,282,691,76029,150,17662.5,0.039,4.305,68,,,,,,,,,,239,586,64436,135,14306.625,0.041,4.504,61,,,,,,,,,,288,706,77647,140,15386,0.046,5.047,18
,,300,0.40,120,2.50,0.374,145,388,46524,150,17662.5,0.022,2.634,75,,,,,300,0.40,120,2.50,0.374,154,412,49412,150,17662.5,0.023,2.798,109,,,,,300,0.40,120,2.50,0.374,133,356,42674,140,15386,0.023,2.774,319,,,,,300,0.40,120,2.50,0.374,145,388,46524,140,15386,0.025,3.024,437
,,,,,,,147,393,47166,150,17662.5,0.022,2.670,6,,,,,,,,,,153,409,49091,150,17662.5,0.023,2.779,51,,,,,,,,,,123,329,39465,140,15386,0.021,2.565,334,,,,,,,,,,140,374,44920,145,16504.625,0.023,2.722,359
,,,,,,,140,374,44920,155,18859.625,0.020,2.382,362,,,,,,,,,,150,401,48128,150,17662.5,0.023,2.725,368,,,,,,,,,,136,364,43636,140,15386,0.024,2.836,407,,,,,,,,,,138,369,44278,140,15386,0.024,2.878,372
,,,,,,,142,380,45561,150,17662.5,0.021,2.580,66,,,,,,,,,,151,404,48449,150,17662.5,0.023,2.743,4,,,,,,,,,,124,332,39786,140,15386,0.022,2.586,431,,,,,,,,,,134,358,42995,140,15386,0.023,2.794,388
,,,,,,,142,380,45561,150,17662.5,0.021,2.580,-38,,,,,,,,,,151,404,48449,150,17662.5,0.023,2.743,16,,,,,,,,,,119,318,38182,140,15386,0.021,2.482,595,,,,,,,,,,134,358,42995,140,15386,0.023,2.794,328
,,,,,,,137,366,43957,145,16504.625,0.022,2.663,368,,,,,,,,,,149,398,47807,150,17662.5,0.023,2.707,252,,,,,,,,,,123,329,39465,135,14306.625,0.023,2.759,431,,,,,,,,,,146,390,46845,140,15386,0.025,3.045,320
5,α2-6 SiaLac,150,0.41,62,2.44,0.276,288,1043,64174,140,15386,0.068,4.171,60,,,5,α2-6 SiaLac,150,0.41,62,2.44,0.276,290,1051,64620,140,15386,0.068,4.200,75,,,5,α2-6 SiaLac,150,0.41,62,2.44,0.276,214,775,47685,135,14306.625,0.054,3.333,80,,,5,α2-6 SiaLac,150,0.41,62,2.44,0.276,294,1065,65511,130,13266.5,0.080,4.938,94
,,,,,,,255,924,56821,140,15386,0.060,3.693,144,,,,,,,,,,281,1018,62614,140,15386,0.066,4.070,25,,,,,,,,,,198,717,44120,140,15386,0.047,2.868,5,,,,,,,,,,297,1076,66179,135,14306.625,0.075,4.626,-24
,,,,,,,262,949,58380,145,16504.625,0.058,3.537,468,,,,,,,,,,281,1018,62614,140,15386,0.066,4.070,23,,,,,,,,,,198,717,44120,140,15386,0.047,2.868,306,,,,,,,,,,322,1167,71750,135,14306.625,0.082,5.015,234
,,,,,,,265,960,59049,140,15386,0.062,3.838,265,,,,,,,,,,283,1025,63060,145,16504.625,0.062,3.821,53,,,,,,,,,,178,645,39663,140,15386,0.042,2.578,81,,,,,,,,,,300,1087,66848,135,14306.625,0.076,4.673,4
,,,,,,,273,989,60832,135,14306.625,0.069,4.252,43,,,,,,,,,,290,1051,64620,140,15386,0.068,4.200,-40,,,,,,,,,,185,670,41223,140,15386,0.044,2.679,309,,,,,,,,,,283,1025,63060,135,14306.625,0.072,4.408,236
,,,,,,,264,957,58826,135,14306.625,0.067,4.112,415,,,,,,,,,,300,1087,66848,140,15386,0.071,4.345,269,,,,,,,,,,184,667,41000,140,15386,0.043,2.665,355,,,,,,,,,,292,1058,65065,130,13266.5,0.080,4.904,223
,,200,0.55,110,1.82,0.408,619,1517,166887,155,18859.625,0.080,8.849,313,,,,,200,0.55,110,1.82,0.408,676,1657,182255,150,17662.5,0.094,10.319,237,,,,,200,0.55,110,1.82,0.408,549,1346,148015,145,16504.625,0.082,8.968,275,,,,,200,0.55,110,1.82,0.408,706,1730,190343,145,16504.625,0.105,11.533,309
,,,,,,,597,1463,160956,150,17662.5,0.083,9.113,240,,,,,,,,,,668,1637,180098,155,18859.625,0.087,9.549,159,,,,,,,,,,556,1363,149902,145,16504.625,0.083,9.082,362,,,,,,,,,,696,1706,187647,150,17662.5,0.097,10.624,385
,,,,,,,601,1473,162034,150,17662.5,0.083,9.174,259,,,,,,,,,,670,1642,180637,150,17662.5,0.093,10.227,216,,,,,,,,,,504,1235,135882,150,17662.5,0.070,7.693,364,,,,,,,,,,714,1750,192500,145,16504.625,0.106,11.663,274
,,,,,,,628,1539,169314,145,16504.625,0.093,10.259,335,,,,,,,,,,665,1630,179289,150,17662.5,0.092,10.151,367,,,,,,,,,,487,1194,131299,150,17662.5,0.068,7.434,353,,,,,,,,,,701,1718,188995,145,16504.625,0.104,11.451,291
,,,,,,,629,1542,169583,150,17662.5,0.087,9.601,411,,,,,,,,,,681,1669,183603,150,17662.5,0.095,10.395,511,,,,,,,,,,475,1164,128064,155,18859.625,0.062,6.790,256,,,,,,,,,,701,1718,188995,145,16504.625,0.104,11.451,233
,,,,,,,614,1505,165539,145,16504.625,0.091,10.030,425,,,,,,,,,,663,1625,178750,150,17662.5,0.092,10.120,246,,,,,,,,,,471,1154,126985,145,16504.625,0.070,7.694,269,,,,,,,,,,667,1635,179828,140,15386,0.106,11.688,72
,,300,0.40,120,2.50,0.374,275,735,88235,150,17662.5,0.042,4.996,106,,,,,300,0.40,120,2.50,0.374,292,781,93690,150,17662.5,0.044,5.304,15,,,,,300,0.40,120,2.50,0.374,251,671,80535,140,15386,0.044,5.234,302,,,,,300,0.40,120,2.50,0.374,305,816,97861,145,16504.625,0.049,5.929,187
,,,,,,,263,703,84385,150,17662.5,0.040,4.778,192,,,,,,,,,,292,781,93690,145,16504.625,0.047,5.677,-238,,,,,,,,,,229,612,73476,145,16504.625,0.037,4.452,379,,,,,,,,,,309,826,99144,145,16504.625,0.050,6.007,262
,,,,,,,263,703,84385,150,17662.5,0.040,4.778,164,,,,,,,,,,284,759,91123,145,16504.625,0.046,5.521,-249,,,,,,,,,,233,623,74759,145,16504.625,0.038,4.530,314,,,,,,,,,,304,813,97540,145,16504.625,0.049,5.910,247
,,,,,,,265,709,85027,150,17662.5,0.040,4.814,-167,,,,,,,,,,282,754,90481,150,17662.5,0.043,5.123,108,,,,,,,,,,217,580,69626,145,16504.625,0.035,4.219,307,,,,,,,,,,306,818,98182,140,15386,0.053,6.381,233
,,,,,,,268,717,85989,150,17662.5,0.041,4.868,679,,,,,,,,,,286,765,91765,150,17662.5,0.043,5.195,15,,,,,,,,,,214,572,68663,145,16504.625,0.035,4.160,326,,,,,,,,,,301,805,96578,135,14306.625,0.056,6.751,206
,,,,,,,270,722,86631,140,15386,0.047,5.631,-148,,,,,,,,,,288,770,92406,145,16504.625,0.047,5.599,-34,,,,,,,,,,226,604,72513,140,15386,0.039,4.713,344,,,,,,,,,,318,850,102032,135,14306.625,0.059,7.132,230
10,α2-6 SiaLac,150,0.41,62,2.44,0.276,268,971,60203,140,15386,0.063,3.913,110,,,10,α2-6 SiaLac,150,0.41,62,2.44,0.276,324,1174,72783,140,15386,0.076,4.730,-25,,,10,α2-6 SiaLac,150,0.41,62,2.44,0.276,237,859,53239,145,16504.625,0.052,3.226,304,,,10,α2-6 SiaLac,150,0.41,62,2.44,0.276,291,1054,65370,130,13266.5,0.079,4.927,198
