



,,,,,,,,,,,,Block 2,,,,,,,,,,,,,,,,,Block 3,,,,,,,,,,,,,,,,,Block 10,,,,,,,,,,,,,,,,,Block 11,,
,,,,,,,289,1047,64920,140,15386,0.068,4.219,95,,,,,,,,,,331,1199,74355,140,15386,0.078,4.833,25,,,,,,,,,,229,830,51442,145,16504.625,0.050,3.117,314,,,,,,,,,,276,1000,62000,135,14306.625,0.070,4.334,209
,,,,,,,290,1051,65145,140,15386,0.068,4.234,-24,,,,,,,,,,316,1145,70986,140,15386,0.074,4.614,182,,,,,,,,,,230,833,51667,145,16504.625,0.050,3.130,291,,,,,,,,,,249,902,55935,135,14306.625,0.063,3.910,241
,,,,,,,297,1076,66717,140,15386,0.070,4.336,-27,,,,,,,,,,328,1188,73681,135,14306.625,0.083,5.150,342,,,,,,,,,,225,815,50543,145,16504.625,0.049,3.062,440,,,,,,,,,,240,870,53913,140,15386,0.057,3.504,316
,,,,,,,302,1094,67841,135,14306.625,0.076,4.742,78,,,,,,,,,,324,1174,72783,135,14306.625,0.082,5.087,415,,,,,,,,,,223,808,50094,145,16504.625,0.049,3.035,876,,,,,,,,,,307,1112,68964,135,14306.625,0.078,4.820,250
,,,,,,,304,1101,68290,135,14306.625,0.077,4.773,13,,,,,,,,,,329,1192,73906,135,14306.625,0.083,5.166,164,,,,,,,,,,224,812,50319,145,16504.625,0.049,3.049,762,,,,,,,,,,314,1138,70536,130,13266.5,0.086,5.317,193
,,200,0.55,110,1.82,0.408,758,1858,204363,145,16504.625,0.113,12.382,597,,,,,200,0.55,110,1.82,0.408,829,2032,223505,150,17662.5,0.115,12.654,371,,,,,200,0.55,110,1.82,0.408,575,1409,155025,155,18859.625,0.075,8.220,468,,,,,200,0.55,110,1.82,0.408,788,1931,212451,145,16504.625,0.117,12.872,161
,,,,,,,768,1882,207059,150,17662.5,0.107,11.723,517,,,,,,,,,,840,2059,226471,150,17662.5,0.117,12.822,489,,,,,,,,,,560,1373,150980,160,20096,0.068,7.513,244,,,,,,,,,,698,1711,188186,155,18859.625,0.091,9.978,108
,,,,,,,785,1924,211642,150,17662.5,0.109,11.983,400,,,,,,,,,,840,2059,226471,150,17662.5,0.117,12.822,370,,,,,,,,,,559,1370,150711,155,18859.625,0.073,7.991,230,,,,,,,,,,639,1566,172279,150,17662.5,0.089,9.754,43
,,,,,,,791,1939,213260,150,17662.5,0.110,12.074,307,,,,,,,,,,834,2044,224853,150,17662.5,0.116,12.731,641,,,,,,,,,,551,1350,148554,160,20096,0.067,7.392,314,,,,,,,,,,597,1463,160956,155,18859.625,0.078,8.534,129
,,,,,,,793,1944,213799,150,17662.5,0.110,12.105,425,,,,,,,,,,836,2049,225392,150,17662.5,0.116,12.761,929,,,,,,,,,,534,1309,143971,155,18859.625,0.069,7.634,861,,,,,,,,,,856,2098,230784,145,16504.625,0.127,13.983,245
,,,,,,,796,1951,214608,150,17662.5,0.110,12.150,530,,,,,,,,,,797,1953,214877,150,17662.5,0.111,12.166,775,,,,,,,,,,513,1257,138309,155,18859.625,0.067,7.334,1029,,,,,,,,,,853,2091,229975,140,15386,0.136,14.947,290
,,300,0.40,120,2.50,0.374,381,1019,122246,145,16504.625,0.062,7.407,816,,,,,300,0.40,120,2.50,0.374,413,1104,132513,145,16504.625,0.067,8.029,187,,,,,300,0.40,120,2.50,0.374,314,840,100749,150,17662.5,0.048,5.704,374,,,,,300,0.40,120,2.50,0.374,384,1027,123209,140,15386,0.067,8.008,221
,,,,,,,376,1005,120642,145,16504.625,0.061,7.310,458,,,,,,,,,,420,1123,134759,145,16504.625,0.068,8.165,111,,,,,,,,,,322,861,103316,150,17662.5,0.049,5.849,341,,,,,,,,,,367,981,117754,145,16504.625,0.059,7.135,208
,,,,,,,377,1008,120963,145,16504.625,0.061,7.329,391,,,,,,,,,,412,1102,132193,150,17662.5,0.062,7.484,129,,,,,,,,,,322,861,103316,150,17662.5,0.049,5.849,326,,,,,,,,,,326,872,104599,145,16504.625,0.053,6.338,226
,,,,,,,377,1008,120963,150,17662.5,0.057,6.849,88,,,,,,,,,,414,1107,132834,145,16504.625,0.067,8.048,178,,,,,,,,,,313,837,100428,150,17662.5,0.047,5.686,334,,,,,,,,,,325,869,104278,145,16504.625,0.053,6.318,276
,,,,,,,381,1019,122246,145,16504.625,0.062,7.407,76,,,,,,,,,,407,1088,130588,150,17662.5,0.062,7.394,411,,,,,,,,,,311,832,99786,150,17662.5,0.047,5.650,546,,,,,,,,,,365,976,117112,140,15386,0.063,7.612,291
,,,,,,,384,1027,123209,145,16504.625,0.062,7.465,117,,,,,,,,,,411,1099,131872,145,16504.625,0.067,7.990,364,,,,,,,,,,303,810,97219,145,16504.625,0.049,5.890,443,,,,,,,,,,377,1008,120963,135,14306.625,0.070,8.455,1*
1,α2-3 SiaLac,150,0.40,60,2.50,0.276,181,656,39348,150,17662.5,0.037,2.228,763,,,1,α2-3 SiaLac,150,0.40,60,2.50,0.276,158,572,34348,150,17662.5,0.032,1.945,922,,,1,α2-3 SiaLac,150,0.40,60,2.50,0.276,142,514,30870,145,16504.625,0.031,1.870,951,,,1,α2-3 SiaLac,150,0.40,60,2.50,0.276,148,536,32174,140,15386,0.035,2.091,593
,,,,,,,165,598,35870,155,18859.625,0.032,1.902,429,,,,,,,,,,153,554,33261,150,17662.5,0.031,1.883,602,,,,,,,,,,144,522,31304,145,16504.625,0.032,1.897,1039,,,,,,,,,,148,536,32174,140,15386,0.035,2.091,578
,,,,,,,159,576,34565,150,17662.5,0.033,1.957,679,,,,,,,,,,151,547,32826,155,18859.625,0.029,1.741,724,,,,,,,,,,139,504,30217,145,16504.625,0.031,1.831,958,,,,,,,,,,149,540,32391,145,16504.625,0.033,1.963,591
,,,,,,,163,591,35435,150,17662.5,0.033,2.006,794,,,,,,,,,,151,547,32826,150,17662.5,0.031,1.859,559,,,,,,,,,,140,507,30435,145,16504.625,0.031,1.844,1054,,,,,,,,,,142,514,30870,145,16504.625,0.031,1.870,591
,,,,,,,157,569,34130,150,17662.5,0.032,1.932,898,,,,,,,,,,151,547,32826,150,17662.5,0.031,1.859,467,,,,,,,,,,133,482,28913,140,15386,0.031,1.879,962,,,,,,,,,,146,529,31739,140,15386,0.034,2.063,702
,,,,,,,159,576,34565,150,17662.5,0.033,1.957,638,,,,,,,,,,148,536,32174,145,16504.625,0.032,1.949,451,,,,,,,,,,129,467,28043,135,14306.625,0.033,1.960,923,,,,,,,,,,138,500,30000,145,16504.625,0.030,1.818,702
,,200,0.58,116,1.72,0.408,296,725,84157,145,16504.625,0.044,5.099,860,,,,,200,0.58,116,1.72,0.408,307,752,87284,145,16504.625,0.046,5.288,1177,,,,,200,0.58,116,1.72,0.408,306,750,87000,135,14306.625,0.052,6.081,1495,,,,,200,0.58,116,1.72,0.408,295,723,83873,140,15386,0.047,5.451,1126
,,,,,,,300,735,85294,145,16504.625,0.045,5.168,871,,,,,,,,,,303,743,86147,140,15386,0.048,5.599,1124,,,,,,,,,,313,767,88990,135,14306.625,0.054,6.220,1270,,,,,,,,,,298,730,84725,140,15386,0.047,5.507,846
,,,,,,,296,725,84157,145,16504.625,0.044,5.099,840,,,,,,,,,,294,721,83588,145,16504.625,0.044,5.065,920,,,,,,,,,,307,752,87284,135,14306.625,0.053,6.101,1244,,,,,,,,,,299,733,85010,135,14306.625,0.051,5.942,862
,,,,,,,299,733,85010,140,15386,0.048,5.525,733,,,,,,,,,,299,733,85010,145,16504.625,0.044,5.151,680,,,,,,,,,,311,762,88422,135,14306.625,0.053,6.180,1342,,,,,,,,,,293,718,83304,135,14306.625,0.050,5.823,780
,,,,,,,299,733,85010,145,16504.625,0.044,5.151,927,,,,,,,,,,301,738,85578,140,15386,0.048,5.562,697,,,,,,,,,,302,740,85863,135,14306.625,0.052,6.002,1707,,,,,,,,,,296,725,84157,135,14306.625,0.051,5.882,1035
,,,,,,,297,728,84441,140,15386,0.047,5.488,947,,,,,,,,,,305,748,86716,140,15386,0.049,5.636,860,,,,,,,,,,305,748,86716,135,14306.625,0.052,6.061,1511,,,,,,,,,,323,792,91833,135,14306.625,0.055,6.419,940
,,300,0.49,147,2.04,0.558,74,133,19495,140,15386,0.009,1.267,623,,,,,300,0.49,147,2.04,0.558,72,129,18968,140,15386,0.008,1.233,998,,,,,300,0.49,147,2.04,0.558,74,133,19495,135,14306.625,0.009,1.363,999,,,,,300,0.49,147,2.04,0.558,71,127,18704,130,13266.5,0.010,1.410,1112
,,,,,,,72,129,18968,140,15386,0.008,1.233,692,,,,,,,,,,73,131,19231,140,15386,0.009,1.250,898,,,,,,,,,,73,131,19231,130,13266.5,0.010,1.450,1112,,,,,,,,,,67,120,17651,130,13266.5,0.009,1.330,830
,,,,,,,71,127,18704,140,15386,0.008,1.216,675,,,,,,,,,,71,127,18704,140,15386,0.008,1.216,626,,,,,,,,,,73,131,19231,130,13266.5,0.010,1.450,1099,,,,,,,,,,64,115,16860,135,14306.625,0.008,1.178,795
,,,,,,,74,133,19495,135,14306.625,0.009,1.363,748,,,,,,,,,,71,127,18704,140,15386,0.008,1.216,631,,,,,,,,,,72,129,18968,130,13266.5,0.010,1.430,1215,,,,,,,,,,66,118,17387,130,13266.5,0.009,1.311,807
,,,,,,,71,127,18704,140,15386,0.008,1.216,643,,,,,,,,,,69,124,18177,140,15386,0.008,1.181,705,,,,,,,,,,75,134,19758,130,13266.5,0.010,1.489,1132,,,,,,,,,,67,120,17651,130,13266.5,0.009,1.330,830
,,,,,,,65,116,17124,140,15386,0.008,1.113,696,,,,,,,,,,71,127,18704,140,15386,0.008,1.216,746,,,,,,,,,,74,133,19495,125,12265.625,0.011,1.589,1118,,,,,,,,,,76,136,20022,125,12265.625,0.011,1.632,837
5,α2-3 SiaLac,150,0.40,60,2.50,0.276,323,1170,70217,150,17662.5,0.066,3.976,631,,,5,α2-3 SiaLac,150,0.40,60,2.50,0.276,365,1322,79348,150,17662.5,0.075,4.492,401,,,5,α2-3 SiaLac,150,0.40,60,2.50,0.276,323,1170,70217,140,15386,0.076,4.564,989,,,5,α2-3 SiaLac,150,0.40,60,2.50,0.276,366,1326,79565,145,16504.625,0.080,4.821,813
,,,,,,,303,1098,65870,150,17662.5,0.062,3.729,674,,,,,,,,,,360,1304,78261,150,17662.5,0.074,4.431,479,,,,,,,,,,302,1094,65652,140,15386,0.071,4.267,1086,,,,,,,,,,371,1344,80652,140,15386,0.087,5.242,896
,,,,,,,318,1152,69130,150,17662.5,0.065,3.914,786,,,,,,,,,,334,1210,72609,150,17662.5,0.069,4.111,628,,,,,,,,,,277,1004,60217,150,17662.5,0.057,3.409,944,,,,,,,,,,376,1362,81739,140,15386,0.089,5.313,7661*
,,,,,,,321,1163,69783,150,17662.5,0.066,3.951,689,,,,,,,,,,349,1264,75870,150,17662.5,0.072,4.296,481,,,,,,,,,,279,1011,60652,140,15386,0.066,3.942,1270,,,,,,,,,,369,1337,80217,140,15386,0.087,5.214,766
,,,,,,,338,1225,73478,145,16504.625,0.074,4.452,659,,,,,,,,,,358,1297,77826,150,17662.5,0.073,4.406,493,,,,,,,,,,258,935,56087,145,16504.625,0.057,3.398,1410,,,,,,,,,,397,1438,86304,140,15386,0.093,5.609,735
,,,,,,,321,1163,69783,145,16504.625,0.070,4.228,559,,,,,,,,,,365,1322,79348,150,17662.5,0.075,4.492,334,,,,,,,,,,269,975,58478,140,15386,0.063,3.801,1705,,,,,,,,,,371,1344,80652,135,14306.625,0.094,5.637,793
,,200,0.58,116,1.72,0.408,528,1294,150118,140,15386,0.084,9.757,1337,,,,,200,0.58,116,1.72,0.408,568,1392,161490,140,15386,0.090,10.496,1377,,,,,200,0.58,116,1.72,0.408,552,1353,156941,135,14306.625,0.095,10.970,1537,,,,,200,0.58,116,1.72,0.408,596,1461,169451,135,14306.625,0.102,11.844,796
,,,,,,,498,1221,141588,145,16504.625,0.074,8.579,1360,,,,,,,,,,571,1400,162343,140,15386,0.091,10.551,1346,,,,,,,,,,497,1218,141304,140,15386,0.079,9.184,1301*,,,,,,,,,,612,1500,174000,135,14306.625,0.105,12.162,690
,,,,,,,498,1221,141588,145,16504.625,0.074,8.579,1409,,,,,,,,,,561,1375,159500,140,15386,0.089,10.367,1310,,,,,,,,,,470,1152,133627,140,15386,0.075,8.685,1274*,,,,,,,,,,609,1493,173147,135,14306.625,0.104,12.103,784
,,,,,,,517,1267,146990,145,16504.625,0.077,8.906,1468,,,,,,,,,,555,1360,157794,145,16504.625,0.082,9.561,1205,,,,,,,,,,443,1086,125951,140,15386,0.071,8.186,1677,,,,,,,,,,603,1478,171441,135,14306.625,0.103,11.983,770
,,,,,,,526,1289,149549,140,15386,0.084,9.720,1500,,,,,,,,,,564,1382,160353,140,15386,0.090,10.422,1257,,,,,,,,,,433,1061,123108,135,14306.625,0.074,8.605,1709,,,,,,,,,,608,1490,172863,135,14306.625,0.104,12.083,816
,,,,,,,532,1304,151255,135,14306.625,0.091,10.572,1507,,,,,,,,,,577,1414,164049,140,15386,0.092,10.662,1178,,,,,,,,,,424,1039,120549,140,15386,0.068,7.835,2130,,,,,,,,,,603,1478,171441,130,13266.5,0.111,12.923,827
,,300,0.49,147,2.04,0.558,245,439,64543,140,15386,0.029,4.195,592,,,,,300,0.49,147,2.04,0.558,285,511,75081,140,15386,0.033,4.880,771,,,,,300,0.49,147,2.04,0.558,327,586,86145,130,13266.5,0.044,6.493,1147,,,,,300,0.49,147,2.04,0.558,356,638,93785,135,14306.625,0.045,6.555,1007
,,,,,,,235,421,61909,140,15386,0.027,4.024,686,,,,,,,,,,287,514,75608,135,14306.625,0.036,5.285,775,,,,,,,,,,313,561,82457,130,13266.5,0.042,6.215,672,,,,,,,,,,352,631,92731,135,14306.625,0.044,6.482,91*
,,,,,,,238,427,62699,140,15386,0.028,4.075,730,,,,,,,,,,273,489,71919,135,14306.625,0.034,5.027,749,,,,,,,,,,304,545,80086,135,14306.625,0.038,5.598,1024,,,,,,,,,,348,624,91677,130,13266.5,0.047,6.910,544
,,,,,,,237,425,62435,140,15386,0.028,4.058,675,,,,,,,,,,289,518,76134,140,15386,0.034,4.948,949,,,,,,,,,,280,502,73763,135,14306.625,0.035,5.156,1191,,,,,,,,,,346,620,91151,130,13266.5,0.047,6.871,826
,,,,,,,243,435,64016,140,15386,0.028,4.161,774,,,,,,,,,,282,505,74290,135,14306.625,0.035,5.193,782,,,,,,,,,,277,496,72973,135,14306.625,0.035,5.101,1009,,,,,,,,,,339,608,89306,130,13266.5,0.046,6.732,786
,,,,,,,246,441,64806,130,13266.5,0.033,4.885,758,,,,,,,,,,277,496,72973,135,14306.625,0.035,5.101,800,,,,,,,,,,262,470,69022,135,14306.625,0.033,4.824,1177,,,,,,,,,,328,588,86409,130,13266.5,0.044,6.513,930
10,α2-3 SiaLac,150,0.40,60,2.50,0.276,298,1080,64783,140,15386,0.070,4.210,572,,,10,α2-3 SiaLac,150,0.40,60,2.50,0.276,317,1149,68913,145,16504.625,0.070,4.175,844,,,10,α2-3 SiaLac,150,0.40,60,2.50,0.276,243,880,52826,145,16504.625,0.053,3.201,1220,,,10,α2-3 SiaLac,150,0.40,60,2.50,0.276,306,1109,66522,135,14306.625,0.077,4.650,745
,,,,,,,298,1080,64783,140,15386,0.070,4.210,298,,,,,,,,,,334,1210,72609,145,16504.625,0.073,4.399,688,,,,,,,,,,226,819,49130,145,16504.625,0.050,2.977,1587,,,,,,,,,,270,978,58696,140,15386,0.064,3.815,830
,,,,,,,308,1116,66957,140,15386,0.073,4.352,516,,,,,,,,,,334,1210,72609,140,15386,0.079,4.719,790,,,,,,,,,,229,830,49783,145,16504.625,0.050,3.016,1651,,,,,,,,,,250,906,54348,145,16504.625,0.055,3.293,801
,,,,,,,309,1120,67174,145,16504.625,0.068,4.070,584,,,,,,,,,,347,1257,75435,140,15386,0.082,4.903,1563,,,,,,,,,,238,862,51739,150,17662.5,0.049,2.929,1334,,,,,,,,,,301,1091,65435,140,15386,0.071,4.253,1015
