Medium polymer binding to different valencies ,,,,Slide used ,,TL-VI-99-3,,,,,,,,,,,,,,,
Polymer Length (DP) ,190.4457364,,,PMT,,,,,,,,,,,,,,,,,
Labeling efficiency ,0.4082,,,,,,,,,,,,,,,,,,,,
,,,,Block 1,,,Block 3,,,Block 10,,,Block 11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
µM PRINTED POLYMER,GLYCAN,VALENCY, GLYCAN SPACING ON POLYMER,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,,,,
,,,,0.027,2.901,494,0.026,2.814,311,0.020,2.235,279,0.028,3.005,745,,,,,,
,,,,0.024,2.639,538,0.027,2.989,507,0.020,2.209,491,0.025,2.678,656,,,,,,
,,,,0.025,2.678,466,0.025,2.720,464,0.021,2.285,359,0.028,3.044,734,,,,,,
,,95,2.01,0.021,2.007,488,0.020,1.851,453,0.018,1.670,188,0.022,2.119,410,,,,,,
,,,,0.020,1.897,309,0.021,1.957,408,0.017,1.600,346,0.021,1.950,527,,,,,,
,,,,0.022,2.040,303,0.020,1.927,397,0.019,1.821,124,0.023,2.152,408,,,,,,
,,,,0.021,2.007,317,0.020,1.912,368,0.016,1.534,219,0.021,1.950,521,,,,,,
,,,,0.020,1.882,455,0.019,1.768,374,0.017,1.613,299,0.021,1.993,449,,,,,,
,,,,0.020,1.936,412,0.021,1.942,406,0.017,1.600,315,0.029,2.785,475,,,,,,
,,85,2.25,0.022,1.871,387,0.025,2.088,246,0.016,1.373,-10,0.020,1.658,159,,,,,,
,,,,0.024,2.048,296,0.025,2.088,1056,0.017,1.396,187,0.018,1.507,121,,,,,,
,,,,0.026,2.188,296,0.025,2.101,251,0.017,1.396,187,0.018,1.507,358,,,,,,
,,,,0.021,1.796,440,0.026,2.217,343,0.016,1.373,152,0.018,1.507,142,,,,,,
,,,,0.021,1.771,296,0.024,2.007,322,0.016,1.373,211,0.017,1.396,97,,,,,,
,,,,0.024,2.047,223,0.025,2.075,306,0.017,1.467,830,0.017,1.432,164,,,,,,
5,Lac,109,1.75,0.077,8.361,507,0.076,8.304,307,0.079,8.644,267,0.089,9.730,467,,,,,,
,,,,0.083,9.079,458,0.077,8.432,277,0.076,8.333,104,0.087,9.533,463,,,,,,
,,,,0.076,8.262,672,0.072,7.860,397,0.087,9.442,105,0.087,9.533,349,,,,,,
,,,,0.077,8.375,509,0.077,8.389,358,0.087,9.442,91,0.082,8.928,175,,,,,,
,,,,0.078,8.503,622,0.077,8.375,572,0.088,9.608,180,0.081,8.814,5,,,,,,
,,,,0.075,8.139,501,0.082,8.988,531,0.088,9.624,-177,0.089,9.760,1039,,,,,,
,,95,2.01,0.077,7.319,465,0.077,7.245,434,0.080,7.527,190,0.094,8.868,307,,,,,,
,,,,0.073,6.892,457,0.077,7.270,263,0.086,8.129,189,0.087,8.261,274,,,,,,
,,,,0.078,7.392,395,0.077,7.245,186,0.087,8.247,95,0.088,8.365,310,,,,,,
,,,,0.079,7.454,425,0.079,7.454,227,0.094,8.854,50,0.088,8.300,-3,,,,,,
,,,,0.081,7.613,507,0.072,6.845,432,0.089,8.379,-76,0.093,8.798,-70,,,,,,
,,,,0.088,8.313,996,0.079,7.491,516,0.091,8.562,-184,0.092,8.654,-362,,,,,,
,,85,2.25,0.080,6.792,404,0.076,6.405,188,0.087,7.323,-153,0.086,7.252,-133,,,,,,
,,,,0.080,6.759,759,0.081,6.880,160,0.085,7.205,59,0.084,7.111,-225,,,,,,
,,,,0.082,6.957,353,0.081,6.869,251,0.092,7.786,-65,0.084,7.111,-234,,,,,,
,,,,0.082,6.946,381,0.081,6.858,408,0.085,7.205,-61,0.085,7.193,-40,,,,,,
,,,,0.083,7.001,563,0.082,6.924,209,0.085,7.205,-287,0.089,7.534,-164,,,,,,
,,,,0.089,7.539,340,0.083,7.056,228,0.088,7.487,-381,0.082,6.946,-51,,,,,,
10,Lac,109,1.75,0.117,12.754,911,0.119,12.952,1110,0.143,15.631,135,0.128,14.015,882,,,,,,
,,,,0.119,12.981,717,0.119,13.009,1018,0.142,15.495,224,0.128,13.944,309,,,,,,
,,,,0.119,12.938,1170,0.119,13.009,1031,0.130,14.193,96,0.127,13.803,669,,,,,,
,,,,0.119,12.966,527,0.119,12.938,486,0.121,13.151,363,0.116,12.674,473,,,,,,
,,,,0.122,13.264,463,0.119,12.981,554,0.127,13.888,141,0.127,13.803,87,,,,,,
,,,,0.133,14.539,498,0.131,14.345,431,0.129,14.072,127,0.134,14.667,203,,,,,,
,,95,2.01,0.115,10.843,480,0.116,10.990,568,0.132,12.509,-92,0.124,11.764,-409,,,,,,
,,,,0.114,10.757,765,0.125,11.788,848,0.125,11.850,-88,0.124,11.752,224,,,,,,
,,,,0.125,11.775,999,0.125,11.801,884,0.135,12.771,118,0.130,12.317,493,,,,,,
,,,,0.115,10.880,535,0.125,11.788,446,0.123,11.641,250,0.125,11.825,157,,,,,,
,,,,0.115,10.855,352,0.125,11.827,264,0.130,12.280,86,0.118,11.121,126,,,,,,
,,,,0.109,10.326,313,0.118,11.150,279,0.136,12.857,-8,0.131,12.353,-146,,,,,,
,,85,2.25,0.117,9.880,352,0.120,10.177,70,0.129,10.949,-170,0.123,10.386,-426,,,,,,
,,,,0.116,9.825,509,0.120,10.133,416,0.123,10.386,-53,0.128,10.847,1005,,,,,,
,,,,0.118,10.012,540,0.120,10.144,1368,0.121,10.221,-55,0.121,10.254,-76,,,,,,
,,,,0.119,10.045,679,0.129,10.890,691,0.122,10.331,-29,0.125,10.616,-82,,,,,,
,,,,0.120,10.133,277,0.121,10.221,200,0.115,9.716,2,0.114,9.643,-12,,,,,,
,,,,0.137,11.594,289,0.121,10.276,149,0.129,10.880,-248,0.132,11.199,11,,,,,,
