



,,,,,,,,,,,,Block 2,,,,,,,,,,,,,,,,,Block 6,,,,,,,,,,,,,,,,,Block 10,,,,,,,,,,,,,,,,,Block 14,,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
,,,,,,,1429,5178,341717,140,15386,0.337,22.210,1048,,,,,,,,,,1410,5109,337174,140,15386,0.332,21.914,963,,,,,,,,,,1774,6428,424217,140,15386,0.418,27.572,1777,,,,,,,,,,1849,6699,442152,135,14306.625,0.468,30.905,1594
,,,,,,,1452,5261,347217,145,16504.625,0.319,21.038,1128,,,,,,,,,,1444,5232,345304,140,15386,0.340,22.443,967,,,,,,,,,,1981,7178,473717,135,14306.625,0.502,33.112,1916,,,,,,,,,,1846,6688,441435,130,13266.5,0.504,33.274,1830
,,,,,,,1500,5435,358696,140,15386,0.353,23.313,1134,,,,,,,,,,1502,5442,359174,135,14306.625,0.380,25.105,937,,,,,,,,,,1958,7094,468217,140,15386,0.461,30.431,1794,,,,,,,,,,1891,6851,452196,130,13266.5,0.516,34.086,2013
,,,,,,,1471,5330,351761,145,16504.625,0.323,21.313,1457,,,,,,,,,,1426,5167,341000,140,15386,0.336,22.163,1076,,,,,,,,,,1827,6620,436891,140,15386,0.430,28.395,1821,,,,,,,,,,1843,6678,440717,135,14306.625,0.467,30.805,2112
,,200,0.57,114,1.75,0.408,2949,7228,823985,140,15386,0.470,53.554,391,,,,,200,0.57,114,1.75,0.408,2901,7110,810574,140,15386,0.462,52.683,744,,,,,200,0.57,114,1.75,0.408,3434,8417,959500,140,15386,0.547,62.362,847,,,,,200,0.57,114,1.75,0.408,3698,9064,1033265,130,13266.5,0.683,77.885,984
,,,,,,,2825,6924,789338,150,17662.5,0.392,44.690,311,,,,,,,,,,2993,7336,836279,140,15386,0.477,54.353,889,,,,,,,,,,3403,8341,950838,135,14306.625,0.583,66.461,1038,,,,,,,,,,3630,8897,1014265,130,13266.5,0.671,76.453,1117
,,,,,,,2889,7081,807221,145,16504.625,0.429,48.909,411,,,,,,,,,,2903,7115,811132,140,15386,0.462,52.719,1122,,,,,,,,,,3446,8446,962853,145,16504.625,0.512,58.338,964,,,,,,,,,,3420,8382,955588,140,15386,0.545,62.108,934
,,,,,,,2979,7301,832368,140,15386,0.475,54.099,493,,,,,,,,,,2944,7216,822588,140,15386,0.469,53.463,685,,,,,,,,,,3533,8659,987162,140,15386,0.563,64.160,1325,,,,,,,,,,3802,9319,1062324,135,14306.625,0.651,74.254,1511
,,,,,,,3056,7490,853882,140,15386,0.487,55.497,523,,,,,,,,,,2802,6868,782912,140,15386,0.446,50.885,628,,,,,,,,,,3437,8424,960338,140,15386,0.548,62.416,790,,,,,,,,,,3704,9078,1034941,135,14306.625,0.635,72.340,1364
,,,,,,,3067,7517,856956,140,15386,0.489,55.697,253,,,,,,,,,,2990,7328,835441,135,14306.625,0.512,58.395,708,,,,,,,,,,3524,8637,984647,140,15386,0.561,63.996,926,,,,,,,,,,3743,9174,1045838,130,13266.5,0.692,78.833,1012
,,300,0.52,156,1.92,0.374,3715,9933,1549572,140,15386,0.646,100.713,1103,,,,,300,0.52,156,1.92,0.374,3876,10364,1616727,135,14306.625,0.724,113.005,1685,,,,,300,0.52,156,1.92,0.374,4668,12481,1947080,140,15386,0.811,126.549,1787,,,,,300,0.52,156,1.92,0.374,4446,11888,1854481,135,14306.625,0.831,129.624,2917
,,,,,,,3717,9939,1550406,140,15386,0.646,100.767,1192,,,,,,,,,,3901,10430,1627155,135,14306.625,0.729,113.734,1301,,,,,,,,,,4690,12540,1956257,135,14306.625,0.877,136.738,1680,,,,,,,,,,4585,12259,1912460,135,14306.625,0.857,133.677,1906
,,,,,,,3896,10417,1625070,145,16504.625,0.631,98.461,1320,,,,,,,,,,3843,10275,1602963,140,15386,0.668,104.183,1463,,,,,,,,,,4214,11267,1757711,140,15386,0.732,114.241,1784,,,,,,,,,,4633,12388,1932481,130,13266.5,0.934,145.666,2426
,,,,,,,3831,10243,1597957,140,15386,0.666,103.858,1608,,,,,,,,,,3833,10249,1598791,140,15386,0.666,103.912,1378,,,,,,,,,,4317,11543,1800674,140,15386,0.750,117.033,2123,,,,,,,,,,4733,12655,1974193,135,14306.625,0.885,137.991,2394
,,,,,,,3804,10171,1586695,140,15386,0.661,103.126,1092,,,,,,,,,,3836,10257,1600043,140,15386,0.667,103.993,3341,,,,,,,,,,4721,12623,1969187,135,14306.625,0.882,137.642,2481,,,,,,,,,,4451,11901,1856567,135,14306.625,0.832,129.770,2198
,,,,,,,4429,11842,1847390,135,14306.625,0.828,129.128,1293,,,,,,,,,,4243,11345,1769807,130,13266.5,0.855,133.404,1559,,,,,,,,,,4506,12048,1879508,145,16504.625,0.730,113.878,2008,,,,,,,,,,4774,12765,1991294,135,14306.625,0.892,139.187,2061
