



,,,,,,,,,,,,Block 2,,,,,,,,,,,,,,,,,Block 3,,,,,,,,,,,,,,,,,Block 10,,,,,,,,,,,,,,,,,Block 11,,
,,,,,,,280,686,75490,145,16504.625,0.042,4.574,97,,,,,,,,,,273,669,73603,140,15386,0.043,4.784,566,,,,,,,,,,284,696,76569,135,14306.625,0.049,5.352,507,,,,,,,,,,262,642,70637,135,14306.625,0.045,4.937,643
,,,,,,,285,699,76838,145,16504.625,0.042,4.656,139,,,,,,,,,,271,664,73064,140,15386,0.043,4.749,433,,,,,,,,,,278,681,74951,135,14306.625,0.048,5.239,161,,,,,,,,,,262,642,70637,135,14306.625,0.045,4.937,430
,,,,,,,282,691,76029,140,15386,0.045,4.941,211,,,,,,,,,,273,669,73603,140,15386,0.043,4.784,472,,,,,,,,,,272,667,73333,140,15386,0.043,4.766,-14,,,,,,,,,,257,630,69289,135,14306.625,0.044,4.843,786
,,300,0.40,120,2.50,0.374,136,364,43636,150,17662.5,0.021,2.471,387,,,,,300,0.40,120,2.50,0.374,139,372,44599,150,17662.5,0.021,2.525,888,,,,,300,0.40,120,2.50,0.374,149,398,47807,140,15386,0.026,3.107,-251,,,,,300,0.40,120,2.50,0.374,126,337,40428,140,15386,0.022,2.628,250
,,,,,,,137,366,43957,150,17662.5,0.021,2.489,72,,,,,,,,,,130,348,41711,150,17662.5,0.020,2.362,565,,,,,,,,,,145,388,46524,145,16504.625,0.023,2.819,673,,,,,,,,,,128,342,41070,140,15386,0.022,2.669,604
,,,,,,,134,358,42995,150,17662.5,0.020,2.434,219,,,,,,,,,,125,334,40107,150,17662.5,0.019,2.271,501,,,,,,,,,,147,393,47166,145,16504.625,0.024,2.858,597,,,,,,,,,,124,332,39786,140,15386,0.022,2.586,795
,,,,,,,130,348,41711,150,17662.5,0.020,2.362,512,,,,,,,,,,118,316,37861,150,17662.5,0.018,2.144,931,,,,,,,,,,148,396,47487,140,15386,0.026,3.086,630,,,,,,,,,,122,326,39144,140,15386,0.021,2.544,824
,,,,,,,129,345,41390,155,18859.625,0.018,2.195,248,,,,,,,,,,124,332,39786,145,16504.625,0.020,2.411,701,,,,,,,,,,145,388,46524,140,15386,0.025,3.024,621,,,,,,,,,,120,321,38503,135,14306.625,0.022,2.691,1691
,,,,,,,134,358,42995,150,17662.5,0.020,2.434,309,,,,,,,,,,125,334,40107,145,16504.625,0.020,2.430,627,,,,,,,,,,140,374,44920,140,15386,0.024,2.920,649,,,,,,,,,,126,337,40428,135,14306.625,0.024,2.826,852
5,α2-6 SiaLac,150,0.41,62,2.44,0.276,279,1011,62168,145,16504.625,0.061,3.767,278,,,5,α2-6 SiaLac,150,0.41,62,2.44,0.276,270,978,60163,140,15386,0.064,3.910,806,,,5,α2-6 SiaLac,150,0.41,62,2.44,0.276,247,895,55038,140,15386,0.058,3.577,504,,,5,α2-6 SiaLac,150,0.41,62,2.44,0.276,246,891,54815,135,14306.625,0.062,3.831,799
,,,,,,,273,989,60832,145,16504.625,0.060,3.686,236,,,,,,,,,,267,967,59495,140,15386,0.063,3.867,669,,,,,,,,,,254,920,56598,135,14306.625,0.064,3.956,187,,,,,,,,,,247,895,55038,135,14306.625,0.063,3.847,166
,,,,,,,274,993,61054,145,16504.625,0.060,3.699,274,,,,,,,,,,278,1007,61946,140,15386,0.065,4.026,540,,,,,,,,,,265,960,59049,135,14306.625,0.067,4.127,424,,,,,,,,,,242,877,53924,135,14306.625,0.061,3.769,1020
,,,,,,,238,862,53033,150,17662.5,0.049,3.003,362,,,,,,,,,,263,953,58603,140,15386,0.062,3.809,630,,,,,,,,,,230,833,51250,135,14306.625,0.058,3.582,299,,,,,,,,,,244,884,54370,135,14306.625,0.062,3.800,332
,,,,,,,215,779,47908,150,17662.5,0.044,2.712,237,,,,,,,,,,259,938,57712,140,15386,0.061,3.751,699,,,,,,,,,,219,793,48799,135,14306.625,0.055,3.411,265,,,,,,,,,,240,870,53478,135,14306.625,0.061,3.738,13*
,,,,,,,217,786,48353,145,16504.625,0.048,2.930,246,,,,,,,,,,266,964,59272,135,14306.625,0.067,4.143,870,,,,,,,,,,211,764,47016,135,14306.625,0.053,3.286,520,,,,,,,,,,250,906,55707,130,13266.5,0.068,4.199,322
,,200,0.55,110,1.82,0.408,598,1466,161225,155,18859.625,0.078,8.549,464,,,,,200,0.55,110,1.82,0.408,620,1520,167157,155,18859.625,0.081,8.863,1065,,,,,200,0.55,110,1.82,0.408,667,1635,179828,145,16504.625,0.099,10.896,976,,,,,200,0.55,110,1.82,0.408,667,1635,179828,140,15386,0.106,11.688,2324
,,,,,,,612,1500,165000,155,18859.625,0.080,8.749,503,,,,,,,,,,615,1507,165809,155,18859.625,0.080,8.792,693,,,,,,,,,,651,1596,175515,145,16504.625,0.097,10.634,805,,,,,,,,,,655,1605,176593,140,15386,0.104,11.478,1366
,,,,,,,599,1468,161495,150,17662.5,0.083,9.143,531,,,,,,,,,,617,1512,166348,150,17662.5,0.086,9.418,775,,,,,,,,,,666,1632,179559,140,15386,0.106,11.670,950,,,,,,,,,,640,1569,172549,145,16504.625,0.095,10.455,990
,,,,,,,597,1463,160956,150,17662.5,0.083,9.113,553,,,,,,,,,,609,1493,164191,150,17662.5,0.085,9.296,926,,,,,,,,,,629,1542,169583,145,16504.625,0.093,10.275,914,,,,,,,,,,641,1571,172819,145,16504.625,0.095,10.471,2295
,,,,,,,534,1309,143971,155,18859.625,0.069,7.634,450,,,,,,,,,,615,1507,165809,150,17662.5,0.085,9.388,943,,,,,,,,,,603,1478,162574,140,15386,0.096,10.566,778,,,,,,,,,,645,1581,173897,145,16504.625,0.096,10.536,1369
,,,,,,,525,1287,141544,150,17662.5,0.073,8.014,483,,,,,,,,,,614,1505,165539,145,16504.625,0.091,10.030,959,,,,,,,,,,577,1414,155564,145,16504.625,0.086,9.425,768,,,,,,,,,,680,1667,183333,140,15386,0.108,11.916,877
,,300,0.40,120,2.50,0.374,277,741,88877,150,17662.5,0.042,5.032,512,,,,,300,0.40,120,2.50,0.374,263,703,84385,150,17662.5,0.040,4.778,710,,,,,300,0.40,120,2.50,0.374,278,743,89198,145,16504.625,0.045,5.404,438,,,,,300,0.40,120,2.50,0.374,268,717,85989,145,16504.625,0.043,5.210,375
,,,,,,,272,727,87273,155,18859.625,0.039,4.627,518,,,,,,,,,,263,703,84385,150,17662.5,0.040,4.778,588,,,,,,,,,,277,741,88877,140,15386,0.048,5.776,730,,,,,,,,,,272,727,87273,140,15386,0.047,5.672,684
,,,,,,,266,711,85348,150,17662.5,0.040,4.832,396,,,,,,,,,,261,698,83743,150,17662.5,0.040,4.741,727,,,,,,,,,,280,749,89840,140,15386,0.049,5.839,437,,,,,,,,,,270,722,86631,145,16504.625,0.044,5.249,492
,,,,,,,264,706,84706,150,17662.5,0.040,4.796,415,,,,,,,,,,262,701,84064,150,17662.5,0.040,4.759,838,,,,,,,,,,268,717,85989,140,15386,0.047,5.589,626,,,,,,,,,,269,719,86310,145,16504.625,0.044,5.229,834
,,,,,,,241,644,77326,155,18859.625,0.034,4.100,433,,,,,,,,,,259,693,83102,145,16504.625,0.042,5.035,1125,,,,,,,,,,286,765,91765,140,15386,0.050,5.964,628,,,,,,,,,,271,725,86952,140,15386,0.047,5.651,526
,,,,,,,232,620,74439,150,17662.5,0.035,4.214,381,,,,,,,,,,266,711,85348,145,16504.625,0.043,5.171,917,,,,,,,,,,269,719,86310,140,15386,0.047,5.610,952,,,,,,,,,,281,751,90160,140,15386,0.049,5.860,1435*
10,α2-6 SiaLac,150,0.41,62,2.44,0.276,231,837,51891,145,16504.625,0.051,3.144,160,,,10,α2-6 SiaLac,150,0.41,62,2.44,0.276,273,989,61326,135,14306.625,0.069,4.287,728,,,10,α2-6 SiaLac,150,0.41,62,2.44,0.276,265,960,59529,140,15386,0.062,3.869,334,,,10,α2-6 SiaLac,150,0.41,62,2.44,0.276,311,1127,69862,135,14306.625,0.079,4.883,199
,,,,,,,231,837,51891,160,20096,0.042,2.582,178,,,,,,,,,,275,996,61775,135,14306.625,0.070,4.318,899,,,,,,,,,,245,888,55036,140,15386,0.058,3.577,501,,,,,,,,,,311,1127,69862,130,13266.5,0.085,5.266,495
,,,,,,,237,859,53239,145,16504.625,0.052,3.226,464,,,,,,,,,,274,993,61551,135,14306.625,0.069,4.302,1107,,,,,,,,,,238,862,53464,145,16504.625,0.052,3.239,225,,,,,,,,,,298,1080,66942,130,13266.5,0.081,5.046,367
,,,,,,,246,891,55261,140,15386,0.058,3.592,538,,,,,,,,,,271,982,60877,135,14306.625,0.069,4.255,1246,,,,,,,,,,228,826,51217,140,15386,0.054,3.329,-61,,,,,,,,,,298,1080,66942,135,14306.625,0.075,4.679,11
,,,,,,,233,844,52341,145,16504.625,0.051,3.171,230,,,,,,,,,,251,909,56384,135,14306.625,0.064,3.941,1560,,,,,,,,,,202,732,45377,145,16504.625,0.044,2.749,665,,,,,,,,,,293,1062,65819,135,14306.625,0.074,4.601,48
,,,,,,,242,877,54362,140,15386,0.057,3.533,242,,,,,,,,,,264,957,59304,130,13266.5,0.072,4.470,2308,,,,,,,,,,237,859,53239,140,15386,0.056,3.460,233,,,,,,,,,,263,953,59080,135,14306.625,0.067,4.130,33*
,,200,0.55,110,1.82,0.408,663,1625,178750,155,18859.625,0.086,9.478,406,,,,,200,0.55,110,1.82,0.408,759,1860,204632,150,17662.5,0.105,11.586,1010,,,,,200,0.55,110,1.82,0.408,678,1662,182794,145,16504.625,0.101,11.075,754,,,,,200,0.55,110,1.82,0.408,850,2083,229167,145,16504.625,0.126,13.885,411
,,,,,,,672,1647,181176,155,18859.625,0.087,9.607,471,,,,,,,,,,753,1846,203015,150,17662.5,0.104,11.494,1179,,,,,,,,,,623,1527,167966,150,17662.5,0.086,9.510,312,,,,,,,,,,846,2074,228088,140,15386,0.135,14.824,377
,,,,,,,697,1708,187917,150,17662.5,0.097,10.639,524,,,,,,,,,,755,1850,203554,145,16504.625,0.112,12.333,1638,,,,,,,,,,597,1463,160956,145,16504.625,0.089,9.752,101,,,,,,,,,,865,2120,233211,140,15386,0.138,15.157,150
,,,,,,,706,1730,190343,150,17662.5,0.098,10.777,926,,,,,,,,,,745,1826,200858,150,17662.5,0.103,11.372,1499,,,,,,,,,,565,1385,152328,155,18859.625,0.073,8.077,123,,,,,,,,,,824,2020,222157,145,16504.625,0.122,13.460,71
,,,,,,,712,1745,191961,150,17662.5,0.099,10.868,1771*,,,,,,,,,,753,1846,203015,150,17662.5,0.104,11.494,2283,,,,,,,,,,561,1375,151250,155,18859.625,0.073,8.020,276,,,,,,,,,,815,1998,219730,140,15386,0.130,14.281,181
,,,,,,,735,1801,198162,145,16504.625,0.109,12.006,2359*,,,,,,,,,,766,1877,206520,145,16504.625,0.114,12.513,3021,,,,,,,,,,526,1289,141814,160,20096,0.064,7.057,141,,,,,,,,,,715,1752,192770,140,15386,0.114,12.529,163
,,300,0.40,120,2.50,0.374,307,821,98503,155,18859.625,0.044,5.223,466,,,,,300,0.40,120,2.50,0.374,331,885,106203,145,16504.625,0.054,6.435,837,,,,,300,0.40,120,2.50,0.374,330,882,105882,145,16504.625,0.053,6.415,382,,,,,300,0.40,120,2.50,0.374,395,1056,126738,145,16504.625,0.064,7.679,140
,,,,,,,312,834,100107,155,18859.625,0.044,5.308,480,,,,,,,,,,328,877,105241,145,16504.625,0.053,6.376,938,,,,,,,,,,305,816,97861,145,16504.625,0.049,5.929,79,,,,,,,,,,400,1070,128342,145,16504.625,0.065,7.776,395
,,,,,,,322,861,103316,145,16504.625,0.052,6.260,481,,,,,,,,,,327,874,104920,145,16504.625,0.053,6.357,804,,,,,,,,,,309,826,99144,145,16504.625,0.050,6.007,38,,,,,,,,,,396,1059,127059,145,16504.625,0.064,7.698,151
,,,,,,,319,853,102353,150,17662.5,0.048,5.795,744,,,,,,,,,,327,874,104920,145,16504.625,0.053,6.357,910,,,,,,,,,,315,842,101070,150,17662.5,0.048,5.722,-60,,,,,,,,,,386,1032,123850,145,16504.625,0.063,7.504,107
,,,,,,,318,850,102032,145,16504.625,0.052,6.182,619,,,,,,,,,,327,874,104920,145,16504.625,0.053,6.357,1154,,,,,,,,,,280,749,89840,145,16504.625,0.045,5.443,48,,,,,,,,,,380,1016,121925,140,15386,0.066,7.924,51
,,,,,,,334,893,107166,145,16504.625,0.054,6.493,1256*,,,,,,,,,,339,906,108770,145,16504.625,0.055,6.590,1924,,,,,,,,,,278,743,89198,150,17662.5,0.042,5.050,-38,,,,,,,,,,346,925,111016,135,14306.625,0.065,7.760,420
1,α2-3 SiaLac,150,0.40,60,2.50,0.276,150,543,32609,155,18859.625,0.029,1.729,1020,,,1,α2-3 SiaLac,150,0.40,60,2.50,0.276,149,540,32391,150,17662.5,0.031,1.834,2318,,,1,α2-3 SiaLac,150,0.40,60,2.50,0.276,147,533,31957,140,15386,0.035,2.077,1515,,,1,α2-3 SiaLac,150,0.40,60,2.50,0.276,131,475,28478,140,15386,0.031,1.851,2270
,,,,,,,143,518,31087,155,18859.625,0.027,1.648,987,,,,,,,,,,142,514,30870,155,18859.625,0.027,1.637,2057,,,,,,,,,,145,525,31522,145,16504.625,0.032,1.910,1645,,,,,,,,,,130,471,28261,145,16504.625,0.029,1.712,2050
,,,,,,,149,540,32391,150,17662.5,0.031,1.834,986,,,,,,,,,,142,514,30870,150,17662.5,0.029,1.748,2437,,,,,,,,,,148,536,32174,145,16504.625,0.032,1.949,1890,,,,,,,,,,126,457,27391,140,15386,0.030,1.780,2261
,,,,,,,149,540,32391,150,17662.5,0.031,1.834,1102,,,,,,,,,,138,500,30000,150,17662.5,0.028,1.699,1666,,,,,,,,,,149,540,32391,140,15386,0.035,2.105,1363,,,,,,,,,,125,453,27174,140,15386,0.029,1.766,4161
,,,,,,,151,547,32826,150,17662.5,0.031,1.859,33*,,,,,,,,,,139,504,30217,150,17662.5,0.029,1.711,778,,,,,,,,,,147,533,31957,145,16504.625,0.032,1.936,1583,,,,,,,,,,122,442,26522,140,15386,0.029,1.724,2007
,,,,,,,149,540,32391,150,17662.5,0.031,1.834,1069,,,,,,,,,,139,504,30217,150,17662.5,0.029,1.711,1938,,,,,,,,,,143,518,31087,135,14306.625,0.036,2.173,1683,,,,,,,,,,125,453,27174,140,15386,0.029,1.766,2269
,,200,0.58,116,1.72,0.408,289,708,82167,150,17662.5,0.040,4.652,1074,,,,,200,0.58,116,1.72,0.408,294,721,83588,145,16504.625,0.044,5.065,2663,,,,,200,0.58,116,1.72,0.408,292,716,83020,135,14306.625,0.050,5.803,1912,,,,,200,0.58,116,1.72,0.408,276,676,78471,135,14306.625,0.047,5.485,1367
,,,,,,,293,718,83304,145,16504.625,0.044,5.047,1535,,,,,,,,,,291,713,82735,145,16504.625,0.043,5.013,2508,,,,,,,,,,276,676,78471,140,15386,0.044,5.100,1972,,,,,,,,,,278,681,79039,135,14306.625,0.048,5.525,2158
,,,,,,,289,708,82167,145,16504.625,0.043,4.978,1755,,,,,,,,,,295,723,83873,140,15386,0.047,5.451,2441,,,,,,,,,,284,696,80745,135,14306.625,0.049,5.644,1730,,,,,,,,,,263,645,74775,135,14306.625,0.045,5.227,3345
,,,,,,,289,708,82167,145,16504.625,0.043,4.978,1663,,,,,,,,,,288,706,81882,140,15386,0.046,5.322,2756,,,,,,,,,,280,686,79608,140,15386,0.045,5.174,2069,,,,,,,,,,263,645,74775,135,14306.625,0.045,5.227,2438
,,,,,,,290,711,82451,145,16504.625,0.043,4.996,1676,,,,,,,,,,290,711,82451,140,15386,0.046,5.359,2937,,,,,,,,,,282,691,80176,135,14306.625,0.048,5.604,1635,,,,,,,,,,255,625,72500,130,13266.5,0.047,5.465,2835
,,,,,,,302,740,85863,145,16504.625,0.045,5.202,1757,,,,,,,,,,294,721,83588,140,15386,0.047,5.433,2894,,,,,,,,,,302,740,85863,135,14306.625,0.052,6.002,1528,,,,,,,,,,270,662,76765,130,13266.5,0.050,5.786,2280
,,300,0.49,147,2.04,0.558,69,124,18177,140,15386,0.008,1.181,768,,,,,300,0.49,147,2.04,0.558,66,118,17387,140,15386,0.008,1.130,1932,,,,,300,0.49,147,2.04,0.558,68,122,17914,135,14306.625,0.009,1.252,1097,,,,,300,0.49,147,2.04,0.558,64,115,16860,130,13266.5,0.009,1.271,1559
,,,,,,,69,124,18177,140,15386,0.008,1.181,1307,,,,,,,,,,66,118,17387,135,14306.625,0.008,1.215,1928,,,,,,,,,,70,125,18441,135,14306.625,0.009,1.289,800,,,,,,,,,,63,113,16597,135,14306.625,0.008,1.160,1462
,,,,,,,70,125,18441,145,16504.625,0.008,1.117,1350,,,,,,,,,,66,118,17387,140,15386,0.008,1.130,1919,,,,,,,,,,69,124,18177,135,14306.625,0.009,1.271,1767,,,,,,,,,,61,109,16070,130,13266.5,0.008,1.211,4152
,,,,,,,69,124,18177,140,15386,0.008,1.181,1420,,,,,,,,,,63,113,16597,140,15386,0.007,1.079,2554,,,,,,,,,,69,124,18177,135,14306.625,0.009,1.271,1350,,,,,,,,,,61,109,16070,125,12265.625,0.009,1.310,2040
,,,,,,,72,129,18968,145,16504.625,0.008,1.149,1365,,,,,,,,,,64,115,16860,140,15386,0.007,1.096,1990,,,,,,,,,,70,125,18441,135,14306.625,0.009,1.289,1258,,,,,,,,,,57,102,15016,130,13266.5,0.008,1.132,2643
,,,,,,,67,120,17651,145,16504.625,0.007,1.069,1376,,,,,,,,,,62,111,16333,140,15386,0.007,1.062,1711,,,,,,,,,,76,136,20022,130,13266.5,0.010,1.509,1470,,,,,,,,,,65,116,17124,125,12265.625,0.009,1.396,2270
5,α2-3 SiaLac,150,0.40,60,2.50,0.276,338,1225,73478,155,18859.625,0.065,3.896,1457,,,5,α2-3 SiaLac,150,0.40,60,2.50,0.276,305,1105,66304,145,16504.625,0.067,4.017,2223,,,5,α2-3 SiaLac,150,0.40,60,2.50,0.276,380,1377,82609,145,16504.625,0.083,5.005,1938,,,5,α2-3 SiaLac,150,0.40,60,2.50,0.276,348,1261,75652,140,15386,0.082,4.917,3183
,,,,,,,325,1178,70652,155,18859.625,0.062,3.746,1401,,,,,,,,,,299,1083,65000,150,17662.5,0.061,3.680,2172,,,,,,,,,,375,1359,81522,140,15386,0.088,5.298,1945,,,,,,,,,,349,1264,75870,145,16504.625,0.077,4.597,2739
,,,,,,,324,1174,70435,150,17662.5,0.066,3.988,1253,,,,,,,,,,322,1167,70000,150,17662.5,0.066,3.963,2013,,,,,,,,,,328,1188,71304,145,16504.625,0.072,4.320,1785,,,,,,,,,,344,1246,74783,145,16504.625,0.076,4.531,2235
,,,,,,,331,1199,71957,155,18859.625,0.064,3.815,1496,,,,,,,,,,304,1101,66087,145,16504.625,0.067,4.004,2751,,,,,,,,,,348,1261,75652,140,15386,0.082,4.917,1751,,,,,,,,,,346,1254,75217,145,16504.625,0.076,4.557,2265
,,,,,,,323,1170,70217,150,17662.5,0.066,3.976,1300,,,,,,,,,,321,1163,69783,150,17662.5,0.066,3.951,2206,,,,,,,,,,331,1199,71957,140,15386,0.078,4.677,1752,,,,,,,,,,346,1254,75217,145,16504.625,0.076,4.557,2071
,,,,,,,281,1018,61087,150,17662.5,0.058,3.459,1372,,,,,,,,,,312,1130,67826,145,16504.625,0.068,4.110,2652,,,,,,,,,,311,1127,67609,140,15386,0.073,4.394,1576,,,,,,,,,,362,1312,78696,140,15386,0.085,5.115,3308
,,200,0.58,116,1.72,0.408,540,1324,153529,145,16504.625,0.080,9.302,2296,,,,,200,0.58,116,1.72,0.408,523,1282,148696,140,15386,0.083,9.664,2978,,,,,200,0.58,116,1.72,0.408,583,1429,165755,135,14306.625,0.100,11.586,1705,,,,,200,0.58,116,1.72,0.408,540,1324,153529,135,14306.625,0.093,10.731,3551
,,,,,,,525,1287,149265,145,16504.625,0.078,9.044,1271,,,,,,,,,,528,1294,150118,140,15386,0.084,9.757,2818,,,,,,,,,,568,1392,161490,140,15386,0.090,10.496,1807,,,,,,,,,,561,1375,159500,135,14306.625,0.096,11.149,4149
,,,,,,,520,1275,147843,140,15386,0.083,9.609,1935,,,,,,,,,,518,1270,147275,140,15386,0.083,9.572,3145,,,,,,,,,,566,1387,160922,135,14306.625,0.097,11.248,1373,,,,,,,,,,543,1331,154382,140,15386,0.086,10.034,3645
,,,,,,,540,1324,153529,140,15386,0.086,9.979,1783,,,,,,,,,,527,1292,149833,135,14306.625,0.090,10.473,3280,,,,,,,,,,555,1360,157794,135,14306.625,0.095,11.029,1086,,,,,,,,,,559,1370,158931,135,14306.625,0.096,11.109,3457
,,,,,,,517,1267,146990,145,16504.625,0.077,8.906,1764,,,,,,,,,,525,1287,149265,135,14306.625,0.090,10.433,2449,,,,,,,,,,537,1316,152676,135,14306.625,0.092,10.672,1123,,,,,,,,,,544,1333,154667,140,15386,0.087,10.052,4504
,,,,,,,474,1162,134765,140,15386,0.076,8.759,1796,,,,,,,,,,542,1328,154098,135,14306.625,0.093,10.771,3105,,,,,,,,,,536,1314,152392,135,14306.625,0.092,10.652,922,,,,,,,,,,586,1436,166608,130,13266.5,0.108,12.559,5306
,,300,0.49,147,2.04,0.558,269,482,70866,140,15386,0.031,4.606,1421,,,,,300,0.49,147,2.04,0.558,262,470,69022,135,14306.625,0.033,4.824,2242,,,,,300,0.49,147,2.04,0.558,314,563,82720,135,14306.625,0.039,5.782,1310,,,,,300,0.49,147,2.04,0.558,286,513,75344,130,13266.5,0.039,5.679,2731
,,,,,,,267,478,70339,140,15386,0.031,4.572,526,,,,,,,,,,264,473,69548,135,14306.625,0.033,4.861,1906,,,,,,,,,,326,584,85882,135,14306.625,0.041,6.003,1298,,,,,,,,,,292,523,76925,130,13266.5,0.039,5.798,2863
,,,,,,,261,468,68758,135,14306.625,0.033,4.806,1097,,,,,,,,,,262,470,69022,140,15386,0.031,4.486,1986,,,,,,,,,,323,579,85091,130,13266.5,0.044,6.414,1087,,,,,,,,,,288,516,75871,130,13266.5,0.039,5.719,2288
,,,,,,,257,461,67704,140,15386,0.030,4.400,1322,,,,,,,,,,269,482,70866,135,14306.625,0.034,4.953,2041,,,,,,,,,,321,575,84565,130,13266.5,0.043,6.374,1168,,,,,,,,,,295,529,77715,130,13266.5,0.040,5.858,2823
,,,,,,,246,441,64806,140,15386,0.029,4.212,1538,,,,,,,,,,279,500,73500,135,14306.625,0.035,5.137,2255,,,,,,,,,,320,573,84301,130,13266.5,0.043,6.354,873,,,,,,,,,,296,530,77978,135,14306.625,0.037,5.451,4364
,,,,,,,225,403,59274,140,15386,0.026,3.852,1296,,,,,,,,,,288,516,75871,130,13266.5,0.039,5.719,2248,,,,,,,,,,301,539,79296,130,13266.5,0.041,5.977,925,,,,,,,,,,310,556,81667,130,13266.5,0.042,6.156,5264
10,α2-3 SiaLac,150,0.40,60,2.50,0.276,275,996,59783,150,17662.5,0.056,3.385,1333,,,10,α2-3 SiaLac,150,0.40,60,2.50,0.276,323,1170,70217,140,15386,0.076,4.564,2891,,,10,α2-3 SiaLac,150,0.40,60,2.50,0.276,276,1000,60000,140,15386,0.065,3.900,1125,,,10,α2-3 SiaLac,150,0.40,60,2.50,0.276,345,1250,75000,135,14306.625,0.087,5.242,4204
,,,,,,,292,1058,63478,145,16504.625,0.064,3.846,1452,,,,,,,,,,300,1087,65217,140,15386,0.071,4.239,2991,,,,,,,,,,258,935,56087,140,15386,0.061,3.645,694,,,,,,,,,,364,1319,79130,135,14306.625,0.092,5.531,6712
,,,,,,,307,1112,66739,145,16504.625,0.067,4.044,1687,,,,,,,,,,322,1167,70000,140,15386,0.076,4.550,3490,,,,,,,,,,234,848,50870,140,15386,0.055,3.306,604,,,,,,,,,,342,1239,74348,135,14306.625,0.087,5.197,5487
