



,,,,,,,,,,,,Block 2,,,,,,,,,,,,,,,,,Block 3,,,,,,,,,,,,,,,,,Block 10,,,,,,,,,,,,,,,,,Block 11,,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
1,α2-6 SiaLac,150,0.41,62,2.44,0.276,108,391,24065,145,16504.625,0.024,1.458,500*,,,1,α2-6 SiaLac,150,0.41,62,2.44,0.276,106,384,23620,140,15386,0.025,1.535,290,,,1,α2-6 SiaLac,150,0.41,62,2.44,0.276,103,373,22951,140,15386,0.024,1.492,566,,,1,α2-6 SiaLac,150,0.41,62,2.44,0.276,96,348,21391,135,14306.625,0.024,1.495,1242
,,,,,,,107,388,23842,145,16504.625,0.023,1.445,391,,,,,,,,,,96,348,21391,145,16504.625,0.021,1.296,927,,,,,,,,,,101,366,22505,140,15386,0.024,1.463,627,,,,,,,,,,95,344,21168,135,14306.625,0.024,1.480,1222
,,,,,,,110,399,24511,145,16504.625,0.024,1.485,410,,,,,,,,,,100,362,22283,140,15386,0.024,1.448,910,,,,,,,,,,101,366,22505,140,15386,0.024,1.463,623,,,,,,,,,,95,344,21168,135,14306.625,0.024,1.480,994
,,,,,,,110,399,24511,145,16504.625,0.024,1.485,3873*,,,,,,,,,,99,359,22060,145,16504.625,0.022,1.337,3639*,,,,,,,,,,103,373,22951,135,14306.625,0.026,1.604,744,,,,,,,,,,93,337,20723,140,15386,0.022,1.347,916
,,,,,,,108,391,24065,140,15386,0.025,1.564,399,,,,,,,,,,99,359,22060,140,15386,0.023,1.434,983,,,,,,,,,,101,366,22505,140,15386,0.024,1.463,603,,,,,,,,,,90,326,20054,135,14306.625,0.023,1.402,764
,,,,,,,113,409,25179,145,16504.625,0.025,1.526,391,,,,,,,,,,105,380,23397,135,14306.625,0.027,1.635,754,,,,,,,,,,101,366,22505,135,14306.625,0.026,1.573,502,,,,,,,,,,95,344,21168,135,14306.625,0.024,1.480,963
,,200,0.55,110,1.82,0.408,268,657,72255,140,15386,0.043,4.696,106,,,,,200,0.55,110,1.82,0.408,284,696,76569,140,15386,0.045,4.977,736,,,,,200,0.55,110,1.82,0.408,274,672,73873,135,14306.625,0.047,5.164,301,,,,,200,0.55,110,1.82,0.408,268,657,72255,140,15386,0.043,4.696,1147
,,,,,,,265,650,71446,140,15386,0.042,4.644,64,,,,,,,,,,247,605,66593,145,16504.625,0.037,4.035,535,,,,,,,,,,271,664,73064,140,15386,0.043,4.749,284,,,,,,,,,,261,640,70368,135,14306.625,0.045,4.919,382
,,,,,,,277,679,74681,145,16504.625,0.041,4.525,141,,,,,,,,,,262,642,70637,140,15386,0.042,4.591,577,,,,,,,,,,277,679,74681,135,14306.625,0.047,5.220,275,,,,,,,,,,261,640,70368,135,14306.625,0.045,4.919,395
