Medium polymer binding to different valencies ,,,,Slide used ,,TL-VI-99-2,,,,,,,,,
Polymer Length (DP) ,190.4457364,,,PMT,,,,,,,,,,,
Labeling efficiency ,0.4082,,,,,,,,,,,,,,
,,,,Block 2,,,Block 3,,,Block 10,,,Block 11,,
,,,,,,,,,,,,,,,
µM PRINTED POLYMER,GLYCAN,VALENCY, GLYCAN SPACING ON POLYMER,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
,,,,0.075,4.575,235,0.075,4.626,98,0.085,5.205,217,0.077,4.694,-12
,,,,0.075,4.617,241,0.071,4.348,506,0.086,5.278,413,0.074,4.558,109
,,,,0.077,4.694,95,0.063,3.846,138,0.086,5.251,264,0.068,4.189,52
,,,,0.076,4.668,30,0.075,4.575,164,0.086,5.287,308,0.078,4.753,150
,,,,0.071,4.372,-80,0.087,5.323,14,0.087,5.360,342,0.079,4.864,-14
,,53,3.62,0.095,5.004,145,0.087,4.560,-131,0.086,4.523,-5,0.081,4.270,-116
,,,,0.087,4.552,21,0.087,4.567,-91,0.088,4.625,-38,0.074,3.866,-139
,,,,0.088,4.611,11,0.087,4.581,447,0.082,4.291,-8,0.079,4.147,-132
,,,,0.087,4.596,-18,0.081,4.250,-368,0.088,4.654,-8,0.074,3.892,-107
,,,,0.087,4.552,-36,0.086,4.538,-122,0.087,4.567,-10,0.081,4.250,-72
,,,,0.088,4.618,20,0.088,4.625,286,0.082,4.325,-7,0.081,4.277,-136
10,α2-6 SiaLac,105,1.81,0.070,7.391,1406,0.063,6.653,299,0.078,8.145,595,0.041,4.318,151
,,,,0.077,8.106,1594,0.058,6.120,296,0.069,7.265,531,0.046,4.782,235
,,,,0.068,7.121,1370,0.061,6.438,200,0.070,7.301,497,0.046,4.832,245
,,,,0.067,7.085,1222,0.059,6.186,192,0.045,4.676,453,0.046,4.816,229
,,,,0.068,7.175,1022,0.053,5.518,216,0.034,3.595,425,0.041,4.302,239
,,,,0.068,7.193,1110,0.059,6.186,501,0.026,2.777,389,0.036,3.831,262
,,88,2.17,0.101,8.863,1372,0.096,8.395,457,0.109,9.585,909,0.069,6.065,218
,,,,0.101,8.863,1880,0.097,8.507,454,0.114,10.037,1028,0.071,6.261,266
,,,,0.103,9.043,2029,0.096,8.479,384,0.105,9.254,965,0.071,6.261,202
,,,,0.102,8.953,1552,0.094,8.269,167,0.050,4.433,723,0.071,6.196,141
,,,,0.095,8.325,733,0.095,8.339,206,0.087,7.654,545,0.064,5.631,209
,,,,0.102,8.998,629,0.095,8.311,361,0.067,5.892,481,0.064,5.594,285
,,79,2.42,0.124,9.704,1399,0.116,9.139,256,0.128,10.066,786,0.091,7.161,201
,,,,0.115,9.034,1731,0.115,8.999,283,0.121,9.466,829,0.095,7.447,176
,,,,0.125,9.816,1985,0.117,9.209,402,0.069,5.411,814,0.091,7.142,194
,,,,0.116,9.104,1318,0.116,9.139,7,0.082,6.428,766,0.070,5.530,155
,,,,0.115,8.999,492,0.115,9.058,121,0.144,11.310,616,0.065,5.122,32
,,,,0.114,8.929,383,0.115,9.034,278,0.093,7.324,399,0.086,6.759,240
,,71,2.69,0.123,8.747,806,0.114,8.085,108,0.107,7.590,587,0.090,6.415,80
,,,,0.124,8.821,1692,0.114,8.056,269,0.113,7.987,584,0.093,6.562,61
,,,,0.126,8.905,1629,0.122,8.653,137,0.116,8.243,520,0.095,6.752,50
,,,,0.116,8.223,1175,0.123,8.705,76,0.107,7.554,757,0.088,6.267,-20
,,,,0.124,8.810,323,0.115,8.174,77,0.117,8.321,533,0.095,6.726,-2
,,,,0.127,8.979,217,0.117,8.292,47,0.120,8.508,328,0.093,6.570,87
,,61,3.11,0.130,7.985,846,0.129,7.891,-99,0.122,7.454,410,0.108,6.622,-75
,,,,0.129,7.900,970,0.129,7.883,117,0.130,7.968,384,0.108,6.644,-27
,,,,0.129,7.908,1145,0.130,7.968,105,0.130,7.942,224,0.117,7.143,-8
,,,,0.129,7.891,792,0.128,7.874,89,0.129,7.884,639,0.113,6.928,-41
,,,,0.128,7.857,145,0.128,7.866,-49,0.132,8.095,431,0.109,6.696,-82
,,,,0.129,7.934,177,0.130,7.959,-56,0.150,9.209,302,0.111,6.801,-11
,,53,3.62,0.109,5.756,-23,0.101,5.302,-97.000,0.129,6.769,33,0.107,5.650,-121
,,,,0.109,5.719,-14,0.101,5.302,-23.000,0.118,6.208,24,0.107,5.616,-88
,,,,0.109,5.756,-33,0.101,5.336,-106.000,0.118,6.186,47,0.107,5.623,-73
,,,,0.101,5.315,20,0.109,5.756,-63.000,0.129,6.761,207,0.109,5.732,-76
,,,,0.101,5.302,66,0.109,5.719,-44.000,0.136,7.151,147,0.109,5.732,-47
,,,,0.109,5.719,5,0.109,5.712,-113.000,0.139,7.292,94,0.112,5.876,-127
1,α2-3 SiaLac,111,1.72,0.013,1.422,5849,0.014,1.549,1502,0.032,3.564,3580,0.018,1.971,1201
,,,,0.013,1.465,5926,0.015,1.641,2010,0.039,4.347,4189,0.018,2.007,1507
,,,,0.020,2.164,5415,0.013,1.465,1301,0.029,3.261,4265,0.017,1.920,1407
,,,,0.018,2.044,5905,0.014,1.493,1457,0.028,3.078,3922,0.017,1.871,2112
,,,,0.017,1.901,5353,0.013,1.465,785,0.022,2.470,2817,0.019,2.117,1542
,,,,0.014,1.522,4861,0.013,1.450,458,0.027,2.995,2250,0.020,2.166,894
,,93,2.05,0.013,1.235,5399,0.013,1.235,1045,0.032,2.933,2827,0.017,1.595,855
,,,,0.014,1.261,5709,0.015,1.363,1388,0.032,2.991,2945,0.017,1.580,641
,,,,0.016,1.462,5733,0.012,1.145,1126,0.037,3.466,3236,0.019,1.749,1207
,,,,0.016,1.521,1707,0.013,1.235,-2706,0.032,2.977,3125,0.019,1.743,1007
,,,,0.014,1.325,4954,0.013,1.222,584,0.025,2.313,2699,0.019,1.772,1176
,,,,0.015,1.377,4683,0.013,1.235,720,0.018,1.684,1406,0.018,1.694,1328
,,83,2.30,0.018,1.481,5339,0.019,1.585,987,0.051,4.219,3008,0.023,1.885,644
