Medium polymer binding to different valencies ,,,,Slide used ,,,,,,,,,
Polymer Length (DP) ,190.4457364,,,PMT,,,,,,,,,
Labeling efficiency ,0.4082,,,,,,,,,,,,
,,,,Block 2,,,Block 10,,,Block 11,,,
,,,,,,,,,,,,,
µM PRINTED POLYMER,GLYCAN,VALENCY, GLYCAN SPACING ON POLYMER,POLYMER DENSITY,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER DENSITY,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER DENSITY,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,
,,,,0.062,6.467,584,0.087,9.153,890,0.033,3.444,2801*,
,,,,0.077,8.093,688,0.089,9.367,1463*,0.038,3.991,2931*,
,,88,2.17,0.080,7.055,1179,0.129,11.331,237,0.077,6.770,1388,
,,,,0.114,10.019,2311*,0.141,12.366,387,0.081,7.108,456,
,,,,0.086,7.545,1064,0.128,11.256,356,0.073,6.405,2726*,
,,,,0.111,9.795,571,0.141,12.349,568,0.066,5.802,1745,
,,,,0.084,7.408,667,0.130,11.406,397,0.067,5.924,1228,
,,,,0.074,6.471,491,0.133,11.692,498,0.066,5.814,1646,
,,79,2.42,0.111,8.693,280,0.143,11.255,354,0.111,8.737,932,
,,,,0.129,10.165,725,0.140,10.992,-101,0.121,9.489,417,
,,,,0.116,9.118,524,0.127,10.002,18,0.108,8.475,612,
,,,,0.118,9.281,314,0.144,11.305,576,0.100,7.835,440,
,,,,0.107,8.437,418,0.156,12.225,787,0.104,8.159,781,
,,,,0.113,8.883,390,0.161,12.682,176,0.106,8.290,183,
,,71,2.69,0.102,7.254,407,0.152,10.750,-107,0.111,7.849,574,
,,,,0.119,8.410,769,0.131,9.285,-75,0.120,8.538,357,
,,,,0.130,9.221,138,0.136,9.642,-4,0.119,8.450,827*,
,,,,0.131,9.274,113,0.149,10.535,436,0.111,7.904,353,
,,,,0.130,9.232,395,0.152,10.750,20,0.108,7.665,-196,
,,,,0.131,9.295,120,0.154,10.931,592,0.109,7.747,179,
,,61,3.11,0.129,7.908,-37,0.151,9.255,40,0.110,6.719,-452,
,,,,0.113,6.898,38,0.151,9.237,-279,0.109,6.704,33,
,,,,0.121,7.406,127,0.151,9.255,-47,0.114,6.960,303,
,,,,0.143,8.754,1176,0.151,9.273,-65,0.107,6.585,-135,
,,,,0.138,8.491,3637*,0.165,10.113,-122,0.109,6.659,370,
,,,,0.122,7.462,116,0.157,9.628,208,0.110,6.771,-297,
,,53,3.62,0.114,6.004,73,0.133,7.003,447,0.105,5.534,-278,
,,,,0.106,5.568,80,0.123,6.471,37,0.093,4.905,-271,
,,,,0.115,6.070,381,0.123,6.486,451,0.095,5.021,-224,
,,,,0.114,5.997,160,0.132,6.925,92,0.102,5.343,-109,
,,,,0.116,6.085,968,0.133,6.988,106,0.095,4.982,533,
,,,,0.116,6.092,-354,0.124,6.537,-74,0.096,5.040,-282,
1,α2-3 SiaLac,111,1.72,0.021,2.272,743,0.028,3.130,691*,0.018,1.985,3772,
,,,,0.023,2.531,749,0.028,3.078,1839,0.020,1.985,1932,
,,,,0.024,2.628,1369,0.029,3.156,1867,0.019,2.264,2205,
,,,,0.024,2.650,2281,0.029,3.183,2260,0.020,2.101,2809,
,,,,0.024,2.694,2436,0.025,2.716,1754,0.022,2.223,2725,
,,,,0.026,2.899,2491,0.031,3.391,1551,0.020,2.379,2689,
,,93,2.05,0.019,1.747,1468,0.017,1.604,552*,0.020,2.223,2094,
,,,,0.018,1.716,620,0.018,1.636,1110,0.019,1.843,1873,
,,,,0.018,1.700,938,0.018,1.636,1063,0.021,1.802,2531, 
,,,,0.018,1.684,1128,0.018,1.636,3213*,0.020,1.920,3278,
,,,,0.017,1.566,1617,0.017,1.536,2159,0.020,1.859,3291,
