CF H1N1 binding to TL-VI-25-4,,,,,,,,,,,,,,,,,CF H1N1 binding to TL-VI-25-4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Block 6,,,,,,,,,,,,,,,,,Block 14,,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
1,α2-6 SiaLac,150,0.29,44,0.29,0.063,410,6508,283095,140,15386,0.423,18.400,110,,,1,α2-6 SiaLac,150,0.29,44,0.29,0.063,457,7254,315548,140,15386,0.471,20.509,126
,,,,,,,416,6603,287238,140,15386,0.429,18.669,71,,,,,,,,,,468,7429,323143,140,15386,0.483,21.002,97
,,,,,,,411,6524,283786,135,14306.625,0.456,19.836,73,,,,,,,,,,467,7413,322452,140,15386,0.482,20.958,84
,,,,,,,425,6746,293452,140,15386,0.438,19.073,80,,,,,,,,,,471,7476,325214,140,15386,0.486,21.137,89
,,,,,,,418,6635,288619,140,15386,0.431,18.759,75,,,,,,,,,,473,7508,326595,140,15386,0.488,21.227,147
,,,,,,,432,6857,298286,135,14306.625,0.479,20.849,81,,,,,,,,,,499,7921,344548,140,15386,0.515,22.394,129
,,,0.40,60,0.40,0.063,381,6048,362857,120,11304,0.535,32.100,160,,,,,,0.40,60,0.40,0.063,363,5762,345714,135,14306.625,0.403,24.165,101
,,,,,,,424,6730,403810,120,11304,0.595,35.723,97,,,,,,,,,,385,6111,366667,130,13266.5,0.461,27.639,124
,,,,,,,336,5333,320000,130,13266.5,0.402,24.121,58,,,,,,,,,,370,5873,352381,135,14306.625,0.411,24.631,82
