CF H1N1 binding to TL-VI-25-3,,,,,,,,,,,,,,,,,CF H1N1 binding to TL-VI-25-3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Block 1,,,,,,,,,,,,,,,,,Block 9,,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE ,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
,,,,,,,2760,10036,943418,135,14306.625,0.702,65.943,10,,,,,,,,,,2860,10400,977600,135,14306.625,0.727,68.332,44
,,,0.66,132,0.66,0.275,2099,7633,1007520,135,14306.625,0.534,70.423,63,,,,,,0.66,132,0.66,0.275,2207,8025,1059360,135,14306.625,0.561,74.047,98
,,,,,,,2034,7396,976320,135,14306.625,0.517,68.243,31,,,,,,,,,,2223,8084,1067040,135,14306.625,0.565,74.584,90
,,,,,,,2088,7593,1002240,135,14306.625,0.531,70.054,37,,,,,,,,,,2283,8302,1095840,135,14306.625,0.580,76.597,46
,,,,,,,2190,7964,1051200,135,14306.625,0.557,73.476,28,,,,,,,,,,2261,8222,1085280,135,14306.625,0.575,75.859,47
,,,,,,,2233,8120,1071840,135,14306.625,0.568,74.919,63,,,,,,,,,,2301,8367,1104480,140,15386,0.544,71.785,50
,,,,,,,2140,7782,1027200,135,14306.625,0.544,71.799,204,,,,,,,,,,2186,7949,1049280,135,14306.625,0.556,73.342,35
,,300,0.28,84,0.28,0.093,977,10517,883402,140,15386,0.684,57.416,69,,,,,300,0.28,84,0.28,0.093,1010,10872,913240,140,15386,0.707,59.355,94
,,,,,,,998,10743,902390,135,14306.625,0.751,63.075,61,,,,,,,,,,1027,11055,928611,140,15386,0.719,60.354,60
,,,,,,,1013,10904,915953,135,14306.625,0.762,64.023,35,,,,,,,,,,1031,11098,932228,135,14306.625,0.776,65.161,18
,,,,,,,999,10753,903294,140,15386,0.699,58.709,29,,,,,,,,,,1011,10883,914144,140,15386,0.707,59.414,42
,,,,,,,1034,11130,934941,140,15386,0.723,60.766,54,,,,,,,,,,1074,11561,971109,140,15386,0.751,63.116,75
,,,,,,,978,10527,884306,140,15386,0.684,57.475,183,,,,,,,,,,1069,11507,966588,140,15386,0.748,62.823,63
,,,0.56,168,0.56,0.093,859,9247,1553412,135,14306.625,0.646,108.580,53,,,,,,0.56,168,0.56,0.093,945,10172,1708934,135,14306.625,0.711,119.451,151
,,,,,,,842,9064,1522670,135,14306.625,0.634,106.431,62,,,,,,,,,,931,10022,1683617,140,15386,0.651,109.425,100
,,,,,,,884,9516,1598622,140,15386,0.618,103.901,69,,,,,,,,,,939,10108,1698084,140,15386,0.657,110.366,63
,,,,,,,895,9634,1618515,135,14306.625,0.673,113.130,44,,,,,,,,,,966,10398,1746911,140,15386,0.676,113.539,29
,,,,,,,909,9785,1643832,135,14306.625,0.684,114.900,50,,,,,,,,,,1005,10818,1817438,135,14306.625,0.756,127.035,33
,,,,,,,939,10108,1698084,135,14306.625,0.707,118.692,55,,,,,,,,,,1069,11507,1933175,135,14306.625,0.804,135.124,66
5,Lac,150,0.51,77,0.51,0.063,2163,34333,2626500,140,15386,2.231,170.707,15,,,5,Lac,150,0.51,77,0.51,0.063,2328,36952,2826857,135,14306.625,2.583,197.591,35
,,,,,,,2052,32571,2491714,140,15386,2.117,161.947,27,,,,,,,,,,2417,38365,2934929,140,15386,2.494,190.753,56
,,,,,,,2093,33222,2541500,135,14306.625,2.322,177.645,28,,,,,,,,,,2414,38317,2931286,135,14306.625,2.678,204.890,56
,,,,,,,2141,33984,2599786,135,14306.625,2.375,181.719,5,,,,,,,,,,2435,38651,2956786,135,14306.625,2.702,206.672,64
,,,,,,,2196,34857,2666571,140,15386,2.266,173.312,22,,,,,,,,,,2510,39841,3047857,140,15386,2.589,198.093,68
,,,,,,,2143,34016,2602214,140,15386,2.211,169.129,39,,,,,,,,,,2461,39063,2988357,140,15386,2.539,194.226,79
,,,0.73,110,0.73,0.063,1925,30556,3345833,140,15386,1.986,217.460,14,,,,,,0.73,110,0.73,0.063,2272,36063,3948952,135,14306.625,2.521,276.023,41
,,,,,,,1908,30286,3316286,135,14306.625,2.117,231.801,25,,,,,,,,,,2262,35905,3931571,135,14306.625,2.510,274.808,41
,,,,,,,1896,30095,3295429,135,14306.625,2.104,230.343,24,,,,,,,,,,2324,36889,4039333,130,13266.5,2.781,304.476,76
,,,,,,,1912,30349,3323238,135,14306.625,2.121,232.287,37,,,,,,,,,,2341,37159,4068881,135,14306.625,2.597,284.405,89
,,,,,,,1969,31254,3422310,135,14306.625,2.185,239.212,27,,,,,,,,,,2391,37952,4155786,135,14306.625,2.653,290.480,79
,,,,,,,1957,31063,3401452,135,14306.625,2.171,237.754,3,,,,,,,,,,2225,35317,3867262,135,14306.625,2.469,270.313,78
,,200,0.47,94,0.47,0.275,11676,42458,3991069,135,14306.625,2.968,278.966,21,,,,,200,0.47,94,0.47,0.275,13249,48178,4528749,140,15386,3.131,294.342,107
,,,,,,,11549,41996,3947658,135,14306.625,2.935,275.932,30,,,,,,,,,,13324,48451,4554385,140,15386,3.149,296.008,63
,,,,,,,11712,42589,4003375,135,14306.625,2.977,279.827,12,,,,,,,,,,13777,50098,4709229,190,28338.5,1.768,166.178,88
,,,,,,,11808,42938,4036189,140,15386,2.791,262.329,270,,,,,,,,,,14005,50927,4787164,135,14306.625,3.560,334.612,130
,,,,,,,12023,43720,4109680,135,14306.625,3.056,287.257,-3,,,,,,,,,,14071,51167,4809724,140,15386,3.326,312.604,130
,,,,,,,12153,44193,4154116,140,15386,2.872,269.993,41,,,,,,,,,,14464,52596,4944058,140,15386,3.418,321.335,153
,,,0.66,132,0.66,0.275,9911,36040,4757280,135,14306.625,2.519,332.523,28,,,,,,0.66,132,0.66,0.275,10318,37520,4952640,140,15386,2.439,321.893,59
,,,,,,,9875,35909,4740000,135,14306.625,2.510,331.315,53,,,,,,,,,,10338,37593,4962240,140,15386,2.443,322.517,92
,,,,,,,9951,36185,4776480,140,15386,2.352,310.443,41,,,,,,,,,,10531,38295,5054880,135,14306.625,2.677,353.324,103
,,,,,,,10129,36833,4861920,135,14306.625,2.575,339.837,49,,,,,,,,,,10564,38415,5070720,140,15386,2.497,329.567,122
,,,,,,,10217,37153,4904160,140,15386,2.415,318.742,32,,,,,,,,,,10513,38229,5046240,140,15386,2.485,327.976,141
,,,,,,,10595,38527,5085600,140,15386,2.504,330.534,73,,,,,,,,,,11099,40360,5327520,140,15386,2.623,346.258,167
,,300,0.28,84,0.28,0.093,4478,48202,4048999,145,16504.625,2.921,245.325,2,,,,,300,0.28,84,0.28,0.093,4787,51529,4328396,145,16504.625,3.122,262.254,72
,,,,,,,4430,47686,4005597,145,16504.625,2.889,242.695,16,,,,,,,,,,4836,52056,4372702,145,16504.625,3.154,264.938,77
,,,,,,,4495,48385,4064370,145,16504.625,2.932,246.256,34,,,,,,,,,,4860,52314,4394403,145,16504.625,3.170,266.253,107
,,,,,,,4525,48708,4091496,145,16504.625,2.951,247.900,10,,,,,,,,,,5028,54123,4546308,140,15386,3.518,295.483,108
,,,,,,,4769,51335,4312121,140,15386,3.336,280.263,36,,,,,,,,,,5343,57513,4831130,145,16504.625,3.485,292.714,121
,,,,,,,5361,57707,4847406,145,16504.625,3.496,293.700,49,,,,,,,,,,6743,72583,6097008,140,15386,4.717,396.270,108
,,,0.56,168,0.56,0.093,4274,46006,7729085,145,16504.625,2.787,468.298,66,,,,,,0.56,168,0.56,0.093,4738,51001,8568181,145,16504.625,3.090,519.138,120
,,,,,,,4298,46265,7772487,150,17662.5,2.619,440.056,68,,,,,,,,,,4724,50850,8542863,145,16504.625,3.081,517.604,160
,,,,,,,4284,46114,7747169,150,17662.5,2.611,438.622,19,,,,,,,,,,4821,51895,8718278,140,15386,3.373,566.637,160
,,,,,,,4278,46050,7736319,145,16504.625,2.790,468.736,58,,,,,,,,,,4895,52691,8852099,145,16504.625,3.193,536.341,194
,,,,,,,4482,48245,8105231,150,17662.5,2.732,458.895,47,,,,,,,,,,5611,60398,10146911,140,15386,3.926,659.490,218
,,,,,,,4964,53434,8976878,150,17662.5,3.025,508.245,66,,,,,,,,,,6971,75038,12606329,145,16504.625,4.546,763.806,206
10,Lac,150,0.51,77,0.51,0.063,4022,63841,4883857,140,15386,4.149,317.422,1,,,10,Lac,150,0.51,77,0.51,0.063,4263,67667,5176500,140,15386,4.398,336.442,65
,,,,,,,4010,63651,4869286,140,15386,4.137,316.475,0,,,,,,,,,,4173,66238,5067214,145,16504.625,4.013,307.018,16
,,,,,,,4077,64714,4950643,140,15386,4.206,321.763,36,,,,,,,,,,4234,67206,5141286,140,15386,4.368,334.153,5
,,,,,,,4094,64984,4971286,135,14306.625,4.542,347.481,-8,,,,,,,,,,4256,67556,5168000,140,15386,4.391,335.890,29
,,,,,,,4048,64254,4915429,135,14306.625,4.491,343.577,-6,,,,,,,,,,4270,67778,5185000,140,15386,4.405,336.995,32
,,,,,,,4223,67032,5127929,135,14306.625,4.685,358.430,36,,,,,,,,,,4387,69635,5327071,140,15386,4.526,346.228,31
,,,0.73,110,0.73,0.063,4136,65651,7188762,135,14306.625,4.589,502.478,9,,,,,,0.73,110,0.73,0.063,4620,73333,8030000,135,14306.625,5.126,561.278,74
,,,,,,,4079,64746,7089690,135,14306.625,4.526,495.553,28,,,,,,,,,,4633,73540,8052595,135,14306.625,5.140,562.858,56
,,,,,,,4203,66714,7305214,135,14306.625,4.663,510.618,38,,,,,,,,,,4781,75889,8309833,135,14306.625,5.304,580.838,38
,,,,,,,4267,67730,7416452,135,14306.625,4.734,518.393,8,,,,,,,,,,4984,79111,8662667,135,14306.625,5.530,605.500,70
,,,,,,,4360,69206,7578095,135,14306.625,4.837,529.691,27,,,,,,,,,,5282,83841,9180619,140,15386,5.449,596.687,33
,,,,,,,4256,67556,7397333,135,14306.625,4.722,517.056,39,,,,,,,,,,4795,76111,8334167,140,15386,4.947,541.672,70
,,200,0.47,94,0.47,0.275,19344,70342,6612131,135,14306.625,4.917,462.173,67,,,,,200,0.47,94,0.47,0.275,19508,70938,6668189,140,15386,4.611,433.393,101
,,,,,,,19104,69469,6530095,140,15386,4.515,424.418,-70,,,,,,,,,,19683,71575,6728007,140,15386,4.652,437.281,-53
,,,,,,,19290,70145,6593673,135,14306.625,4.903,460.882,43,,,,,,,,,,20192,73425,6901993,140,15386,4.772,448.589,86
,,,,,,,19507,70935,6667847,135,14306.625,4.958,466.067,-52,,,,,,,,,,19749,71815,6750567,140,15386,4.668,438.747,115
,,,,,,,19779,71924,6760822,140,15386,4.675,439.414,-20,,,,,,,,,,20236,73585,6917033,140,15386,4.783,449.567,143
,,,,,,,19813,72047,6772444,135,14306.625,5.036,473.378,36,,,,,,,,,,20066,72967,6858924,145,16504.625,4.421,415.576,88
,,,0.66,132,0.66,0.275,16416,59695,7879680,145,16504.625,3.617,477.423,65,,,,,,0.66,132,0.66,0.275,18284,66487,8776320,140,15386,4.321,570.409,138
,,,,,,,16694,60705,8013120,140,15386,3.945,520.806,38,,,,,,,,,,18304,66560,8785920,140,15386,4.326,571.033,141
,,,,,,,16606,60385,7970880,145,16504.625,3.659,482.948,48,,,,,,,,,,18647,67807,8950560,140,15386,4.407,581.734,164
,,,,,,,17310,62945,8308800,140,15386,4.091,540.023,9999*,,,,,,,,,,19104,69469,9169920,140,15386,4.515,595.991,164
,,,,,,,18093,65793,8684640,140,15386,4.276,564.451,46,,,,,,,,,,19688,71593,9450240,145,16504.625,4.338,572.581,163
,,,,,,,20113,73138,9654240,140,15386,4.754,627.469,48,,,,,,,,,,22334,81215,10720320,140,15386,5.278,696.758,161
,,300,0.28,84,0.28,0.093,8135,87567,7355651,140,15386,5.691,478.074,-974,,,,,300,0.28,84,0.28,0.093,8738,94058,7900883,145,16504.625,5.699,478.707,-929
,,,,,,,8165,87890,7382777,140,15386,5.712,479.837,40,,,,,,,,,,8863,95404,8013907,145,16504.625,5.780,485.555,101
,,,,,,,8205,88321,7418945,145,16504.625,5.351,449.507,27,,,,,,,,,,9105,98009,8232723,145,16504.625,5.938,498.813,84
,,,,,,,8174,87987,7390915,145,16504.625,5.331,447.809,7,,,,,,,,,,9439,101604,8534726,145,16504.625,6.156,517.111,76
,,,,,,,8633,92928,7805942,145,16504.625,5.630,472.955,2,,,,,,,,,,10497,112992,9491367,145,16504.625,6.846,575.073,78
,,,,,,,10045,108127,9082670,140,15386,7.028,590.320,9,,,,,,,,,,14570,156835,13174166,140,15386,10.193,856.244,130
,,,0.56,168,0.56,0.093,7383,79473,13351389,140,15386,5.165,867.762,82,,,,,,0.56,168,0.56,0.093,8474,91216,15324349,135,14306.625,6.376,1071.137,197
,,,,,,,7543,81195,13640732,140,15386,5.277,886.568,88,,,,,,,,,,8472,91195,15320732,135,14306.625,6.374,1070.884,168
,,,,,,,7481,80527,13528611,145,16504.625,4.879,819.686,25,,,,,,,,,,8563,92174,15485296,140,15386,5.991,1006.454,232
,,,,,,,7724,83143,13968052,140,15386,5.404,907.842,47,,,,,,,,,,8680,93434,15696878,140,15386,6.073,1020.205,227
,,,,,,,8624,92831,15595608,140,15386,6.033,1013.623,101,,,,,,,,,,9039,97298,16346093,135,14306.625,6.801,1142.554,288
,,,,,,,9515,102422,17206889,140,15386,6.657,1118.347,82,,,,,,,,,,10166,109429,18384155,135,14306.625,7.649,1285.010,163
