



,,,,,,,,,,,,Block 8,,,,,,,,,,,,,,,,,Block 16,,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
,,,,,,,683,1674,184142,145,16504.625,0.101,11.157,1312,,,,,,,,,,556,1363,149902,155,18859.625,0.072,7.948,942
,,,,,,,679,1664,183064,150,17662.5,0.094,10.365,1284,,,,,,,,,,568,1392,153137,155,18859.625,0.074,8.120,1239
,,300,0.40,120,2.50,0.374,324,866,103957,145,16504.625,0.052,6.299,372,,,,,300,0.40,120,2.50,0.374,273,730,87594,160,20096,0.036,4.359,383
,,,,,,,323,864,103636,150,17662.5,0.049,5.868,457,,,,,,,,,,273,730,87594,165,21371.625,0.034,4.099,395
,,,,,,,328,877,105241,145,16504.625,0.053,6.376,437,,,,,,,,,,271,725,86952,160,20096,0.036,4.327,572
,,,,,,,328,877,105241,145,16504.625,0.053,6.376,674,,,,,,,,,,283,757,90802,170,22686.5,0.033,4.002,502
,,,,,,,321,858,102995,145,16504.625,0.052,6.240,690,,,,,,,,,,277,741,88877,170,22686.5,0.033,3.918,650
,,,,,,,312,834,100107,150,17662.5,0.047,5.668,721,,,,,,,,,,273,730,87594,165,21371.625,0.034,4.099,892
1,α2-3 SiaLac,150,0.40,60,2.50,0.276,91,330,19783,155,18859.625,0.017,1.049,1841,,,1,α2-3 SiaLac,150,0.40,60,2.50,0.276,87,315,18913,155,18859.625,0.017,1.003,275*
,,,,,,,79,286,17174,185,26866.625,0.011,0.639,1083,,,,,,,,,,83,301,18043,160,20096,0.015,0.898,890
,,,,,,,91,330,19783,160,20096,0.016,0.984,778,,,,,,,,,,82,297,17826,160,20096,0.015,0.887,748
,,,,,,,116,420,25217,150,17662.5,0.024,1.428,1038,,,,,,,,,,84,304,18261,155,18859.625,0.016,0.968,1192
,,,,,,,107,388,23261,150,17662.5,0.022,1.317,1291,,,,,,,,,,81,293,17609,155,18859.625,0.016,0.934,881
,,,,,,,116,420,25217,145,16504.625,0.025,1.528,1129,,,,,,,,,,77,279,16739,155,18859.625,0.015,0.888,862
,,200,0.58,116,1.72,0.408,207,507,58853,145,16504.625,0.031,3.566,2745,,,,,200,0.58,116,1.72,0.408,172,422,48902,155,18859.625,0.022,2.593,1247
,,,,,,,206,505,58569,145,16504.625,0.031,3.549,1494,,,,,,,,,,170,417,48333,150,17662.5,0.024,2.736,814
,,,,,,,242,593,68804,140,15386,0.039,4.472,2206,,,,,,,,,,166,407,47196,155,18859.625,0.022,2.502,1047
,,,,,,,238,583,67667,140,15386,0.038,4.398,2234,,,,,,,,,,170,417,48333,155,18859.625,0.022,2.563,1035
,,,,,,,228,559,64824,140,15386,0.036,4.213,2003,,,,,,,,,,129,316,36676,150,17662.5,0.018,2.077,673
,,,,,,,251,615,71363,140,15386,0.040,4.638,2260,,,,,,,,,,159,390,45206,150,17662.5,0.022,2.559,579
,,300,0.49,147,2.04,0.558,50,90,13172,135,14306.625,0.006,0.921,1962,,,,,300,0.49,147,2.04,0.558,41,73,10801,145,16504.625,0.004,0.654,1257
,,,,,,,56,100,14753,135,14306.625,0.007,1.031,1260,,,,,,,,,,39,70,10274,145,16504.625,0.004,0.623,910
,,,,,,,52,93,13699,135,14306.625,0.007,0.958,1312,,,,,,,,,,37,66,9747,145,16504.625,0.004,0.591,1353
,,,,,,,51,91,13435,135,14306.625,0.006,0.939,1360,,,,,,,,,,38,68,10011,155,18859.625,0.004,0.531,1103
,,,,,,,51,91,13435,135,14306.625,0.006,0.939,1415,,,,,,,,,,34,61,8957,150,17662.5,0.003,0.507,938
,,,,,,,51,91,13435,135,14306.625,0.006,0.939,1210,,,,,,,,,,52,93,13699,170,22686.5,0.004,0.604,1055
5,α2-3 SiaLac,150,0.40,60,2.50,0.276,239,866,51957,150,17662.5,0.049,2.942,1528,,,5,α2-3 SiaLac,150,0.40,60,2.50,0.276,198,717,43043,160,20096,0.036,2.142,719
,,,,,,,243,880,52826,145,16504.625,0.053,3.201,1486,,,,,,,,,,203,736,44130,160,20096,0.037,2.196,1055
,,,,,,,268,971,58261,150,17662.5,0.055,3.299,1439,,,,,,,,,,197,714,42826,170,22686.5,0.031,1.888,1114
,,,,,,,285,1033,61957,150,17662.5,0.058,3.508,1533,,,,,,,,,,204,739,44348,160,20096,0.037,2.207,1158
,,,,,,,225,815,48913,150,17662.5,0.046,2.769,1190,,,,,,,,,,204,739,44348,165,21371.625,0.035,2.075,1297
,,,,,,,242,877,52609,140,15386,0.057,3.419,1555,,,,,,,,,,210,761,45652,160,20096,0.038,2.272,1589
,,200,0.58,116,1.72,0.408,515,1262,146422,140,15386,0.082,9.517,3075,,,,,200,0.58,116,1.72,0.408,366,897,104059,155,18859.625,0.048,5.518,1458
,,,,,,,516,1265,146706,140,15386,0.082,9.535,2689,,,,,,,,,,375,919,106618,160,20096,0.046,5.305,1511
,,,,,,,511,1252,145284,140,15386,0.081,9.443,2270,,,,,,,,,,357,875,101500,160,20096,0.044,5.051,1209
,,,,,,,516,1265,146706,140,15386,0.082,9.535,2456,,,,,,,,,,343,841,97520,165,21371.625,0.039,4.563,1263
,,,,,,,516,1265,146706,140,15386,0.082,9.535,2457,,,,,,,,,,355,870,100931,160,20096,0.043,5.022,1413
,,,,,,,511,1252,145284,140,15386,0.081,9.443,2635,,,,,,,,,,345,846,98088,160,20096,0.042,4.881,1536
,,300,0.49,147,2.04,0.558,158,283,41624,135,14306.625,0.020,2.909,1699,,,,,300,0.49,147,2.04,0.558,116,208,30559,150,17662.5,0.012,1.730,1412
,,,,,,,154,276,40570,140,15386,0.018,2.637,1544,,,,,,,,,,157,281,41360,150,17662.5,0.016,2.342,1709
,,,,,,,161,289,42414,135,14306.625,0.020,2.965,1866,,,,,,,,,,148,265,38989,155,18859.625,0.014,2.067,1390
,,,,,,,157,281,41360,140,15386,0.018,2.688,2766,,,,,,,,,,111,199,29242,150,17662.5,0.011,1.656,1195
,,,,,,,159,285,41887,135,14306.625,0.020,2.928,1320,,,,,,,,,,111,199,29242,155,18859.625,0.011,1.551,1345
,,,,,,,160,287,42151,135,14306.625,0.020,2.946,1621,,,,,,,,,,111,199,29242,150,17662.5,0.011,1.656,1533
10,α2-3 SiaLac,150,0.40,60,2.50,0.276,233,844,50652,150,17662.5,0.048,2.868,1977,,,10,α2-3 SiaLac,150,0.40,60,2.50,0.276,195,707,42391,155,18859.625,0.037,2.248,1482
,,,,,,,271,982,58913,145,16504.625,0.059,3.569,1947,,,,,,,,,,192,696,41739,165,21371.625,0.033,1.953,1427
,,,,,,,218,790,47391,145,16504.625,0.048,2.871,1715,,,,,,,,,,204,739,44348,155,18859.625,0.039,2.351,2030
,,,,,,,234,848,50870,145,16504.625,0.051,3.082,1958,,,,,,,,,,160,580,34783,165,21371.625,0.027,1.628,1581
,,,,,,,275,996,59783,140,15386,0.065,3.886,2595,,,,,,,,,,186,674,40435,160,20096,0.034,2.012,2051
,,,,,,,230,833,50000,145,16504.625,0.050,3.029,2424,,,,,,,,,,214,775,46522,150,17662.5,0.044,2.634,2911
,,200,0.58,116,1.72,0.408,680,1667,193333,135,14306.625,0.116,13.514,2974,,,,,200,0.58,116,1.72,0.408,525,1287,149265,165,21371.625,0.060,6.984,2353
,,,,,,,703,1723,199873,140,15386,0.112,12.991,3285,,,,,,,,,,513,1257,145853,165,21371.625,0.059,6.825,2713
,,,,,,,687,1684,195324,140,15386,0.109,12.695,3670,,,,,,,,,,542,1328,154098,165,21371.625,0.062,7.210,2936
,,,,,,,672,1647,191059,145,16504.625,0.100,11.576,4053,,,,,,,,,,543,1331,154382,160,20096,0.066,7.682,2830
,,,,,,,677,1659,192480,140,15386,0.108,12.510,3972,,,,,,,,,,540,1324,153529,160,20096,0.066,7.640,2961
,,,,,,,663,1625,188500,145,16504.625,0.098,11.421,4865,,,,,,,,,,536,1314,152392,160,20096,0.065,7.583,3412
,,300,0.49,147,2.04,0.558,810,1452,213387,195,29849.625,0.049,7.149,2732,,,,,300,0.49,147,2.04,0.558,640,1147,168602,170,22686.5,0.051,7.432,3066
,,,,,,,835,1496,219973,175,24040.625,0.062,9.150,2831,,,,,,,,,,697,1249,183618,165,21371.625,0.058,8.592,3444
,,,,,,,851,1525,224188,175,24040.625,0.063,9.325,2967,,,,,,,,,,849,1522,223661,235,43351.625,0.035,5.159,3809
,,,,,,,911,1633,239995,165,21371.625,0.076,11.230,3095,,,,,,,,,,952,1706,250796,190,28338.5,0.060,8.850,3496
,,,,,,,1034,1853,272398,150,17662.5,0.105,15.422,3027,,,,,,,,,,729,1306,192048,160,20096,0.065,9.557,3776
,,,,,,,997,1787,262651,165,21371.625,0.084,12.290,2976,,,,,,,,,,637,1142,167812,165,21371.625,0.053,7.852,3623
1,Lac,150,0.44,66,2.27,0.276,435,1576,104022,140,15386,0.102,6.761,531,,,1,Lac,150,0.44,66,2.27,0.276,348,1261,83217,150,17662.5,0.071,4.712,324
,,,,,,,455,1649,108804,140,15386,0.107,7.072,450,,,,,,,,,,281,1018,67196,160,20096,0.051,3.344,307
,,,,,,,438,1587,104739,140,15386,0.103,6.807,553,,,,,,,,,,318,1152,76043,155,18859.625,0.061,4.032,1705
,,,,,,,450,1630,107609,140,15386,0.106,6.994,549,,,,,,,,,,343,1243,82022,155,18859.625,0.066,4.349,775
,,,,,,,438,1587,104739,140,15386,0.103,6.807,584,,,,,,,,,,332,1203,79391,155,18859.625,0.064,4.210,572
,,,,,,,473,1714,113109,140,15386,0.111,7.351,642,,,,,,,,,,338,1225,80826,150,17662.5,0.069,4.576,549
,,200,0.57,114,1.75,0.408,686,1681,191676,140,15386,0.109,12.458,562,,,,,200,0.57,114,1.75,0.408,553,1355,154515,165,21371.625,0.063,7.230,235
,,,,,,,681,1669,190279,140,15386,0.108,12.367,658,,,,,,,,,,513,1257,143338,160,20096,0.063,7.133,204
,,,,,,,684,1676,191118,140,15386,0.109,12.422,534,,,,,,,,,,512,1255,143059,160,20096,0.062,7.119,673
,,,,,,,677,1659,189162,145,16504.625,0.101,11.461,668,,,,,,,,,,566,1387,158147,155,18859.625,0.074,8.385,452
,,,,,,,678,1662,189441,140,15386,0.108,12.313,584,,,,,,,,,,552,1353,154235,160,20096,0.067,7.675,609
,,,,,,,690,1691,192794,145,16504.625,0.102,11.681,724,,,,,,,,,,532,1304,148647,155,18859.625,0.069,7.882,459
,,300,0.52,156,1.92,0.374,470,1257,196043,135,14306.625,0.088,13.703,477,,,,,300,0.52,156,1.92,0.374,225,602,93850,170,22686.5,0.027,4.137,304
,,,,,,,469,1254,195626,135,14306.625,0.088,13.674,484,,,,,,,,,,187,500,78000,205,32989.625,0.015,2.364,293
,,,,,,,463,1238,193123,135,14306.625,0.087,13.499,658,,,,,,,,,,265,709,110535,170,22686.5,0.031,4.872,531
,,,,,,,455,1217,189786,140,15386,0.079,12.335,229,,,,,,,,,,293,783,122214,160,20096,0.039,6.082,538
,,,,,,,459,1227,191455,135,14306.625,0.086,13.382,646,,,,,,,,,,295,789,123048,160,20096,0.039,6.123,560
,,,,,,,462,1235,192706,140,15386,0.080,12.525,693,,,,,,,,,,273,730,113872,170,22686.5,0.032,5.019,466
5,Lac,150,0.44,66,2.27,0.276,2034,7370,486391,140,15386,0.479,31.613,1248,,,5,Lac,150,0.44,66,2.27,0.276,1697,6149,405804,160,20096,0.306,20.193,763
,,,,,,,1973,7149,471804,145,16504.625,0.433,28.586,1091,,,,,,,,,,1558,5645,372565,165,21371.625,0.264,17.433,452
,,,,,,,2067,7489,494283,140,15386,0.487,32.125,1089,,,,,,,,,,1638,5935,391696,160,20096,0.295,19.491,466
,,,,,,,2049,7424,489978,140,15386,0.483,31.846,1249,,,,,,,,,,1531,5547,366109,165,21371.625,0.260,17.131,463
,,,,,,,1970,7138,471087,140,15386,0.464,30.618,1090,,,,,,,,,,1650,5978,394565,160,20096,0.297,19.634,387
,,,,,,,2207,7996,527761,135,14306.625,0.559,36.889,1253,,,,,,,,,,1681,6091,401978,160,20096,0.303,20.003,462
,,200,0.57,114,1.75,0.408,2758,6760,770618,145,16504.625,0.410,46.691,1234,,,,,200,0.57,114,1.75,0.408,1674,4103,467735,175,24040.625,0.171,19.456,-112
,,,,,,,2793,6846,780397,145,16504.625,0.415,47.284,1337,,,,,,,,,,1500,3676,419118,190,28338.5,0.130,14.790,92
,,,,,,,2869,7032,801632,140,15386,0.457,52.101,1159,,,,,,,,,,1584,3882,442588,180,25434,0.153,17.401,12
,,,,,,,2646,6485,739324,145,16504.625,0.393,44.795,822,,,,,,,,,,2205,5404,616103,215,36286.625,0.149,16.979,75
,,,,,,,2886,7074,806382,140,15386,0.460,52.410,968,,,,,,,,,,1519,3723,424426,205,32989.625,0.113,12.865,-42
,,,,,,,2936,7196,820353,140,15386,0.468,53.318,1047,,,,,,,,,,1363,3341,380838,210,34618.5,0.097,11.001,-29
,,300,0.52,156,1.92,0.374,2320,6203,967701,140,15386,0.403,62.895,1276,,,,,300,0.52,156,1.92,0.374,1783,4767,743711,160,20096,0.237,37.008,445
,,,,,,,2258,6037,941840,140,15386,0.392,61.214,1461,,,,,,,,,,1648,4406,687401,170,22686.5,0.194,30.300,414
,,,,,,,2248,6011,937668,145,16504.625,0.364,56.812,1603,,,,,,,,,,1726,4615,719936,150,17662.5,0.261,40.761,692
,,,,,,,2303,6158,960610,140,15386,0.400,62.434,1230,,,,,,,,,,831,2222,346620,150,17662.5,0.126,19.625,-13
,,,,,,,2335,6243,973957,140,15386,0.406,63.302,1167,,,,,,,,,,1622,4337,676556,165,21371.625,0.203,31.657,636
,,,,,,,2343,6265,977294,135,14306.625,0.438,68.311,1592,,,,,,,,,,1752,4684,730781,150,17662.5,0.265,41.375,492
10,Lac,150,0.44,66,2.27,0.276,1330,4819,318043,140,15386,0.313,20.671,841,,,10,Lac,150,0.44,66,2.27,0.276,952,3449,227652,175,24040.625,0.143,9.469,341
,,,,,,,1333,4830,318761,140,15386,0.314,20.718,831,,,,,,,,,,820,2971,196087,190,28338.5,0.105,6.919,425
,,,,,,,1369,4960,327370,140,15386,0.322,21.277,806,,,,,,,,,,832,3014,198957,185,26866.625,0.112,7.405,437
,,,,,,,1337,4844,319717,140,15386,0.315,20.780,747,,,,,,,,,,820,2971,196087,190,28338.5,0.105,6.919,537
,,,,,,,1312,4754,313739,140,15386,0.309,20.391,1150,,,,,,,,,,945,3424,225978,180,25434,0.135,8.885,281
,,,,,,,1278,4630,305609,145,16504.625,0.281,18.517,1166,,,,,,,,,,802,2906,191783,195,29849.625,0.097,6.425,307
,,200,0.57,114,1.75,0.408,2821,6914,788221,145,16504.625,0.419,47.758,1126,,,,,200,0.57,114,1.75,0.408,1935,4743,540662,165,21371.625,0.222,25.298,-19
,,,,,,,2758,6760,770618,140,15386,0.439,50.086,814,,,,,,,,,,2165,5306,604926,170,22686.5,0.234,26.665,-118
,,,,,,,2933,7189,819515,145,16504.625,0.436,49.654,713,,,,,,,,,,1614,3956,450971,250,49062.5,0.081,9.192,-128
,,,,,,,2748,6735,767824,145,16504.625,0.408,46.522,562,,,,,,,,,,1618,3966,452088,270,57226.5,0.069,7.900,-238
,,,,,,,2914,7142,814206,145,16504.625,0.433,49.332,1075,,,,,,,,,,2242,5495,626441,170,22686.5,0.242,27.613,-77
