



,,,,,,,,,,,,Block 15,,,,,,,,,,,,,,,,,Block 7,,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
1,α2-6 SiaLac,150,0.29,44,0.29,0.063,439,6968,303119,140,15386,0.453,19.701,2474,,,1,α2-6 SiaLac,150,0.29,44,0.29,0.063,415,6587,286548,140,15386,0.428,18.624,2277
,,,,,,,448,7111,309333,140,15386,0.462,20.105,2541,,,,,,,,,,431,6841,297595,140,15386,0.445,19.342,3268
,,,,,,,442,7016,305190,145,16504.625,0.425,18.491,2761,,,,,,,,,,419,6651,289310,140,15386,0.432,18.803,2685
,,,,,,,457,7254,315548,145,16504.625,0.440,19.119,2231,,,,,,,,,,430,6825,296905,140,15386,0.444,19.297,3056
,,,,,,,440,6984,303810,145,16504.625,0.423,18.408,1992,,,,,,,,,,428,6794,295524,140,15386,0.442,19.207,2134
,,,,,,,445,7063,307262,140,15386,0.459,19.970,1317,,,,,,,,,,433,6873,298976,140,15386,0.447,19.432,1925
,,,0.40,60,0.40,0.063,352,5587,335238,135,14306.625,0.391,23.432,2432,,,,,,0.40,60,0.40,0.063,377,5984,359048,130,13266.5,0.451,27.064,1487
,,,,,,,366,5810,348571,135,14306.625,0.406,24.364,1609,,,,,,,,,,403,6397,383810,125,12265.625,0.522,31.291,1000
,,,,,,,349,5540,332381,135,14306.625,0.387,23.233,2586,,,,,,,,,,382,6063,363810,130,13266.5,0.457,27.423,1699
,,,,,,,378,6000,360000,135,14306.625,0.419,25.163,1874,,,,,,,,,,419,6651,399048,130,13266.5,0.501,30.079,2054
,,,,,,,353,5603,336190,140,15386,0.364,21.850,3352,,,,,,,,,,407,6460,387619,130,13266.5,0.487,29.218,1453
,,,,,,,371,5889,353333,135,14306.625,0.412,24.697,1115,,,,,,,,,,428,6794,407619,125,12265.625,0.554,33.233,1760
,,200,0.39,78,0.39,0.275,2052,7462,582022,140,15386,0.485,37.828,4386,,,,,200,0.39,78,0.39,0.275,2024,7360,574080,135,14306.625,0.514,40.127,1572
,,,,,,,2192,7971,621731,135,14306.625,0.557,43.458,3194,,,,,,,,,,2131,7749,604429,135,14306.625,0.542,42.248,1524
,,,,,,,2055,7473,582873,140,15386,0.486,37.883,3314,,,,,,,,,,2019,7342,572662,140,15386,0.477,37.220,2342
,,,,,,,2280,8291,646691,140,15386,0.539,42.031,2031,,,,,,,,,,2202,8007,624567,135,14306.625,0.560,43.656,1971
,,,,,,,2155,7836,611236,140,15386,0.509,39.727,2460,,,,,,,,,,1945,7073,551673,140,15386,0.460,35.856,3297
,,,,,,,2281,8295,646975,140,15386,0.539,42.050,1188,,,,,,,,,,2262,8225,641585,135,14306.625,0.575,44.845,2580
,,,0.49,98,0.49,0.275,1905,6927,678873,135,14306.625,0.484,47.452,4015,,,,,,0.49,98,0.49,0.275,1897,6898,676022,135,14306.625,0.482,47.252,1989
,,,,,,,1963,7138,699542,140,15386,0.464,45.466,3969,,,,,,,,,,2003,7284,713796,135,14306.625,0.509,49.893,916
,,,,,,,1946,7076,693484,140,15386,0.460,45.072,2737,,,,,,,,,,1948,7084,694196,140,15386,0.460,45.119,1964
,,,,,,,2016,7331,718429,140,15386,0.476,46.694,2128,,,,,,,,,,2056,7476,732684,135,14306.625,0.523,51.213,2293
,,,,,,,2004,7287,714153,135,14306.625,0.509,49.918,1616,,,,,,,,,,2051,7458,730902,135,14306.625,0.521,51.088,2383
,,,,,,,2132,7753,759767,135,14306.625,0.542,53.106,1061,,,,,,,,,,2138,7775,761905,135,14306.625,0.543,53.255,1613
,,300,0.35,105,0.35,0.093,683,7352,771959,135,14306.625,0.514,53.958,2543,,,,,300,0.35,105,0.35,0.093,662,7126,748224,135,14306.625,0.498,52.299,3609
,,,,,,,685,7374,774220,140,15386,0.479,50.320,2937,,,,,,,,,,684,7363,773089,135,14306.625,0.515,54.037,3705
,,,,,,,676,7277,764047,135,14306.625,0.509,53.405,1580,,,,,,,,,,655,7051,740312,135,14306.625,0.493,51.746,1816
,,,,,,,723,7783,817169,140,15386,0.506,53.111,2218,,,,,,,,,,688,7406,777610,135,14306.625,0.518,54.353,1922
,,,,,,,718,7729,811518,135,14306.625,0.540,56.723,2339,,,,,,,,,,687,7395,776480,130,13266.5,0.557,58.529,1478
,,,,,,,697,7503,787783,135,14306.625,0.524,55.064,1406,,,,,,,,,,681,7330,769699,130,13266.5,0.553,58.018,1825
,,,0.47,141,0.47,0.093,487,5242,739150,140,15386,0.341,48.040,4708,,,,,,0.47,141,0.47,0.093,503,5414,763434,135,14306.625,0.378,53.362,4939
,,,,,,,510,5490,774058,140,15386,0.357,50.309,3129,,,,,,,,,,532,5727,807449,135,14306.625,0.400,56.439,2412
,,,,,,,505,5436,766469,140,15386,0.353,49.816,2804,,,,,,,,,,515,5544,781647,135,14306.625,0.387,54.635,1725
,,,,,,,520,5597,789236,140,15386,0.364,51.296,1812,,,,,,,,,,543,5845,824144,135,14306.625,0.409,57.606,2351
,,,,,,,525,5651,796825,140,15386,0.367,51.789,1919,,,,,,,,,,526,5662,798342,135,14306.625,0.396,55.802,1949
,,,,,,,548,5899,831733,140,15386,0.383,54.058,1313,,,,,,,,,,545,5867,827180,135,14306.625,0.410,57.818,1939
5,α2-6 SiaLac,150,0.29,44,0.29,0.063,1822,28921,1258048,150,17662.5,1.637,71.227,1831,,,5,α2-6 SiaLac,150,0.29,44,0.29,0.063,1855,29444,1280833,145,16504.625,1.784,77.605,2184
,,,,,,,1836,29143,1267714,150,17662.5,1.650,71.774,1203,,,,,,,,,,1872,29714,1292571,145,16504.625,1.800,78.316,2601
,,,,,,,1863,29571,1286357,145,16504.625,1.792,77.939,675,,,,,,,,,,1825,28968,1260119,140,15386,1.883,81.900,1658
,,,,,,,1883,29889,1300167,145,16504.625,1.811,78.776,867,,,,,,,,,,1883,29889,1300167,145,16504.625,1.811,78.776,1827
,,,,,,,1872,29714,1292571,150,17662.5,1.682,73.182,814,,,,,,,,,,1901,30175,1312595,145,16504.625,1.828,79.529,1963
,,,,,,,1986,31524,1371286,145,16504.625,1.910,83.085,1090,,,,,,,,,,1724,27365,1190381,145,16504.625,1.658,72.124,2511
,,,0.40,60,0.40,0.063,1258,19968,1198095,140,15386,1.298,77.869,1005,,,,,,0.40,60,0.40,0.063,1319,20937,1256190,135,14306.625,1.463,87.805,2802
,,,,,,,1382,21937,1316190,135,14306.625,1.533,91.999,621,,,,,,,,,,1374,21810,1308571,135,14306.625,1.524,91.466,2338
,,,,,,,1311,20810,1248571,140,15386,1.352,81.150,623,,,,,,,,,,1328,21079,1264762,135,14306.625,1.473,88.404,1465
,,,,,,,1395,22143,1328571,135,14306.625,1.548,92.864,528,,,,,,,,,,1387,22016,1320952,140,15386,1.431,85.854,3011
,,,,,,,1399,22206,1332381,135,14306.625,1.552,93.130,638,,,,,,,,,,1369,21730,1303810,140,15386,1.412,84.740,2188
,,,,,,,1449,23000,1380000,130,13266.5,1.734,104.021,1051,,,,,,,,,,1444,22921,1375238,135,14306.625,1.602,96.126,1948
,,200,0.39,78,0.39,0.275,8649,31451,2453171,145,16504.625,1.906,148.635,1018,,,,,200,0.39,78,0.39,0.275,9020,32800,2558400,135,14306.625,2.293,178.826,2863
,,,,,,,8968,32611,2543651,140,15386,2.120,165.322,607,,,,,,,,,,9973,36265,2828705,135,14306.625,2.535,197.720,3643
,,,,,,,8806,32022,2497702,140,15386,2.081,162.336,546,,,,,,,,,,8791,31967,2493447,135,14306.625,2.234,174.286,3002
,,,,,,,9231,33567,2618247,140,15386,2.182,170.171,547,,,,,,,,,,9193,33429,2607469,140,15386,2.173,169.470,2273
,,,,,,,9265,33691,2627891,140,15386,2.190,170.798,948,,,,,,,,,,9187,33407,2605767,140,15386,2.171,169.360,2775
,,,,,,,9468,34429,2685469,145,16504.625,2.086,162.710,1349,,,,,,,,,,8369,30433,2373753,140,15386,1.978,154.280,3591
,,,0.49,98,0.49,0.275,7921,28804,2822756,145,16504.625,1.745,171.028,776,,,,,,0.49,98,0.49,0.275,7880,28655,2808145,130,13266.5,2.160,211.672,2252
,,,,,,,8155,29655,2906145,140,15386,1.927,188.882,638,,,,,,,,,,8039,29233,2864807,135,14306.625,2.043,200.243,2048
,,,,,,,7993,29065,2848415,140,15386,1.889,185.130,518,,,,,,,,,,7836,28495,2792465,135,14306.625,1.992,195.187,2333
,,,,,,,8527,31007,3038713,140,15386,2.015,197.499,662,,,,,,,,,,8109,29487,2889753,135,14306.625,2.061,201.987,2870
,,,,,,,8391,30513,2990247,140,15386,1.983,194.349,929,,,,,,,,,,8099,29451,2886189,135,14306.625,2.059,201.738,3529
,,,,,,,8596,31258,3063302,135,14306.625,2.185,214.118,954,,,,,,,,,,8076,29367,2877993,135,14306.625,2.053,201.165,2918
,,300,0.35,105,0.35,0.093,3331,35856,3764855,135,14306.625,2.506,263.155,1463,,,,,300,0.35,105,0.35,0.093,3227,34736,3647309,135,14306.625,2.428,254.938,4300
,,,,,,,3421,36825,3866577,135,14306.625,2.574,270.265,1247,,,,,,,,,,3292,35436,3720775,135,14306.625,2.477,260.074,4004
,,,,,,,3345,36006,3780678,135,14306.625,2.517,264.261,1287,,,,,,,,,,3193,34370,3608881,140,15386,2.234,234.556,3235
,,,,,,,3405,36652,3848493,135,14306.625,2.562,269.001,909,,,,,,,,,,3264,35135,3689128,135,14306.625,2.456,257.862,3131
,,,,,,,3525,37944,3984123,135,14306.625,2.652,278.481,1404,,,,,,,,,,3283,35339,3710603,135,14306.625,2.470,259.363,4753
,,,,,,,3679,39602,4158181,135,14306.625,2.768,290.647,1638,,,,,,,,,,3449,37126,3898224,135,14306.625,2.595,272.477,3308
,,,0.47,141,0.47,0.093,2743,29526,4163219,135,14306.625,2.064,290.999,1313,,,,,,0.47,141,0.47,0.093,2829,30452,4293746,135,14306.625,2.129,300.123,3100
,,,,,,,2786,29989,4228482,135,14306.625,2.096,295.561,1682,,,,,,,,,,2902,31238,4404543,130,13266.5,2.355,332.005,3219
,,,,,,,2794,30075,4240624,135,14306.625,2.102,296.410,1977,,,,,,,,,,2953,31787,4481948,130,13266.5,2.396,337.840,3829
,,,,,,,2906,31281,4410614,135,14306.625,2.186,308.292,1869,,,,,,,,,,2930,31539,4447040,135,14306.625,2.205,310.838,4567
,,,,,,,2879,30990,4369634,135,14306.625,2.166,305.427,2348,,,,,,,,,,2776,29882,4213305,130,13266.5,2.252,317.590,4946
,,,,,,,3084,33197,4680775,135,14306.625,2.320,327.175,2176,,,,,,,,,,2969,31959,4506233,130,13266.5,2.409,339.670,4041
