



,,,,,,,,,,,,Block 10,,,,,,,,,,,,,,,,,Block 11,,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
,,,,,,,1799,28556,1242167,150,17662.5,1.617,70.328,2417,,,,,,,,,,1631,25889,1126167,150,17662.5,1.466,63.760,2180
,,,,,,,1883,29889,1300167,145,16504.625,1.811,78.776,2277,,,,,,,,,,1762,27968,1216619,150,17662.5,1.583,68.881,2443
,,,,,,,1832,29079,1264952,145,16504.625,1.762,76.642,2273,,,,,,,,,,1684,26730,1162762,155,18859.625,1.417,61.654,2378
,,,0.40,60,0.40,0.063,1258,19968,1198095,135,14306.625,1.396,83.744,2199,,,,,,0.40,60,0.40,0.063,1257,19952,1197143,140,15386,1.297,77.807,2268
,,,,,,,1283,20365,1221905,140,15386,1.324,79.417,2352,,,,,,,,,,1279,20302,1218095,140,15386,1.319,79.169,2343
,,,,,,,1360,21587,1295238,140,15386,1.403,84.183,3058,,,,,,,,,,1270,20159,1209524,145,16504.625,1.221,73.284,2288
,,,,,,,1346,21365,1281905,135,14306.625,1.493,89.602,2385,,,,,,,,,,1318,20921,1255238,140,15386,1.360,81.583,2381
,,,,,,,1473,23381,1402857,140,15386,1.520,91.178,2568,,,,,,,,,,1359,21571,1294286,145,16504.625,1.307,78.420,2296
,,,,,,,1392,22095,1325714,140,15386,1.436,86.164,2898,,,,,,,,,,1312,20825,1249524,140,15386,1.354,81.212,2755
,,200,0.39,78,0.39,0.275,8068,29338,2288378,145,16504.625,1.778,138.651,2304,,,,,200,0.39,78,0.39,0.275,8055,29291,2284691,145,16504.625,1.775,138.427,2720
,,,,,,,7879,28651,2234771,140,15386,1.862,145.247,2341,,,,,,,,,,7837,28498,2222858,150,17662.5,1.613,125.852,2479
,,,,,,,8083,29393,2292633,140,15386,1.910,149.008,2732,,,,,,,,,,7949,28905,2254625,145,16504.625,1.751,136.606,2440
,,,,,,,8340,30327,2365527,140,15386,1.971,153.745,2365,,,,,,,,,,8123,29538,2303978,145,16504.625,1.790,139.596,2269
,,,,,,,8975,32636,2545636,140,15386,2.121,165.451,1991,,,,,,,,,,8967,32607,2543367,145,16504.625,1.976,154.100,2420
,,,,,,,8758,31847,2484087,140,15386,2.070,161.451,2723,,,,,,,,,,8509,30942,2413462,145,16504.625,1.875,146.229,1962
,,,0.49,98,0.49,0.275,7276,26458,2592902,140,15386,1.720,168.523,2324,,,,,,0.49,98,0.49,0.275,7724,28087,2752553,140,15386,1.826,178.900,2388
,,,,,,,7302,26553,2602167,140,15386,1.726,169.126,2077,,,,,,,,,,7508,27302,2675578,145,16504.625,1.654,162.111,1856
