PrintPol,GlycType,DP,Valency,GlycSpace,PolSpace,GlycDen,MVF,Status,Experiment,Self-model,Cross-model
5.0,2-6 SiaLac,200.0,78.0,0.39,2.058,160.527,1.9186803466083588,Others,Binder,Non-binder,Non-binder
5.0,2-6 SiaLac,200.0,78.0,0.39,1.921,149.874,2.2418831818727734,Others,Binder,Non-binder,Non-binder
5.0,2-6 SiaLac,200.0,78.0,0.39,2.084,162.569,1.8207653365647818,Others,Binder,Non-binder,Non-binder
5.0,2-6 SiaLac,200.0,78.0,0.39,1.977,154.169,2.0172667656921948,Others,Binder,Non-binder,Non-binder
5.0,2-6 SiaLac,200.0,98.0,0.49,2.07,202.909,1.611559861809974,Others,Binder,Non-binder,Non-binder
5.0,2-6 SiaLac,200.0,98.0,0.49,2.097,205.549,1.7465421870210995,Others,Binder,Non-binder,Non-binder
5.0,2-6 SiaLac,200.0,98.0,0.49,2.164,212.05,1.480782834237208,Others,Binder,Non-binder,Non-binder
5.0,2-6 SiaLac,200.0,98.0,0.49,2.126,208.389,1.7515319906520976,Others,Binder,Non-binder,Non-binder
5.0,2-6 SiaLac,200.0,98.0,0.49,2.234,218.95,1.6944507878511077,Others,Binder,Non-binder,Non-binder
5.0,2-6 SiaLac,200.0,98.0,0.49,2.191,214.74,1.899972059234423,Others,Binder,Non-binder,Non-binder
5.0,2-6 SiaLac,300.0,105.0,0.35,2.188,229.737,1.8238246342556925,Others,Binder,Non-binder,Non-binder
5.0,2-6 SiaLac,300.0,105.0,0.35,2.471,259.421,1.657537362048562,Others,Binder,Non-binder,Non-binder
5.0,2-6 SiaLac,300.0,105.0,0.35,2.312,242.772,1.6558746478177055,Others,Binder,Non-binder,Non-binder
5.0,2-6 SiaLac,300.0,105.0,0.35,2.259,237.163,1.606490051146258,Others,Binder,Non-binder,Non-binder
5.0,2-6 SiaLac,300.0,105.0,0.35,2.289,240.323,1.5936884942348422,Others,Binder,Non-binder,Non-binder
5.0,2-6 SiaLac,300.0,105.0,0.35,2.046,214.796,1.7737760479710982,Others,Binder,Non-binder,Non-binder
5.0,2-6 SiaLac,300.0,141.0,0.47,1.953,275.404,1.5214012868367925,Others,Binder,Non-binder,Non-binder
5.0,2-6 SiaLac,300.0,141.0,0.47,1.989,280.391,1.4051806227731987,Others,Binder,Non-binder,Non-binder
5.0,2-6 SiaLac,300.0,141.0,0.47,1.992,280.815,1.253494293396008,Others,Binder,Non-binder,Non-binder
5.0,2-6 SiaLac,300.0,141.0,0.47,2.111,297.683,1.216058693307982,Others,Binder,Non-binder,Non-binder
5.0,2-6 SiaLac,300.0,141.0,0.47,1.868,263.384,1.1542083042250098,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,150.0,44.0,0.29,3.838,168.859,1.385771560888078,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,150.0,44.0,0.29,3.78,166.319,1.3648470709900855,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,150.0,44.0,0.29,4.234,186.287,1.7177795552024564,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,150.0,44.0,0.29,3.733,164.231,2.2103013438388612,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,150.0,44.0,0.29,4.125,181.503,2.071591103177358,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,150.0,44.0,0.29,3.676,161.734,2.38045185304265,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,150.0,60.0,0.4,2.655,159.3,1.6070307595731324,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,150.0,60.0,0.4,2.894,173.656,1.710277790574469,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,150.0,60.0,0.4,2.821,169.286,1.7367059296102454,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,150.0,60.0,0.4,2.789,167.355,1.577484987003675,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,150.0,60.0,0.4,3.242,194.547,2.4981109963145154,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,150.0,60.0,0.4,2.945,176.675,3.1866421395217204,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,200.0,78.0,0.39,4.063,316.891,1.5652069639087256,Others,Binder,Non-binder,Non-binder
