PrintPol,GlycType,Valency,GlycSpace,PolSpace,GlycDen,MVF,DP,Status,Experiment,Self-model,Cross-model
5.0,2-6 SiaLac,71.0,2.69,0.073,5.164,6.777691711851278,190.0,Others,Non-binder,Non-binder,Non-binder
5.0,2-6 SiaLac,71.0,2.69,0.08,5.705,3.8562664329535496,190.0,Others,Non-binder,Non-binder,Non-binder
5.0,2-6 SiaLac,71.0,2.69,0.08,5.674,27.317589002467393,190.0,Others,Non-binder,Non-binder,Non-binder
5.0,2-6 SiaLac,71.0,2.69,0.089,6.301,64.27551182352008,190.0,Others,Non-binder,Non-binder,Non-binder
5.0,2-6 SiaLac,61.0,3.11,0.089,5.46,16.483516483516485,190.0,Others,Non-binder,Non-binder,Non-binder
5.0,2-6 SiaLac,61.0,3.11,0.087,5.342,4.1183077499064025,190.0,Others,Non-binder,Non-binder,Non-binder
5.0,2-6 SiaLac,61.0,3.11,0.087,5.36,5.597014925373134,190.0,Others,Non-binder,Non-binder,Non-binder
5.0,2-6 SiaLac,61.0,3.11,0.088,5.369,67.23784689886385,190.0,Others,Non-binder,Non-binder,Non-binder
5.0,2-6 SiaLac,61.0,3.11,0.089,5.451,25.49990827371125,190.0,Others,Non-binder,Non-binder,Non-binder
5.0,2-6 SiaLac,61.0,3.11,0.082,5.026,-3.3824114604058897,190.0,Others,Non-binder,Non-binder,Non-binder
5.0,2-6 SiaLac,53.0,3.62,0.088,4.655,18.045112781954888,190.0,Others,Non-binder,Non-binder,Non-binder
5.0,2-6 SiaLac,53.0,3.62,0.089,4.684,45.900939368061486,190.0,Others,Non-binder,Non-binder,Non-binder
5.0,2-6 SiaLac,53.0,3.62,0.088,4.618,82.07016024252923,190.0,Others,Non-binder,Non-binder,Non-binder
5.0,2-6 SiaLac,53.0,3.62,0.089,4.684,64.04782237403928,190.0,Others,Non-binder,Non-binder,Non-binder
5.0,2-6 SiaLac,53.0,3.62,0.089,4.669,43.264082244592,190.0,Others,Non-binder,Non-binder,Non-binder
5.0,2-6 SiaLac,53.0,3.62,0.09,4.72,11.440677966101696,190.0,Others,Non-binder,Non-binder,Non-binder
10.0,2-6 SiaLac,105.0,1.81,0.068,7.108,57.96285875070343,190.0,Others,Non-binder,Non-binder,Non-binder
10.0,2-6 SiaLac,105.0,1.81,0.061,6.424,251.86799501867995,190.0,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,105.0,1.81,0.064,6.744,142.79359430604984,190.0,Others,Non-binder,Non-binder,Non-binder
10.0,2-6 SiaLac,105.0,1.81,0.062,6.467,90.30462347301686,190.0,Others,Non-binder,Non-binder,Non-binder
10.0,2-6 SiaLac,105.0,1.81,0.077,8.093,85.01173853947856,190.0,Others,Non-binder,Non-binder,Non-binder
10.0,2-6 SiaLac,88.0,2.17,0.08,7.055,167.11552090715804,190.0,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,88.0,2.17,0.086,7.545,141.02054340622928,190.0,Others,Non-binder,Non-binder,Non-binder
10.0,2-6 SiaLac,88.0,2.17,0.111,9.795,58.29504849412966,190.0,Others,Non-binder,Non-binder,Non-binder
10.0,2-6 SiaLac,88.0,2.17,0.084,7.408,90.03779697624189,190.0,Others,Non-binder,Non-binder,Non-binder
10.0,2-6 SiaLac,88.0,2.17,0.074,6.471,75.87698964611343,190.0,Others,Non-binder,Non-binder,Non-binder
10.0,2-6 SiaLac,79.0,2.42,0.111,8.693,32.20982399631888,190.0,Others,Non-binder,Non-binder,Non-binder
10.0,2-6 SiaLac,79.0,2.42,0.129,10.165,71.32316773241516,190.0,Others,Non-binder,Non-binder,Non-binder
10.0,2-6 SiaLac,79.0,2.42,0.116,9.118,57.46874314542663,190.0,Others,Non-binder,Non-binder,Non-binder
10.0,2-6 SiaLac,79.0,2.42,0.118,9.281,33.83256114642818,190.0,Others,Non-binder,Non-binder,Non-binder
10.0,2-6 SiaLac,79.0,2.42,0.107,8.437,49.543676662320735,190.0,Others,Non-binder,Non-binder,Non-binder
10.0,2-6 SiaLac,79.0,2.42,0.113,8.883,43.90408645727795,190.0,Others,Non-binder,Non-binder,Non-binder
10.0,2-6 SiaLac,71.0,2.69,0.102,7.254,56.10697546181417,190.0,Others,Non-binder,Non-binder,Non-binder
10.0,2-6 SiaLac,71.0,2.69,0.119,8.41,91.43876337693222,190.0,Others,Non-binder,Non-binder,Non-binder
10.0,2-6 SiaLac,71.0,2.69,0.13,9.221,14.965838846112135,190.0,Others,Non-binder,Non-binder,Non-binder
10.0,2-6 SiaLac,71.0,2.69,0.131,9.274,12.184602113435412,190.0,Others,Non-binder,Non-binder,Non-binder
10.0,2-6 SiaLac,71.0,2.69,0.13,9.232,42.78596187175044,190.0,Others,Non-binder,Non-binder,Non-binder
10.0,2-6 SiaLac,71.0,2.69,0.131,9.295,12.910166756320603,190.0,Others,Non-binder,Non-binder,Non-binder
10.0,2-6 SiaLac,61.0,3.11,0.129,7.908,-4.6788062721294885,190.0,Others,Non-binder,Non-binder,Non-binder
10.0,2-6 SiaLac,61.0,3.11,0.113,6.898,5.508843142939983,190.0,Others,Non-binder,Non-binder,Non-binder
10.0,2-6 SiaLac,61.0,3.11,0.121,7.406,17.14825816905212,190.0,Others,Non-binder,Non-binder,Non-binder
10.0,2-6 SiaLac,61.0,3.11,0.143,8.754,134.3385880740233,190.0,Others,Non-binder,Non-binder,Non-binder
10.0,2-6 SiaLac,61.0,3.11,0.122,7.462,15.545430179576522,190.0,Others,Non-binder,Non-binder,Non-binder
10.0,2-6 SiaLac,53.0,3.62,0.114,6.004,12.158560959360427,190.0,Others,Non-binder,Non-binder,Non-binder
10.0,2-6 SiaLac,53.0,3.62,0.106,5.568,14.367816091954024,190.0,Others,Non-binder,Non-binder,Non-binder
